genre,0.0,0.1,0.2,0.3,0.4,0.5
academic_abstracts,4.11 ± 0.69,5.18 ± 0.91,7.00 ± 1.38,10.15 ± 2.14,13.53 ± 2.36,15.80 ± 2.21
amazon_reviews,4.87 ± 0.57,6.10 ± 0.77,8.25 ± 1.23,11.85 ± 1.70,15.10 ± 1.65,16.66 ± 1.60
writingprompts,4.85 ± 0.78,6.08 ± 1.06,8.13 ± 1.62,11.39 ± 2.18,14.03 ± 2.17,14.82 ± 2.20
xsum,5.43 ± 0.79,6.92 ± 1.09,9.54 ± 1.72,13.40 ± 2.17,16.07 ± 2.07,17.16 ± 2.10
