genre,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
academic_abstracts,7.09 ± 0.97,7.52 ± 1.10,8.49 ± 1.36,10.49 ± 1.89,12.97 ± 2.19,14.70 ± 2.09,15.73 ± 2.09,16.45 ± 2.19,16.97 ± 2.31,17.44 ± 2.56
amazon_reviews,8.01 ± 0.70,8.50 ± 0.79,9.61 ± 1.05,11.84 ± 1.40,14.16 ± 1.43,15.45 ± 1.48,16.13 ± 1.60,16.54 ± 1.80,16.68 ± 2.11,16.32 ± 2.56
writingprompts,7.81 ± 0.91,8.28 ± 1.06,9.27 ± 1.37,11.15 ± 1.73,13.04 ± 1.78,13.99 ± 1.72,14.32 ± 1.73,14.31 ± 1.83,13.98 ± 1.95,13.32 ± 2.18
xsum,8.47 ± 0.86,9.07 ± 1.02,10.39 ± 1.36,12.78 ± 1.70,14.89 ± 1.66,15.92 ± 1.66,16.41 ± 1.80,16.66 ± 2.01,16.73 ± 2.32,16.60 ± 2.74
