mode,q,mean_d,sd_within,sd_between,snr,cv_between,resid_rmse,d_se,n_texts
q0.5_range,0.0,6.71948885286002,1.4656464906490279,1.194422358400042,0.8149457362471625,0.17775494305517886,0.01998805579723491,0.937809730800371,40
q0.5_range,0.1,9.666078318324574,2.3582660900260377,1.9209200249850784,0.8145476174674884,0.1987279599569841,0.0158480527606765,1.5331466739975572,40
q0.5_range,0.2,14.721047332886444,3.7142396805056577,3.2179139078055647,0.8663721742823761,0.2185927288350488,0.01139282878731849,2.4313544459363197,40
q0.5_range,0.3,20.998800788048474,5.029802557827847,4.717810895457297,0.937971389774535,0.22467049157123545,0.00728995191287011,3.2634917271269313,40
q0.5_range,0.4,25.208004193527632,6.195248977454515,5.576847205796482,0.9001812882890592,0.2212331909730634,0.005604168742915112,3.911511399084667,40
q0.5_range,0.5,28.960585852268412,8.487628159209832,6.73400147411186,0.7933902555338583,0.23252297133983574,0.0054180364166718864,5.429457807252959,40
q_large,0.0,11.946870061265509,2.2791681762926874,1.901643978331413,0.8343587797126238,0.15917507837445882,0.009813277564239194,1.4708552941637976,40
q_large,0.1,10.891303591181497,2.1244687056684954,1.7640395604292487,0.8303438670207042,0.16196771540346755,0.010745039314596055,1.3354653061371373,40
q_large,0.2,9.959597038013982,2.0053225387368063,1.6390142013537,0.8173319601674395,0.16456631679955314,0.01208606049465278,1.2554444264395974,40
q_large,0.3,8.937626413415611,1.8233098815228033,1.5010745640860665,0.8232690335843459,0.1679500232671299,0.013901134984306457,1.159425713651514,40
q_large,0.4,7.85201536791144,1.6430190976055972,1.3568682491334487,0.8258383917209717,0.17280509341315292,0.016402599189811944,1.0526305798692066,40
q_large,0.5,6.71948885286002,1.4656464906490279,1.194422358400042,0.8149457362471625,0.17775494305517886,0.01998805579723491,0.937809730800371,40
q_large,0.6,5.536795128645988,1.2884045706315355,1.0015831345083048,0.7773824754575034,0.1808958271412943,0.025336121869500915,0.8103610609170493,40
q_large,0.7,4.41192632590888,1.0770409937702272,0.7656738159936295,0.7109049891530648,0.17354637394945546,0.03297056819931609,0.6732710495512302,40
q_large,0.8,3.584718678053621,0.8862164513123877,0.5213650520630212,0.5883044162528666,0.14544099520414933,0.04247898296435837,0.5755616867079235,40
q_large,0.9,3.1039535058744745,1.0295210974908469,0.413829940403414,0.4019635356788725,0.13332349844165142,0.06274343704464362,0.6432818097357359,40
q_small,0.0,11.946870061265509,2.2791681762926874,1.901643978331413,0.8343587797126238,0.15917507837445882,0.009813277564239194,1.4708552941637976,40
q_small,0.1,14.409898855142501,3.105377046657799,2.624687558989741,0.8452073675931218,0.18214475933348145,0.009473367511009849,2.0658374117026796,40
q_small,0.2,18.597956471382037,4.385656985727957,3.897573794586645,0.8887092189996484,0.20957000305835274,0.00816745398972354,2.914102334870951,40
q_small,0.3,23.451662507461137,5.721091233541745,5.297650956267928,0.9259860995064609,0.22589660560663802,0.006433488773052443,3.7749431706056735,40
q_small,0.4,26.828787982179964,7.086183774229246,6.106639109864632,0.8617669685724235,0.22761516897150713,0.005627175809102237,4.60798570981159,40
q_small,0.5,28.960585852268412,8.487628159209832,6.73400147411186,0.7933902555338583,0.23252297133983574,0.0054180364166718864,5.429457807252959,40
q_small,0.6,30.917545569627176,10.396994815189924,7.7416446346845165,0.7446040680307003,0.25039648174044465,0.005518555563980907,6.603367634610921,40
q_small,0.7,33.036675471836396,13.680367900863692,9.488453858308109,0.693581775509785,0.28720970626711423,0.005934448766740491,8.736759804240268,40
q_small,0.8,38.59321687280137,31.70170451105771,15.762593907590869,0.4972159746834054,0.4084291278320357,0.0068515532618518464,22.397045688355515,40
q_small,0.9,58.88888073800006,87.93293394243305,43.375056987357574,0.4932743062542855,0.7365576734313501,0.008644212368822315,120.64628143220246,40
