токен,класс,k,размах,диаметр,мин. пара
$-,пункт,4,0.3313498205755941,0.4107858530742797,0.2481485752500083
Ġ+,пункт,2,0.5063936518151602,0.5063936518151602,0.5063936518151602
Ġ$,пункт,4,0.34532832050563583,0.46325942303325,0.23370790053160523
Ġadversary,смысл-редк,2,0.3173887343544827,0.3173887343544827,0.3173887343544827
Ġa,служ,5,0.48530367775474903,0.5685300957779332,0.19942922391099407
Ġagainst,служ,2,0.5138955576718702,0.5138955576718702,0.5138955576718702
Ġconsensus,смысл-редк,2,0.45508739677074306,0.45508739677074306,0.45508739677074306
SRC,подслово,3,0.23048251659021798,0.261954685621366,0.20430837001556487
Ġof,служ,2,0.4018016834449149,0.4018016834449149,0.4018016834449149
Ġprocesses,смысл-редк,2,0.2946140566956817,0.2946140566956817,0.2946140566956817
(,пункт,2,0.28499234635569975,0.28499234635569975,0.28499234635569975
Ġagreement,смысл-редк,2,0.28626081917024965,0.28626081917024965,0.28626081917024965
ary,подслово,2,0.28394525294033957,0.28394525294033957,0.28394525294033957
Ġit,служ,4,0.5550347002142609,0.7117121078409129,0.4626212230639748
ĠI,служ,5,0.48307511717945234,0.643017173515337,0.29831434643085947
Ġcalled,смысл-част,2,0.47595719906766065,0.47595719906766065,0.47595719906766065
Ġwas,служ,4,0.4644395852307881,0.5798591565162234,0.37484479441975993
Ġand,служ,5,0.5379432752465532,0.7325236919513292,0.2451272819058598
Ġa,служ,4,0.44674271522348813,0.5364653319839887,0.40636982443465414
Ġmy,служ,5,0.35977181648829254,0.4744908885819088,0.23999008711718137
Ġthen,служ,2,0.4780336513175018,0.4780336513175018,0.4780336513175018
Ġhotel,смысл-редк,3,0.3493252002272598,0.38753335366427866,0.32049899320163033
Ġbe,служ,2,0.5574917086193069,0.5574917086193069,0.5574917086193069
Ġfound,смысл-част,2,0.3364101703290497,0.3364101703290497,0.3364101703290497
Ġthe,служ,7,0.8925050632039382,1.4091799707810262,0.28592052764503756
Ġto,служ,2,0.45139042559749826,0.45139042559749826,0.45139042559749826
Ġfriend,смысл-част,2,0.3639678260057423,0.3639678260057423,0.3639678260057423
Ġme,служ,3,0.3244861096151883,0.3615298795542944,0.26878169862733
Ġof,служ,3,0.5536780329845901,0.6358069067633886,0.40965657362625296
.,пункт,5,0.7851141763282509,1.466158814300877,0.26196093962826783
Ġvan,смысл-редк,2,0.47396338453563897,0.47396338453563897,0.47396338453563897
ĠID,смысл-редк,3,0.3616122350529251,0.422471976761906,0.24534876380064377
Ġdidn,смысл-част,2,0.3664864993018512,0.3664864993018512,0.3664864993018512
Ġon,служ,2,0.5011663637193393,0.5011663637193393,0.5011663637193393
Ġwere,служ,2,0.4783598525686242,0.4783598525686242,0.4783598525686242
't,подслово,3,0.34206096382095286,0.45329511150498175,0.1926774572176322
Ġcall,смысл-част,2,0.17013676833332547,0.17013676833332547,0.17013676833332547
ĠThe,служ,2,0.27901458905930737,0.27901458905930737,0.27901458905930737
Ġservice,смысл-част,2,0.43952993882477215,0.43952993882477215,0.43952993882477215
Ġcard,смысл-редк,2,0.3072888441241314,0.3072888441241314,0.3072888441241314
's,подслово,2,0.5537159845299723,0.5537159845299723,0.5537159845299723
ĠThey,служ,2,0.3505326932033163,0.3505326932033163,0.3505326932033163
Ġthat,служ,2,0.48093178759715355,0.48093178759715355,0.48093178759715355
Ġtoo,служ,2,0.6962116083865175,0.6962116083865175,0.6962116083865175
Ġthere,служ,2,0.6388405630351792,0.6388405630351792,0.6388405630351792
Ġgym,смысл-редк,2,0.29118501871578123,0.29118501871578123,0.29118501871578123
Ġat,служ,2,0.44319836732999845,0.44319836732999845,0.44319836732999845
Ġwere,служ,2,0.4228636667928915,0.4228636667928915,0.4228636667928915
",",пункт,9,0.6667235121086243,1.4706497258152254,0.335398993117192
Ġthe,служ,7,0.876100809143235,1.3809670769282234,0.2817499298842652
Ġwith,служ,2,0.5500310808862241,0.5500310808862241,0.5500310808862241
Ġit,служ,3,0.6009713701361129,0.7013306744135065,0.45587316949507656
Ġand,служ,3,0.46837410552911846,0.527063127123773,0.39506647945172624
Ġthat,служ,2,0.47391664582696547,0.47391664582696547,0.47391664582696547
Ġup,служ,2,0.5296374125115256,0.5296374125115256,0.5296374125115256
.,пункт,8,0.9014819867650825,1.4418415422600495,0.03493074329429933
Ġcard,смысл-редк,3,0.34331955837115674,0.36980739631831255,0.30280655607097884
ĠThe,служ,3,0.31089118472298155,0.35364604977360714,0.27494472520609636
Ġwas,служ,4,0.45766500800776944,0.5714010044568085,0.36937709724838
Ġmy,служ,2,0.48036246715981207,0.48036246715981207,0.48036246715981207
Ġservice,смысл-част,3,0.45985239169149617,0.4754415022378991,0.43311870772586086
Ġto,служ,3,0.5962689989100451,0.6660596801768582,0.49082847704245414
Ġyou,служ,2,0.4211476657343419,0.4211476657343419,0.4211476657343419
Ġof,служ,3,0.6001468036641907,0.6265326693259039,0.5762973907955915
Ġthere,служ,2,0.6295220749796704,0.6295220749796704,0.6295220749796704
Ġtoo,служ,2,0.6860562739693774,0.6860562739693774,0.6860562739693774
't,подслово,2,0.38993974419166405,0.38993974419166405,0.38993974419166405
ĠID,смысл-редк,2,0.3958906130352684,0.3958906130352684,0.3958906130352684
Ġcalled,смысл-част,3,0.41090783420256555,0.46901461944595746,0.36688816681280373
ĠI,служ,3,0.515347271806621,0.6285995372120061,0.29396296545280187
Ġeven,служ,2,0.22899251615472366,0.22899251615472366,0.22899251615472366
Ġa,служ,3,0.40662082122987975,0.41342914506287864,0.40044228543005117
Ġgym,смысл-редк,2,0.2869376301248713,0.2869376301248713,0.2869376301248713
Ġin,служ,2,0.5284966975069129,0.5284966975069129,0.5284966975069129
Ġhotel,смысл-редк,2,0.3199078024709233,0.3199078024709233,0.3199078024709233
Ġwho,служ,3,0.6644638966801124,0.8042736515808406,0.47782226247830734
Ġfriends,смысл-част,2,0.5351835622693795,0.5351835622693795,0.5351835622693795
Ġplace,смысл-част,2,0.23683777805771006,0.23683777805771006,0.23683777805771006
Ġfor,служ,3,0.5083065057826438,0.5544771360087739,0.4306428693647778
Ġfound,смысл-част,2,0.33150310221949025,0.33150310221949025,0.33150310221949025
Ġsucks,смысл-редк,2,0.29690650557552994,0.29690650557552994,0.29690650557552994
Ġhere,служ,2,0.5068891588418828,0.5068891588418828,0.5068891588418828
Ġso,служ,2,0.34303460492091814,0.34303460492091814,0.34303460492091814
Ġdidn,смысл-част,2,0.3611407209279418,0.3611407209279418,0.3611407209279418
Ġat,служ,2,0.43673362646795305,0.43673362646795305,0.43673362646795305
ĠID,смысл-редк,5,0.46483060080564503,0.6090265678925558,0.24382149513809936
ĠI,служ,3,0.3294888313739068,0.3490796262419024,0.2964573729298173
Ġfriend,смысл-част,2,0.36170216692426976,0.36170216692426976,0.36170216692426976
't,подслово,3,0.34952977001609536,0.3778435559300035,0.30498355487666357
Ġcalled,смысл-част,3,0.4143945712900768,0.4729944186420006,0.37000137729874594
Ġof,служ,4,0.5713001482331165,0.6318490797538422,0.40710650719179126
ĠThe,служ,4,0.3372288267302832,0.39679023689258464,0.30070063523457924
ĠHe,служ,2,0.36527453497392887,0.36527453497392887,0.36527453497392887
.,пункт,7,0.715659448360361,1.4690308004383732,0.33108296957764155
Ġfriends,смысл-част,2,0.539724834593409,0.539724834593409,0.539724834593409
Ġcall,смысл-част,2,0.5351578516706713,0.5351578516706713,0.5351578516706713
Ġwas,служ,3,0.4110478517341794,0.470853320343929,0.372511427424276
Ġthe,служ,7,0.8496609328684203,1.4004079827916844,0.17724107936590902
Ġto,служ,3,0.6143083807658323,0.6955599915109847,0.49499337659427656
Ġhere,служ,2,0.5111903404750373,0.5111903404750373,0.5111903404750373
Ġsucks,смысл-редк,2,0.2994258903093903,0.2994258903093903,0.2994258903093903
Ġme,служ,2,0.3592793964172961,0.3592793964172961,0.3592793964172961
Ġand,служ,5,0.5492355673786604,0.7279638137519933,0.35962316141254796
Ġhad,служ,2,0.582017747916733,0.582017747916733,0.582017747916733
Ġmy,служ,4,0.3762773909353231,0.437079717587247,0.29940400886744906
",",пункт,7,0.7465496250567861,1.4636428655144123,0.39019208808610295
Ġvan,смысл-редк,2,0.4710130153828401,0.4710130153828401,0.4710130153828401
Ġdidn,смысл-част,2,0.4780277864124543,0.4780277864124543,0.4780277864124543
Ġfound,смысл-част,2,0.3343160545774731,0.3343160545774731,0.3343160545774731
's,подслово,2,0.5502691643462371,0.5502691643462371,0.5502691643462371
Ġhotel,смысл-редк,2,0.3226223635150666,0.3226223635150666,0.3226223635150666
Ġwere,служ,3,0.46801001163932077,0.5358529674586195,0.4264518544769475
Ġat,служ,2,0.4404395069745253,0.4404395069745253,0.4404395069745253
ĠThey,служ,2,0.3483506663235652,0.3483506663235652,0.3483506663235652
Ġservice,смысл-част,3,0.4637544452797494,0.4794758364141069,0.43679391402718004
Ġup,служ,2,0.5341316232698122,0.5341316232698122,0.5341316232698122
Ġas,служ,2,0.6504041724427647,0.6504041724427647,0.6504041724427647
Ġto,служ,5,0.566656749363299,0.6673794846840522,0.31333306211769846
TF,подслово,3,0.46735461898336905,0.6054939484877297,0.2846671015484879
Ġyou,служ,5,0.4062479060212929,0.5114448412705943,0.29572099488264586
Ġpurchase,смысл-редк,3,0.5501871422877549,0.624281161185791,0.4851607919413103
ĠV,смысл-част,4,0.5101332948304801,0.694673596895488,0.30515847927799467
Ġa,служ,3,0.582091488222751,0.6816821822316271,0.4132815518326133
ages,подслово,2,0.3974512178403205,0.3974512178403205,0.3974512178403205
Ġbroker,смысл-редк,2,0.30636398769012485,0.30636398769012485,0.30636398769012485
Ġof,служ,5,0.5153492007239839,0.6974925984201786,0.10293915873069395
"),",пункт,2,0.42392499761967745,0.42392499761967745,0.42392499761967745
Ġ(,пункт,3,0.34448617945661775,0.3978057891089929,0.28289547624262085
minimum,подслово,2,0.1455164325315218,0.1455164325315218,0.1455164325315218
Ġfor,служ,3,0.530447062040647,0.6828515579670386,0.37058396368781643
Ġthe,служ,5,0.45790056112887884,0.5568186413617405,0.352444545372469
Ġinitial,смысл-редк,2,0.17659321271778808,0.17659321271778808,0.17659321271778808
Ġfunds,смысл-редк,5,0.3929806724308439,0.4528329573198493,0.33773335952974515
Ġwill,служ,2,0.44578875729756384,0.44578875729756384,0.44578875729756384
's,подслово,3,0.3561059157685058,0.43988080709784494,0.19419990908920368
Some,подслово,2,0.251184172973092,0.251184172973092,0.251184172973092
Ġyour,служ,2,0.3748960661474936,0.3748960661474936,0.3748960661474936
Ġindex,смысл-редк,2,0.44583551670628496,0.44583551670628496,0.44583551670628496
",",пункт,8,0.801381311903379,1.3770595144033342,0.305681293942511
Ġare,служ,2,0.544647225146312,0.544647225146312,0.544647225146312
Ġand,служ,3,0.528659396945185,0.6081738119423126,0.45780115244384867
Ġcharge,смысл-редк,2,0.5322716666488262,0.5322716666488262,0.5322716666488262
ĠE,смысл-част,2,0.3424013902450706,0.3424013902450706,0.3424013902450706
Ġfund,смысл-редк,2,0.38255421325145933,0.38255421325145933,0.38255421325145933
Ġbuy,смысл-част,2,0.4004823000439307,0.4004823000439307,0.4004823000439307
Ġwith,служ,2,0.10366785276066605,0.10366785276066605,0.10366785276066605
age,подслово,2,0.3181798817987949,0.3181798817987949,0.3181798817987949
Ġclass,смысл-част,2,0.46240060660535276,0.46240060660535276,0.46240060660535276
Fs,подслово,4,0.3196514794522862,0.43872421556437674,0.1639865230431665
Ġas,служ,2,0.5492145692266245,0.5492145692266245,0.5492145692266245
Ġhas,служ,2,0.5415623626556805,0.5415623626556805,0.5415623626556805
angu,подслово,3,0.3774270487585815,0.45056008592047697,0.3018998864204036
Ġmutual,смысл-редк,4,0.4480616242927371,0.5153215799240383,0.4038065009080285
Ġshares,смысл-редк,2,0.2956402960335292,0.2956402960335292,0.2956402960335292
ard,подслово,3,0.5394304911140314,0.5932745035103019,0.43846749073418334
  ,пункт,2,0.32458410551406813,0.32458410551406813,0.32458410551406813
Ġhave,служ,2,0.5000568510826218,0.5000568510826218,0.5000568510826218
Ġbroker,смысл-редк,2,0.6361057748949567,0.6361057748949567,0.6361057748949567
Ġhas,служ,2,0.32558614862650903,0.32558614862650903,0.32558614862650903
ĠE,смысл-част,3,0.40442815295720314,0.4826371045879736,0.33701846879775293
ĠET,смысл-редк,3,0.3671051229434248,0.38479690236392494,0.3499752541229148
TF,подслово,3,0.38403956525640637,0.4833311318048355,0.28019182577587975
.,пункт,6,0.8196677542939284,1.3302088486898744,0.3186778283472064
Ġfunds,смысл-редк,4,0.46395322942674083,0.518997597660464,0.40411563244747023
Ġof,служ,3,0.5347397335902826,0.6266319037488156,0.4503617115477559
ĠV,смысл-част,3,0.3729354910670826,0.4149158984841274,0.3507098183446135
Ġexplanation,смысл-редк,2,0.15181572360378795,0.15181572360378795,0.15181572360378795
",",пункт,5,0.6728852540587005,0.9284503902467567,0.3783582151058439
%,пункт,2,0.16611512162064934,0.16611512162064934,0.16611512162064934
Ġfund,смысл-редк,4,0.4373418908740853,0.49870292069193667,0.3509357907287293
Some,подслово,2,0.24723528517518947,0.24723528517518947,0.24723528517518947
Ġmutual,смысл-редк,7,0.38575592147263965,0.4751045214916315,0.12216053449101077
  ,пункт,6,0.3094277093447658,0.4187878958853193,0.1915888458713572
Ġalso,служ,2,0.193440718794248,0.193440718794248,0.193440718794248
Ġand,служ,2,0.4867962991699808,0.4867962991699808,0.4867962991699808
Ġhave,служ,4,0.4483379481752547,0.49219541469463235,0.36283292153620555
's,подслово,3,0.36630633555408204,0.4517417723926965,0.21976688053797466
Ġthe,служ,4,0.49477761100037343,0.5774345960223259,0.39791243121508446
Ġyou,служ,4,0.4387405617704638,0.5034043733179818,0.3443547481045082
Ġno,служ,2,0.3948217799375135,0.3948217799375135,0.3948217799375135
Ġthey,служ,3,0.355940019033175,0.41962450092145115,0.23098735632273854
Ġ(,пункт,4,0.4091393764563246,0.44741093823604444,0.35418903393285733
