токен,класс,k,размах,диаметр,мин. пара
Ġwho,служ,2,0.5662139386209867,0.5662139386209867,0.5662139386209867
Ġhis,служ,2,0.46259111357802407,0.46259111357802407,0.46259111357802407
ĠThe,служ,2,0.6172092359558636,0.6172092359558636,0.6172092359558636
Ġa,служ,4,0.4380706143337802,0.5307851853487211,0.37739959464246464
.,пункт,10,0.6427854441042085,1.3820962385386792,0.2761696414410475
",",пункт,3,0.33962894838877583,0.3716937356195798,0.28212107737548964
-,пункт,3,0.9815973999318596,1.1628534967418687,0.6259360483010737
Ġof,служ,3,0.5951951782553533,0.6851351101776377,0.4423038080000607
Ġhe,служ,4,0.49138938488852923,0.6804688142083974,0.31228818056480273
Ġwith,служ,3,0.5407967231436899,0.5935502487299082,0.47822407925750504
ĠJack,смысл-редк,2,0.3150224526995849,0.3150224526995849,0.3150224526995849
ĠLiverpool,смысл-редк,3,0.3978572943033275,0.46854124956977833,0.2666320381058127
Ġwants,смысл-част,2,0.6902945939358992,0.6902945939358992,0.6902945939358992
's,подслово,5,0.544397987937962,0.7152065196359595,0.294123369832745
Ġhas,служ,2,0.5717870832681127,0.5717870832681127,0.5717870832681127
Ġmake,смысл-част,2,0.45336450457944255,0.45336450457944255,0.45336450457944255
Ġfirst,смысл-част,2,0.6845133999162554,0.6845133999162554,0.6845133999162554
Ġ.,пункт,2,0.4969775160344763,0.4969775160344763,0.4969775160344763
Ġthat,служ,2,0.5768585058853318,0.5768585058853318,0.5768585058853318
ĠRepublic,смысл-редк,2,0.36243945082351053,0.36243945082351053,0.36243945082351053
",'",пункт,2,0.2857143643181159,0.2857143643181159,0.2857143643181159
ĠA,служ,2,0.3686054694881511,0.3686054694881511,0.3686054694881511
Ġhe,служ,4,0.5595345896079114,0.7645455277478174,0.31545680154182826
's,подслово,3,0.4102588013269785,0.5341814341425805,0.18837442261116658
ish,подслово,3,0.45218496443670636,0.5303600852376029,0.3705794239197138
-,пункт,2,1.168953968282376,1.168953968282376,1.168953968282376
ĠSher,смысл-редк,2,0.4174592213994199,0.4174592213994199,0.4174592213994199
ĠG,смысл-част,4,0.4557727360657984,0.558047327968895,0.22346653399039554
",",пункт,5,0.39011857651579335,0.4888121777958199,0.2852818300877919
Ġthe,служ,10,0.6986784142195708,1.2674742771401104,0.00898133583284248
Ġ',пункт,4,0.32464854540174587,0.45437887924177495,0.22147754693606264
Ġwith,служ,4,0.504725541276264,0.6257423181635571,0.41140805254784996
.,пункт,10,0.6263250971074062,1.3802614934934567,0.24135115793466963
Ġfirst,смысл-част,3,0.5963520224472584,0.692182368167475,0.5130873646111154
ĠVilla,смысл-редк,5,0.464231995723454,0.721972138602442,0.1818300700653372
ĠA,служ,3,0.35817308220045907,0.3964961828016715,0.3052879108852311
Ġwhere,служ,2,0.3682589892864698,0.3682589892864698,0.3682589892864698
Ġand,служ,6,0.5397445488835132,0.7008187364366223,0.3960975731136506
real,подслово,2,0.4904891147887967,0.4904891147887967,0.4904891147887967
Ġto,служ,11,0.8825941517436502,1.3725247883461056,0.09408072844948773
Ġmake,смысл-част,2,0.20024472088104567,0.20024472088104567,0.20024472088104567
ston,подслово,3,0.2420909090994801,0.28473922098643684,0.1593300905795448
Ġhas,служ,3,0.5842075213381965,0.6754194072801034,0.473339821903879
Ġfor,служ,4,0.4487637589132433,0.49144630938469275,0.3996215077115338
Ġa,служ,3,0.5199076951027067,0.5783627555045054,0.4251664643319467
ĠIreland,смысл-редк,2,0.39438653948047897,0.39438653948047897,0.39438653948047897
Ġhis,служ,2,0.45587216947787246,0.45587216947787246,0.45587216947787246
Ġinternational,смысл-редк,2,0.5217137091622417,0.5217137091622417,0.5217137091622417
Ġhim,служ,2,0.38094391515003356,0.38094391515003356,0.38094391515003356
Ġwants,смысл-част,3,0.6592016126102712,0.9227349503537317,0.1893404764863737
Ġmore,служ,2,0.6109764956857046,0.6109764956857046,0.6109764956857046
Ġat,служ,2,0.5235798826910809,0.5235798826910809,0.5235798826910809
",'",пункт,2,0.28891537453813665,0.28891537453813665,0.28891537453813665
ston,подслово,2,0.32755560573540965,0.32755560573540965,0.32755560573540965
Ġgot,смысл-част,3,0.5241797321327337,0.6015908487056979,0.3916141082477318
's,подслово,8,0.5583627107208707,0.7133071089866331,0.26377769270461804
.,пункт,8,0.6835101287874659,1.3979214749901794,0.2643620424911188
Ġhas,служ,2,0.5635274167719027,0.5635274167719027,0.5635274167719027
Ġyou,служ,2,0.4296236111319678,0.4296236111319678,0.4296236111319678
Ġ',пункт,3,0.2766702787677919,0.33058563563355703,0.2415175200909041
Ġis,служ,4,0.47386766001965336,0.5470591403792242,0.3759442170412232
ĠJack,смысл-редк,3,0.6066706061731545,0.6779711691014818,0.49228241650371357
Ġto,служ,10,0.7248033281884029,1.3427518178019202,0.2737808246937497
Ġof,служ,2,0.6665018984094535,0.6665018984094535,0.6665018984094535
ĠG,смысл-част,4,0.474317891504449,0.594880975345803,0.2903543564685571
Ġup,служ,2,0.33585158017797456,0.33585158017797456,0.33585158017797456
Ġdecision,смысл-част,2,0.4274560426731678,0.4274560426731678,0.4274560426731678
ĠSher,смысл-редк,2,0.47222748941301584,0.47222748941301584,0.47222748941301584
Ġhis,служ,2,0.5238283258936912,0.5238283258936912,0.5238283258936912
Ġfor,служ,5,0.41665010472612524,0.5070946715508275,0.30530236273360545
ĠRepublic,смысл-редк,2,0.2870937057679397,0.2870937057679397,0.2870937057679397
Ġhad,служ,2,0.5502001325689306,0.5502001325689306,0.5502001325689306
Ġa,служ,3,0.5515341781022122,0.5785038207286269,0.5141850242442539
ble,подслово,2,0.22905309664537177,0.22905309664537177,0.22905309664537177
ĠVilla,смысл-редк,3,0.5999025196535996,0.717075820763076,0.5249281692349764
Ġhe,служ,2,0.5004641009742028,0.5004641009742028,0.5004641009742028
Ġwants,смысл-част,2,0.6031228145944852,0.6031228145944852,0.6031228145944852
real,подслово,2,0.4898863221450626,0.4898863221450626,0.4898863221450626
Ġwith,служ,2,0.41150839678437917,0.41150839678437917,0.41150839678437917
Ġand,служ,5,0.6142590225707342,0.8019604981793427,0.41912174781233247
ĠW,смысл-част,2,0.19001229305001696,0.19001229305001696,0.19001229305001696
Ġdo,служ,2,0.4166014981048779,0.4166014981048779,0.4166014981048779
2,пункт,2,0.388729547969212,0.388729547969212,0.388729547969212
Ġof,служ,9,0.49902436681986656,0.6099725936641861,0.15915469452423733
Ġcommonly,смысл-редк,2,0.5724211239695342,0.5724211239695342,0.5724211239695342
Ġthe,служ,16,0.720292531087526,1.2609933043681703,0.049603131023951925
Ġtime,смысл-част,4,0.4229434134937045,0.49671250335002193,0.32690459245276615
Ġ,пункт,4,0.4085964515739401,0.5096746343072409,0.28711234558012894
Ġfor,служ,2,0.36850557004082873,0.36850557004082873,0.36850557004082873
ĊĊĊ,пункт,2,0.3633473413736811,0.3633473413736811,0.3633473413736811
(,пункт,3,0.4806165751566896,0.6004988431822205,0.24174242871634222
)},пункт,3,0.43170877658122486,0.5022393474065786,0.3074247548497363
Ġone,служ,2,0.19084836061307875,0.19084836061307875,0.19084836061307875
Ġcomplexity,смысл-редк,2,0.5256485536990528,0.5256485536990528,0.5256485536990528
Ġaverage,смысл-част,2,0.4084816432453029,0.4084816432453029,0.4084816432453029
Ġis,служ,4,0.4307082424127569,0.4853576048999467,0.35770502372487095
ĊĊ,пункт,6,0.5488931809491558,0.7710820708294193,0.19323297026852987
-,пункт,2,0.19115285421483896,0.19115285421483896,0.19115285421483896
Ġa,служ,4,0.5453071501618043,0.6243575120849242,0.42235322035836453
Ġexpressed,смысл-редк,2,0.3523563935701529,0.3523563935701529,0.3523563935701529
Ġelementary,смысл-редк,3,0.34413333825608317,0.37102688035066783,0.31176013995838736
n,подслово,4,0.4025268997765444,0.5522473948403941,0.27383093336397857
Ġinputs,смысл-редк,3,0.3760445697715951,0.4359592181931515,0.2852512821252227
",",пункт,6,0.827366000324121,1.2642307248908,0.37984864205473157
Ġnotation,смысл-редк,2,0.316919442092429,0.316919442092429,0.316919442092429
Ġperformed,смысл-редк,2,0.21938226473879657,0.21938226473879657,0.21938226473879657
displaystyle,подслово,2,0.4906155199924097,0.4906155199924097,0.4906155199924097
Ġby,служ,3,0.43151475538466055,0.5841870680217854,0.1477799078055262
Ġan,служ,2,0.4670331855828742,0.4670331855828742,0.4670331855828742
.,пункт,5,0.38183523187928675,0.4530045057821662,0.2534507246207064
),пункт,3,0.18221801146274896,0.23444702735401096,0.11660702243331386
{\,пункт,2,0.1483853296364664,0.1483853296364664,0.1483853296364664
Ġtaken,смысл-част,3,0.48656621587159843,0.5873511771909787,0.30880327241722144
O,подслово,2,0.15606414877017605,0.15606414877017605,0.15606414877017605
^{\,пункт,2,0.1932719757534265,0.1932719757534265,0.1932719757534265
Ġalgorithm,смысл-част,2,0.3222897832642715,0.3222897832642715,0.3222897832642715
Ġsize,смысл-част,2,0.4999993426609993,0.4999993426609993,0.4999993426609993
Ġbehavior,смысл-редк,2,0.4328456371170713,0.4328456371170713,0.4328456371170713
Ġoperations,смысл-редк,2,0.17363935987446405,0.17363935987446405,0.17363935987446405
Ġcomputer,смысл-част,2,0.5496319031782526,0.5496319031782526,0.5496319031782526
",",пункт,9,0.6389876292308407,1.285056460014475,0.12606726951067432
Ġof,служ,12,0.49793739220363176,0.630691987929341,0.2918470010868521
Ċ,пункт,24,0.7493233028404896,1.2970145644815387,0.14533005271394794
Ġis,служ,2,0.478831357257854,0.478831357257854,0.478831357257854
)},пункт,4,0.419121439808039,0.5053835959428687,0.338323054358695
(,пункт,4,0.44313691767940144,0.6031825619599172,0.16399523552731576
Ġnumber,смысл-част,2,0.47851227241817135,0.47851227241817135,0.47851227241817135
Ġ,пункт,2,0.46442708647130104,0.46442708647130104,0.46442708647130104
Ġare,служ,2,0.6175526744512794,0.6175526744512794,0.6175526744512794
Ġalgorithm,смысл-част,5,0.36088931162036814,0.48048751877479023,0.18421367257832338
Ġtaken,смысл-част,2,0.3107365224549041,0.3107365224549041,0.3107365224549041
ĊĊ,пункт,5,0.48119800440682814,0.7266030149964657,0.18132224175743927
Ġtime,смысл-част,3,0.47515669107558356,0.5033283486615076,0.4335866529690322
n,подслово,7,0.4078691356323542,0.5472620645020491,0.2176584883965258
Ġsize,смысл-част,4,0.4099657573210099,0.5182347671803769,0.21818595336036636
Ġoperations,смысл-редк,2,0.17472642186183493,0.17472642186183493,0.17472642186183493
Ġinputs,смысл-редк,2,0.2870370859076792,0.2870370859076792,0.2870370859076792
Ġand,служ,2,0.48094473593182563,0.48094473593182563,0.48094473593182563
ĊĊĊ,пункт,4,0.2469959279710018,0.367173008750232,0.10790532231823453
displaystyle,подслово,2,0.184597913394529,0.184597913394529,0.184597913394529
Ġa,служ,5,0.533782172314231,0.6344984720892988,0.4249973451203263
Ġby,служ,2,0.5660992820439533,0.5660992820439533,0.5660992820439533
.,пункт,2,0.3022688394976835,0.3022688394976835,0.3022688394976835
Ġcomplexity,смысл-редк,4,0.46348499367569856,0.5578577535373156,0.2945166890631031
Ġusually,смысл-част,2,0.6379899378288727,0.6379899378288727,0.6379899378288727
O,подслово,3,0.1868458724304656,0.2131916284373832,0.15177792560578288
{\,пункт,2,0.15482859319379066,0.15482859319379066,0.15482859319379066
Ġcommonly,смысл-редк,2,0.5760047425977373,0.5760047425977373,0.5760047425977373
Ġamount,смысл-част,3,0.3646333376531372,0.4072353768851707,0.2842675464578171
Ġto,служ,3,0.5403036680148701,0.5541519489501632,0.5133468714688326
Ġinput,смысл-редк,2,0.4633312080689228,0.4633312080689228,0.4633312080689228
.,пункт,3,0.46133314837736816,0.5048155050314717,0.4102575194693234
Ġa,служ,3,0.5462648710907313,0.6168634144822958,0.4217036522104977
Ġand,служ,3,0.45113792026514704,0.4772174555500869,0.42129616970394884
(,пункт,7,0.3847602007829139,0.6079198949286124,0.13777593466068452
Ġalgorithm,смысл-част,4,0.31819324080885597,0.3964988380193217,0.18278603244308225
Ċ,пункт,20,0.7780878836859257,1.3189079690386396,0.06079754537808752
displaystyle,подслово,4,0.18647264645819506,0.2173154159695112,0.14844679348372908
Ġof,служ,7,0.48634712522543005,0.6044394810734631,0.22672281641891393
{\,пункт,3,0.27459472496078985,0.3489751760426132,0.1948172390160463
Ġgiven,смысл-част,3,0.1649437262445898,0.18691716910467296,0.1386869922241767
n,подслово,5,0.4703042782617076,0.6543613116724674,0.30377620207385664
Ġto,служ,2,0.7251889202511453,0.7251889202511453,0.7251889202511453
ĊĊ,пункт,7,0.5652563469089855,0.7209719040584047,0.2093221012902385
Ġfunction,смысл-част,2,0.8039490389847302,0.8039490389847302,0.8039490389847302
ĊĊĊ,пункт,5,0.2683319832018132,0.36432744947912954,0.10706906534126046
Ġ,пункт,4,0.3859936917166427,0.5088907681206857,0.15945358538833612
Ġsize,смысл-част,5,0.4390544760807586,0.5160855130150002,0.2286006350159366
",",пункт,7,0.5027130069490249,0.7324453539952867,0.2859121605851735
Ġcomplexity,смысл-редк,4,0.4019008009152819,0.45920760440349134,0.31909413114764595
Ġis,служ,4,0.4792069368111328,0.5431498802995357,0.41890086087162753
Ġtime,смысл-част,7,0.46678175986625203,0.5795945577554776,0.31518851939108516
Ġperformed,смысл-редк,2,0.2190448605839039,0.2190448605839039,0.2190448605839039
log,подслово,2,0.45236973185428864,0.45236973185428864,0.45236973185428864
Ġby,служ,2,0.1475526261929373,0.1475526261929373,0.1475526261929373
Ġelementary,смысл-редк,2,0.37045625076419586,0.37045625076419586,0.37045625076419586
),пункт,2,0.3013832105280273,0.3013832105280273,0.3013832105280273
1,пункт,2,0.3234534276504391,0.3234534276504391,0.3234534276504391
Ġexpressed,смысл-редк,2,0.3518144787014414,0.3518144787014414,0.3518144787014414
)},пункт,2,0.33570107975540114,0.33570107975540114,0.33570107975540114
Ġ(,пункт,2,0.48368480158028426,0.48368480158028426,0.48368480158028426
Ġformal,смысл-редк,2,0.6502587261095568,0.6502587261095568,0.6502587261095568
Ġformally,смысл-редк,2,0.570504576751826,0.570504576751826,0.570504576751826
Ġif,служ,3,0.5053023111463594,0.6729901206001451,0.2625088364301828
ability,подслово,3,0.40635811156542423,0.48006749068098636,0.2936547309209476
Ġcomput,смысл-редк,5,0.4983758878437374,0.6286204163155452,0.38864693395447786
Ġit,служ,2,0.18800988750787334,0.18800988750787334,0.18800988750787334
Ġcoincide,смысл-редк,2,0.42744836400949854,0.42744836400949854,0.42744836400949854
Ġthe,служ,6,0.8479952222763532,1.2695664834755145,0.5058258400499678
Ġof,служ,6,0.6968711468113257,1.2490730077840235,0.33325435195038433
Ġmathematic,смысл-редк,3,0.40938399713352774,0.5072092882018857,0.2806903686365839
Ġon,служ,2,0.46195993113804146,0.46195993113804146,0.46195993113804146
Ġa,служ,4,0.4494134485711036,0.5682171828564084,0.3127958922979885
",",пункт,12,0.4781067499830533,0.6701698346960399,0.2055381561865369
).,пункт,2,0.3695072898569018,0.3695072898569018,0.3695072898569018
Ġthesis,смысл-редк,4,0.5165198899820226,0.579445538507792,0.4062182383607152
uring,подслово,10,0.5789690849059531,0.8549754989875656,0.3337124545221762
Ġinformal,смысл-редк,2,0.36125085425762393,0.36125085425762393,0.36125085425762393
Ċ,пункт,2,0.35187674506527533,0.35187674506527533,0.35187674506527533
Ġthree,смысл-част,2,0.2529310077768121,0.2529310077768121,0.2529310077768121
Ġeffective,смысл-част,2,0.43062703659762125,0.43062703659762125,0.43062703659762125
able,подслово,5,0.44562002365376124,0.5211415698310224,0.36252842772792643
Ġby,служ,5,0.34624302370154036,0.4074922237752001,0.28914132672085535
Ġis,служ,6,0.425382293483138,0.6078700699565266,0.25318409226372
Ġand,служ,4,0.6072599295020384,0.7162176721949038,0.4643468239959787
Ġthat,служ,4,0.5005538017016413,0.7252275659987533,0.28280382902926954
Ġto,служ,3,0.5191656436637809,0.5982323069691393,0.4282610670593372
Ġfunctions,смысл-редк,2,0.17678758277074308,0.17678758277074308,0.17678758277074308
ĠChurch,смысл-редк,4,0.5949555821064018,0.6844198072158174,0.4633710136059035
Ġvariations,смысл-редк,2,0.5057545214780061,0.5057545214780061,0.5057545214780061
Ġclasses,смысл-редк,2,0.2640292980159067,0.2640292980159067,0.2640292980159067
Ġfunction,смысл-част,2,0.34970980981702593,0.34970980981702593,0.34970980981702593
Ġbe,служ,2,0.47683551912818317,0.47683551912818317,0.47683551912818317
Ġstates,смысл-част,2,0.324684255131007,0.324684255131007,0.324684255131007
-,пункт,2,0.42201606958048177,0.42201606958048177,0.42201606958048177
able,подслово,6,0.5472972228617524,0.7076270082309215,0.38572316213930546
ian,подслово,2,0.19891522884260282,0.19891522884260282,0.19891522884260282
Ġcomput,смысл-редк,6,0.44760430030097925,0.6165315049719372,0.19531223834151482
Ġand,служ,5,0.6241205685481235,0.7287626359278765,0.38220352000809915
",",пункт,7,0.5018633178932452,0.6143155007884028,0.2843299106556379
Ġthe,служ,12,0.6356886333912365,1.254863988714257,0.2010301705794478
ĠT,служ,4,0.37763348292917864,0.4052278242889053,0.34759792560788594
Ġnotion,смысл-редк,2,0.47764023844378883,0.47764023844378883,0.47764023844378883
uring,подслово,5,0.6016439424556039,0.6659957721240533,0.5305453372150943
Ġonly,служ,3,0.6215430639483775,0.8356280777261362,0.1985410577486403
Ġcalcul,смысл-редк,3,0.4044955019130888,0.43290421072571245,0.3612535149486953
Ġis,служ,5,0.41244443414556553,0.5079268776782458,0.2739674741538531
Ġmathematic,смысл-редк,2,0.44219551301074683,0.44219551301074683,0.44219551301074683
Ġare,служ,2,0.5919490209044386,0.5919490209044386,0.5919490209044386
Ġfunctions,смысл-редк,3,0.478364317712222,0.5320588578246496,0.44645947891703963
's,подслово,2,0.3719084218063742,0.3719084218063742,0.3719084218063742
Ġthese,служ,2,0.4175487186551055,0.4175487186551055,0.4175487186551055
.,пункт,2,0.2940522333736539,0.2940522333736539,0.2940522333736539
Ġthesis,смысл-редк,7,0.4948623788216119,0.6654754210374039,0.29923323743994756
ĠChurch,смысл-редк,3,0.4633252143572754,0.5631257088332005,0.3591772882234833
T,подслово,3,0.27504776952085586,0.3015988392173026,0.24780668620411697
Ġvariations,смысл-редк,2,0.507986812392289,0.507986812392289,0.507986812392289
âĢĵ,пункт,2,0.37181521009729895,0.37181521009729895,0.37181521009729895
Ġit,служ,3,0.4982652062452473,0.6589448863744861,0.2546341237553772
Ġif,служ,4,0.4915144736524624,0.6451695275642803,0.2636674935762812
Ġto,служ,2,0.6316227930180176,0.6316227930180176,0.6316227930180176
).,пункт,2,0.371138215001176,0.371138215001176,0.371138215001176
Ġof,служ,4,0.8211675712067266,1.2110042067551232,0.405496599392168
Ġformal,смысл-редк,2,0.6531288272843035,0.6531288272843035,0.6531288272843035
ability,подслово,2,0.4473178008608303,0.4473178008608303,0.4473178008608303
Ġcoincide,смысл-редк,2,0.42933502850537886,0.42933502850537886,0.42933502850537886
),пункт,2,0.33242767560217884,0.33242767560217884,0.33242767560217884
Ġthat,служ,2,0.7284285633949513,0.7284285633949513,0.7284285633949513
Ġ(,пункт,3,0.39110515033473436,0.4962566254854811,0.1912391439876088
Ġcomput,смысл-редк,6,0.45231546700402564,0.6144713971930859,0.13732827646072907
ians,подслово,2,0.44309518296353895,0.44309518296353895,0.44309518296353895
Ġabout,служ,2,0.384475973527483,0.384475973527483,0.384475973527483
Ġand,служ,4,0.6224254114636628,0.7263275136946995,0.5280793312076003
Ġcoincide,смысл-редк,2,0.4279004279621389,0.4279004279621389,0.4279004279621389
Ġit,служ,2,0.6567430564999265,0.6567430564999265,0.6567430564999265
.,пункт,5,0.27165787600306823,0.3481023521228619,0.21377129014519006
ability,подслово,3,0.326606498552048,0.3661517798515706,0.2934274676586545
Ġfunctions,смысл-редк,2,0.44496765791836934,0.44496765791836934,0.44496765791836934
T,подслово,2,0.24004885531344378,0.24004885531344378,0.24004885531344378
Ġto,служ,2,0.5315651395703539,0.5315651395703539,0.5315651395703539
-,пункт,4,0.4820393457135694,0.5377463384086769,0.4100289592600633
Ġmathematic,смысл-редк,3,0.39066842618688447,0.44071793983114416,0.31082618540635637
).,пункт,2,0.36989807606652786,0.36989807606652786,0.36989807606652786
Ġwhat,служ,2,0.30336731132011885,0.30336731132011885,0.30336731132011885
ian,подслово,2,0.19825056400882551,0.19825056400882551,0.19825056400882551
Ġthe,служ,8,0.8121971859993997,1.2680724811423651,0.12094939762084929
Ġis,служ,2,0.3490820773724939,0.3490820773724939,0.3490820773724939
Ġinformal,смысл-редк,2,0.3616329085659819,0.3616329085659819,0.3616329085659819
uring,подслово,5,0.5811987876493897,0.6986353139848059,0.385598346160183
ĠChurch,смысл-редк,5,0.5634635957624963,0.719140163266638,0.3579771161000983
Ġ(,пункт,3,0.42796643622054176,0.43988555674838314,0.4057364727308717
able,подслово,5,0.4894140808799786,0.6344838551646318,0.36291183318173587
Ġcalcul,смысл-редк,2,0.4314576839467538,0.4314576839467538,0.4314576839467538
Ġthesis,смысл-редк,5,0.4412934392255491,0.6042620519072756,0.3499409239980848
Ġonly,служ,2,0.8012928651575391,0.8012928651575391,0.8012928651575391
Ġbe,служ,2,0.49609212781488377,0.49609212781488377,0.49609212781488377
Ġcan,служ,3,0.3238925075264614,0.3818056234587658,0.27215124454884476
Ġtheory,смысл-част,3,0.40033159872449764,0.4249990070262515,0.37060001031370365
see,подслово,2,0.22154879403339223,0.22154879403339223,0.22154879403339223
Ġconjecture,смысл-редк,2,0.34877341360288694,0.34877341360288694,0.34877341360288694
",",пункт,6,0.7467267946118581,1.327499800373599,0.3041670627934981
Ġby,служ,4,0.34817398658619947,0.4079231823677704,0.28965592091330644
Ġhas,служ,2,0.647308524899223,0.647308524899223,0.647308524899223
Ġcomputer,смысл-част,2,0.5936018999545024,0.5936018999545024,0.5936018999545024
âĢĵ,пункт,2,0.4024397960795812,0.4024397960795812,0.4024397960795812
Ġfunction,смысл-част,2,0.3500796584635854,0.3500796584635854,0.3500796584635854
Ġof,служ,9,0.5451865285597434,0.7087716268775853,0.3732456890107713
Ġfor,служ,3,0.4676044697638998,0.5245434955769946,0.40346788015602153
Ġart,смысл-част,2,0.7616941506368762,0.7616941506368762,0.7616941506368762
Ġin,служ,3,0.40405706624549265,0.43742089893489233,0.34888449420423473
",",пункт,12,0.478594869105502,0.8956971552445364,0.2792695315749489
Ġa,служ,3,0.6432555114486789,0.7947532031862639,0.5253357353289043
2,пункт,2,0.6541223296850631,0.6541223296850631,0.6541223296850631
Ġforecast,смысл-редк,3,0.6101241246178433,0.6962223685322673,0.5090302061263993
Ġthe,служ,9,0.5016411539002968,0.6506584605518364,0.28886727508247223
Ġvolatility,смысл-редк,3,0.4104983650178103,0.4982004563544979,0.2831243720671453
Ġis,служ,5,0.4653591663184332,0.5487646450472603,0.3240360893588011
Ġcontribution,смысл-редк,3,0.40716364106731584,0.4565217642160518,0.3767599045694247
),пункт,5,0.5384337949559905,0.7082176708306472,0.19453203463272137
ĠSection,смысл-редк,2,0.1295040078165503,0.1295040078165503,0.1295040078165503
1,пункт,2,0.1909387310666295,0.1909387310666295,0.1909387310666295
Ġby,служ,2,0.6087603493260554,0.6087603493260554,0.6087603493260554
.,пункт,8,0.7925011171445634,1.3518266338859468,0.19099167191842017
âĢĻ,пункт,2,0.351432607614483,0.351432607614483,0.351432607614483
).,пункт,2,0.3959992448810803,0.3959992448810803,0.3959992448810803
Ċ,пункт,3,0.5147872202941819,0.606624089360788,0.3507867485297553
Ġto,служ,2,0.7143657920145279,0.7143657920145279,0.7143657920145279
Ġbe,служ,2,0.5712827694285978,0.5712827694285978,0.5712827694285978
Ġshould,служ,2,0.6192372919670439,0.6192372919670439,0.6192372919670439
ĠThis,служ,2,0.47227637449163923,0.47227637449163923,0.47227637449163923
.,пункт,10,0.9140824117661221,1.3841961383236066,0.04649121100598655
Ġof,служ,9,0.5307878533166948,0.7088377947020422,0.37523780392678613
Ġis,служ,4,0.42080679951920563,0.44044383303435947,0.3932071212280679
Ġaround,служ,2,0.4855601155025818,0.4855601155025818,0.4855601155025818
Ġneural,смысл-редк,2,0.6134268349170885,0.6134268349170885,0.6134268349170885
1,пункт,2,0.3884139861695477,0.3884139861695477,0.3884139861695477
Ġa,служ,5,0.5195344849546908,0.6465140094730627,0.32200702520954877
",",пункт,7,0.3715926316403214,0.4588732494810463,0.28076006988742985
Ġmodels,смысл-част,3,0.36824311485005834,0.38718075510629013,0.3378992944315067
ĠSection,смысл-редк,2,0.17622388140055054,0.17622388140055054,0.17622388140055054
Ġto,служ,5,0.6259264207828633,0.7617867987549677,0.4804547763720135
Ġtime,смысл-част,3,0.5646097941296685,0.6314558603894393,0.5144944428567925
),пункт,4,0.6080324886810535,0.7385596805837698,0.3303448366454852
Ġin,служ,3,0.6007857525204625,0.6336389374633133,0.5710939989587215
Ġforecast,смысл-редк,4,0.5983903901227164,0.710664362020643,0.502993380536156
Ġ5,пункт,2,0.19493888468043874,0.19493888468043874,0.19493888468043874
Ġvolatility,смысл-редк,3,0.4859393141013787,0.5368604234638286,0.44249725704235565
Ġthe,служ,2,0.4398510117056798,0.4398510117056798,0.4398510117056798
Ġ(,пункт,2,0.5705490284263967,0.5705490284263967,0.5705490284263967
Ġseries,смысл-редк,2,0.4067076566808631,0.4067076566808631,0.4067076566808631
Ġand,служ,3,0.5320609957898698,0.5463574321078323,0.5238839929278407
ĠIn,служ,2,0.14972027725821913,0.14972027725821913,0.14972027725821913
Ġbe,служ,6,0.7548913353637399,1.2949542127342482,0.35589024310949746
Ġdetails,смысл-редк,2,0.19354089839026503,0.19354089839026503,0.19354089839026503
Ċ,пункт,2,0.37756313466723573,0.37756313466723573,0.37756313466723573
Ġshould,служ,2,0.6225423317362898,0.6225423317362898,0.6225423317362898
-,пункт,2,0.41319920289593265,0.41319920289593265,0.41319920289593265
Ġof,служ,10,0.538863782411208,0.7004537723043788,0.4025854303794165
Ġvolatility,смысл-редк,4,0.43985691691084544,0.5305105224732475,0.3172543846936711
",",пункт,9,0.5242817113797591,0.8685279260002592,0.2805838398648111
),пункт,4,0.5944632870019937,0.7739651756168127,0.1873445977803336
Ġpaper,смысл-част,4,0.3090374625324948,0.37697849461842686,0.2494333556265232
Ġthe,служ,9,0.6258841736543653,1.261823683542072,0.30476149879313086
ARCH,подслово,2,0.5734697926719362,0.5734697926719362,0.5734697926719362
Ġa,служ,2,0.5282857559222732,0.5282857559222732,0.5282857559222732
Ġand,служ,4,0.5726288038920516,0.6231723181776436,0.49460045599760677
ĠSection,смысл-редк,2,0.1741395329364757,0.1741395329364757,0.1741395329364757
-,пункт,3,0.3755680629688599,0.40831194745093713,0.3333511767349495
ĠG,смысл-част,2,0.34781394441274893,0.34781394441274893,0.34781394441274893
Ġart,смысл-част,2,0.7567022381787155,0.7567022381787155,0.7567022381787155
3,пункт,2,0.6025662422391088,0.6025662422391088,0.6025662422391088
Ġto,служ,3,0.6649977790882965,0.7478258738813799,0.5602699158406822
Ġtime,смысл-част,3,0.5617499174036376,0.6655057532524684,0.5084090831812437
Ġis,служ,3,0.496594817309998,0.5568047852914374,0.4352343323719054
Ġmodel,смысл-част,3,0.37471646370680073,0.42358588591907115,0.30078168434469654
Ċ,пункт,4,0.5407348155520534,0.6271075891697839,0.41956774208013903
Ġmodelling,смысл-редк,2,0.463390656355059,0.463390656355059,0.463390656355059
Ġfinancial,смысл-редк,2,0.6192235966227309,0.6192235966227309,0.6192235966227309
Ġshould,служ,2,0.6027779436953913,0.6027779436953913,0.6027779436953913
Ġthat,служ,2,0.48916362724098295,0.48916362724098295,0.48916362724098295
Ġin,служ,3,0.46079381547355364,0.4952865007448612,0.3933108898373139
ĠThis,служ,3,0.35586017023274163,0.3914750825081821,0.33410609799988
Ġwould,служ,2,0.25528569952266433,0.25528569952266433,0.25528569952266433
