условие,текст,длина,тип,масштаб
исходный,0,17.80398456658614,повтор токена,33.25303157948616
исходный,0,13.096475708494768,повтор токена,33.25303157948616
исходный,0,26.424839083579336,служ./пункт.,33.25303157948616
исходный,0,25.924282272299635,служ./пункт.,33.25303157948616
исходный,0,19.92001858109194,два смысловых,33.25303157948616
исходный,0,28.949560642338575,прочее,33.25303157948616
исходный,0,26.08741868327376,два смысловых,33.25303157948616
исходный,0,26.31379598234455,два смысловых,33.25303157948616
исходный,0,25.63891989082009,прочее,33.25303157948616
исходный,0,16.23371247118671,повтор токена,33.25303157948616
исходный,0,18.071812595974954,повтор токена,33.25303157948616
исходный,0,12.50375375718632,повтор токена,33.25303157948616
исходный,0,24.06552172557862,два смысловых,33.25303157948616
исходный,0,25.543906049802885,прочее,33.25303157948616
исходный,0,7.429979564718828,повтор токена,33.25303157948616
исходный,0,25.700438549682303,служ./пункт.,33.25303157948616
исходный,0,9.32606194874975,повтор токена,33.25303157948616
исходный,0,27.454821505620988,служ./пункт.,33.25303157948616
исходный,0,25.070916689386518,служ./пункт.,33.25303157948616
исходный,0,6.219552677019438,повтор токена,33.25303157948616
исходный,0,7.410374563823602,повтор токена,33.25303157948616
исходный,0,24.353476942456194,служ./пункт.,33.25303157948616
исходный,0,14.981158336481382,повтор токена,33.25303157948616
исходный,0,13.596758505441237,повтор токена,33.25303157948616
исходный,0,11.531035308093292,повтор токена,33.25303157948616
исходный,0,24.756767194856163,служ./пункт.,33.25303157948616
исходный,0,24.21509102317239,прочее,33.25303157948616
исходный,0,30.002467243916456,прочее,33.25303157948616
исходный,0,14.144936441507436,повтор токена,33.25303157948616
исходный,0,25.50238522066459,прочее,33.25303157948616
исходный,0,21.632649374245606,прочее,33.25303157948616
исходный,0,24.8893746153528,прочее,33.25303157948616
исходный,0,26.31258858182103,прочее,33.25303157948616
исходный,0,11.436309655867195,повтор токена,33.25303157948616
исходный,0,21.580404183799786,прочее,33.25303157948616
исходный,0,24.93839006765493,прочее,33.25303157948616
исходный,0,7.699919979987941,повтор токена,33.25303157948616
исходный,0,8.094523984858132,повтор токена,33.25303157948616
исходный,0,8.704653553440876,повтор токена,33.25303157948616
исходный,0,8.626763802904005,повтор токена,33.25303157948616
исходный,0,6.697425873292329,повтор токена,33.25303157948616
исходный,0,11.618974732582277,повтор токена,33.25303157948616
исходный,0,15.697927291597392,повтор токена,33.25303157948616
исходный,0,21.266306440464707,служ./пункт.,33.25303157948616
исходный,0,28.191359210783112,служ./пункт.,33.25303157948616
исходный,0,26.782990534228503,прочее,33.25303157948616
исходный,0,23.198355582894237,два смысловых,33.25303157948616
исходный,0,16.568623118694127,прочее,33.25303157948616
исходный,0,20.676245572056462,два смысловых,33.25303157948616
исходный,0,17.033484569846387,повтор токена,33.25303157948616
исходный,0,27.725200756150112,два смысловых,33.25303157948616
исходный,0,21.884483514139706,служ./пункт.,33.25303157948616
исходный,0,26.446239590047785,служ./пункт.,33.25303157948616
исходный,0,9.097505230406712,повтор токена,33.25303157948616
исходный,0,12.99796833084301,повтор токена,33.25303157948616
исходный,0,17.687870559103814,прочее,33.25303157948616
исходный,0,25.191749523599405,служ./пункт.,33.25303157948616
исходный,0,17.311500584422426,повтор токена,33.25303157948616
исходный,0,26.57061026573046,два смысловых,33.25303157948616
исходный,0,6.276279154447362,повтор токена,33.25303157948616
исходный,0,9.03914644509086,повтор токена,33.25303157948616
исходный,0,9.51323215928187,повтор токена,33.25303157948616
исходный,0,24.324749187709653,два смысловых,33.25303157948616
исходный,0,25.48604487675435,прочее,33.25303157948616
исходный,0,21.65306885516707,прочее,33.25303157948616
исходный,0,25.91274010477769,служ./пункт.,33.25303157948616
исходный,0,22.897073665542415,служ./пункт.,33.25303157948616
исходный,0,24.09029294159583,два смысловых,33.25303157948616
исходный,0,8.940139206343424,повтор токена,33.25303157948616
исходный,0,6.7915526485635,повтор токена,33.25303157948616
исходный,0,18.7995090235015,служ./пункт.,33.25303157948616
исходный,0,9.391167766845426,повтор токена,33.25303157948616
исходный,0,26.420214858501247,прочее,33.25303157948616
исходный,0,25.662650048489056,прочее,33.25303157948616
исходный,0,27.896235333790056,два смысловых,33.25303157948616
исходный,0,9.995897532737136,повтор токена,33.25303157948616
исходный,0,23.828397565066258,два смысловых,33.25303157948616
исходный,0,34.320802960671806,сток,33.25303157948616
исходный,0,22.817336082260386,два смысловых,33.25303157948616
исходный,0,22.92870261167408,два смысловых,33.25303157948616
исходный,0,12.645953579997881,повтор токена,33.25303157948616
исходный,0,23.95777661217042,два смысловых,33.25303157948616
исходный,0,24.26868444984389,два смысловых,33.25303157948616
исходный,0,20.23214307838305,прочее,33.25303157948616
исходный,0,24.354510212250176,два смысловых,33.25303157948616
исходный,0,19.76676703246954,повтор токена,33.25303157948616
исходный,0,6.381766514804058,повтор токена,33.25303157948616
исходный,0,30.621447774588034,прочее,33.25303157948616
исходный,0,16.99978451979836,повтор токена,33.25303157948616
исходный,0,23.069868451771953,прочее,33.25303157948616
исходный,0,21.808461012390953,два смысловых,33.25303157948616
исходный,0,23.713943975378175,два смысловых,33.25303157948616
исходный,0,23.84765108184102,прочее,33.25303157948616
исходный,0,24.190076921652235,прочее,33.25303157948616
исходный,0,24.49320983915007,прочее,33.25303157948616
исходный,0,12.132503122813082,повтор токена,33.25303157948616
исходный,0,19.089474054033715,повтор токена,33.25303157948616
исходный,0,7.216452193415616,повтор токена,33.25303157948616
исходный,0,27.87595377257505,прочее,33.25303157948616
исходный,0,24.58475369841605,служ./пункт.,33.25303157948616
исходный,0,14.454982302632402,повтор токена,33.25303157948616
исходный,0,26.629133326089562,два смысловых,33.25303157948616
исходный,0,26.883053182418585,служ./пункт.,33.25303157948616
