текст,условие,зерно,типов k>=2,радиус по типам,радиус по токенам,"до ближайшего, прочие",прочие: доля на оси,прочие: смещение,экземпляров маркера,"доля выборки, %",радиус маркера,радиус прочих,"до ближайшего, маркер",до ближайшего центра,зазор маркера,"коротких рёбер маркерных, %",маркер: доля на оси,маркер: смещение
0,исходный,0,30,0.23880022941901297,0.2648999224050193,0.5178457483039992,0.009528189897537231,0.4680660881719364,,,,,,,,,,
0,исходный,1,31,0.2308066955997188,0.28168233628300376,0.507103277736114,0.010091832838952541,0.4605427174973263,,,,,,,,,,
0,исходный,2,34,0.24302241062265242,0.2938546744831072,0.4914304693872287,0.009753648191690445,0.46071409989571216,,,,,,,,,,
0,маркер каждые 3,0,33,0.2630377314568241,0.29763605296592516,0.565311162287696,0.04404926672577858,0.5901773366735362,41.0,20.398009950248756,0.30407029927126594,0.26175546371262276,0.32036948998990666,0.7533512536173783,0.9816992132468273,75.0,0.016049699857831,0.7343458658660783
0,маркер каждые 3,1,27,0.2886973050746471,0.30944179707610286,0.5786130895012822,0.04170101881027222,0.5900679470619833,42.0,20.8955223880597,0.31058068660510774,0.2878556365542448,0.32009908144328164,0.7404540174024736,0.8391101988042197,65.0,0.01653260923922062,0.7356909873146409
0,маркер каждые 3,2,36,0.2601856958797029,0.28508267739592985,0.5550745637655636,0.04743817821145058,0.5918013362348459,40.0,19.900497512437813,0.29923515420371977,0.25906999707044526,0.31225730518215117,0.7451818197850202,0.8120742632417887,67.5,0.016494017094373703,0.7342952238249322
1,исходный,0,30,0.2768722464292027,0.30997352886173035,0.5794637878915548,0.012462886981666088,0.46201832891061745,,,,,,,,,,
1,исходный,1,38,0.2670566263472023,0.32115855984799474,0.5502520941500472,0.01274840161204338,0.4838711710850833,,,,,,,,,,
1,исходный,2,33,0.2805675771144793,0.329888885817917,0.5458573229281817,0.012667994014918804,0.46938967261216613,,,,,,,,,,
1,маркер каждые 3,0,24,0.3045510715312049,0.3433162735251332,0.6238764273603838,0.04788220301270485,0.6015327304544512,35.0,17.412935323383085,0.32113177542058624,0.30383017136210133,0.3335404003426985,0.7767078265785555,0.8188753542299758,72.5,0.02656644769012928,0.7274964106170648
1,маркер каждые 3,1,29,0.2964357261795272,0.3313132007865868,0.6229778642279434,0.05249188840389252,0.6038879810242394,40.0,19.900497512437813,0.3368495042259414,0.29499237696358377,0.3404984561417919,0.7976403647170717,0.8030908044573812,82.5,0.028613697737455368,0.7526172734379861
1,маркер каждые 3,2,24,0.29255463933762793,0.32589049479153964,0.6159611237740785,0.049433473497629166,0.6118775731919984,44.0,21.890547263681594,0.33095076085891134,0.29088524274974603,0.32736167557517915,0.7920750224648351,0.9243594681942557,75.0,0.026066064834594727,0.7308839239960551
2,исходный,0,40,0.24146668961555165,0.28956661162992675,0.5028362568297853,0.014272229745984077,0.4391387274597638,,,,,,,,,,
