текст,условие,зерно,крупный,мелкий,средний,масштаб,"стоков, %","одиночек, %",типов всего,типов k>=2,до бл. при k=1,до бл. при k=2,до бл. при k>=3,"доля смысловые, %","доля служебные, %","доля пунктуация, %","доля подслова, %","ребро, среднее",рёбра: CV,длинные: CV,p90/p50,p99/p50,p10/p50,черешок одиночки,"длинных листьев, %",оба одиночки / случай,смысловые: ячеек,смысловые: радиус,смысловые: центры,смысловые: зазор,служебные: ячеек,служебные: радиус,служебные: центры,служебные: зазор,пунктуация: ячеек,пунктуация: радиус,пунктуация: центры,пунктуация: зазор,подслова: ячеек,подслова: радиус,подслова: центры,подслова: зазор
coling::dc12cc52-6173-4721-b8be-42699b3cf392,исходный,0,21.862471971067695,3.2922418703131493,17.48871089087673,32.57545354717099,3.9800995024875623,53.8860103626943,126,22,0.7761070929224672,0.48185044058585785,0.34510913451098796,37.81094527363184,32.83582089552239,11.940298507462686,13.432835820895523,0.6193152012383962,0.38114417880724133,0.05323532922824697,1.141072060026352,1.2531983451019464,0.32573517887641085,0.8097205841533537,15.92039800995025,1.438090329142012,6.0,0.2620186557466471,0.826838265931219,1.5502410862776346,12.0,0.26836525165994946,0.7712648038495976,1.299963440929138,,,,,,,,
coling::dc12cc52-6173-4721-b8be-42699b3cf392,исходный,1,21.168141782608828,3.530168476444085,17.5135118483607,32.59586759127538,3.482587064676617,46.90721649484536,121,30,0.7689628357828526,0.48387700921919463,0.3601101101778323,36.318407960199,33.83084577114428,13.930348258706468,12.437810945273633,0.6122060277013565,0.3627710203093903,0.0561553780105954,1.176828815553387,1.3301012380352428,0.35625260124989955,0.8004276528298802,12.437810945273633,1.6343841323511654,10.0,0.23523406172696376,0.8117310939080038,1.4970050878989505,15.0,0.27273437867144507,0.7809636083053897,1.327337039092896,4.0,0.2414652995262071,0.786215034113129,1.4213685618552225,,,,
coling::dc12cc52-6173-4721-b8be-42699b3cf392,исходный,2,21.115520768856832,3.51167089351253,17.586737400829783,32.27292902693115,2.9850746268656714,47.179487179487175,117,25,0.7795980226567418,0.5407665941279077,0.35274169588380994,35.82089552238806,33.33333333333333,14.427860696517413,13.432835820895523,0.608856330682131,0.37873009289402865,0.06174507761785337,1.1950010285120056,1.3167022835306323,0.3608175420800062,0.8063298855380348,13.930348258706468,1.5513143903591682,6.0,0.26593225277336,0.8433606459643056,1.4989562775004204,12.0,0.27840876811588827,0.7258181373002917,1.196231597951114,4.0,0.21287030939810742,0.8288267148071594,1.6222166911183724,,,,
coling::dc12cc52-6173-4721-b8be-42699b3cf392,тема вписана,0,24.539753025337035,3.734329943895601,19.929646226604756,31.43230647920773,1.4925373134328357,58.080808080808076,135,20,0.765534426871603,0.4877036437285657,0.37048451184150827,49.25373134328358,35.82089552238806,7.960199004975125,5.472636815920398,0.6469669159336325,0.3177843987504011,0.05666984223679963,1.166034070906445,1.2748110158395531,0.46990175114983107,0.8140832398177783,16.417910447761194,1.4205266540642725,7.0,0.2344347363385039,0.8445042217466688,1.750258562342595,10.0,0.2902669959361175,0.794017265897229,1.238161717072385,,,,,,,,
coling::dc12cc52-6173-4721-b8be-42699b3cf392,тема вписана,1,24.417468448132357,3.693305513702165,20.041902747583993,31.463725514461377,2.4875621890547266,57.14285714285714,135,23,0.7671283970809392,0.44040443588040246,0.3954788724711433,49.25373134328358,36.318407960199,7.960199004975125,3.9800995024875623,0.648485168136637,0.30877078370597805,0.045761712982864064,1.145639363723519,1.2320223406366722,0.49105899193989133,0.7975428086156878,16.417910447761194,1.3849194834183673,8.0,0.2201410447058086,0.8421854413278674,1.5607153408189194,13.0,0.2767231531118594,0.7733241439644902,1.2031636187907984,,,,,,,,
coling::dc12cc52-6173-4721-b8be-42699b3cf392,тема вписана,2,25.652568876649667,3.9405359826866793,21.011731879493713,31.43564074372282,1.9900497512437811,55.83756345177665,131,21,0.7647870310221871,0.5465448320917295,0.37070065084648784,42.78606965174129,39.30348258706468,9.950248756218906,5.970149253731343,0.6426238076166362,0.32113823378913264,0.05749911956621019,1.1596152554358248,1.2798065796089397,0.49031304376254314,0.8032200112651376,14.925373134328357,1.4858219008264466,6.0,0.27292713721853007,0.8332519796365123,1.5006319641723154,12.0,0.2816062005477406,0.7875893544585386,1.1780336164597498,,,,,,,,
coling::dc12cc52-6173-4721-b8be-42699b3cf392,меньше мыслей,0,10.764585932638646,2.818999896518006,6.037130597760706,34.13429047136474,3.482587064676617,35.051546391752574,111,43,0.6360949264674187,0.3603811067596622,0.28799065817092784,57.711442786069654,22.885572139303484,3.9800995024875623,11.940298507462686,0.512048260966305,0.4316245708354613,0.06119609195970837,1.4735073553914873,1.6670440319268736,0.4139112711886954,0.6541357109824855,4.975124378109453,1.9221929065743943,22.0,0.20611300054202458,0.9254781749344794,1.5422520618836915,11.0,0.2066390899122722,0.8405282980091138,1.5578714774792102,,,,,8.0,0.19138955274577557,0.9397853474903359,1.874670003921551
coling::dc12cc52-6173-4721-b8be-42699b3cf392,меньше мыслей,1,11.147368119839594,2.997606487746221,6.182537737392893,34.00879330923757,3.482587064676617,34.5360824742268,108,41,0.6208322810396285,0.337173844113902,0.27012952113727295,60.19900497512438,21.393034825870647,3.9800995024875623,10.945273631840797,0.4951163664847925,0.4566470438894251,0.07369186669704102,1.5260540563721776,1.7530483638724312,0.4196961979483144,0.6418990537900774,3.482587064676617,1.9800000000000002,21.0,0.1788510971030156,0.9585107176554509,1.911671517626512,10.0,0.22928296558116315,0.8068489064636608,1.3510099392105643,,,,,8.0,0.17368895892852546,0.9911181925604114,2.552311259359955
coling::dc12cc52-6173-4721-b8be-42699b3cf392,меньше мыслей,2,11.183619568685119,2.788766747669149,6.226323168053905,33.64397064975076,1.9900497512437811,38.578680203045685,112,36,0.6386000394808574,0.3940538175555996,0.27969672305296267,61.19402985074627,22.885572139303484,3.482587064676617,10.44776119402985,0.5138103542133512,0.4276039931442139,0.07132337486069162,1.4878202586881717,1.750346679728257,0.4200583066351028,0.66555604197851,5.970149253731343,1.468872922437673,22.0,0.21064675425047558,0.9507385234367394,1.6099920077918797,10.0,0.2013201605229838,0.8443656765477409,1.6483720912019635,,,,,,,,
coling::dc12cc52-6173-4721-b8be-42699b3cf392,одна тема,0,22.983029454086157,3.991353005933198,14.710731978027695,32.064236063645865,2.9850746268656714,48.205128205128204,118,24,0.7722378723741967,0.49625043857428064,0.3896368640245657,50.24875621890548,34.82587064676617,8.45771144278607,3.482587064676617,0.618449294021745,0.3496314869555918,0.06279522650425272,1.1536077901311017,1.3367120800886025,0.43841548070390784,0.8021170681672125,13.432835820895523,1.7146191715708468,10.0,0.24357285531240166,0.8124965555901362,1.322638897868362,11.0,0.3180666915890225,0.7430280527340337,1.062337393050402,,,,,,,,
