mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,genre,text,L_used,seed
q_small,0.0,14.285263646944134,2.35971418288779,0.9299977918003692,3.512545349402407,0.9990732757592444,0.014986354363962626,0.029044453523608738,0.011563329008454713,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_small,0.2,22.460975180182963,1.9358892316876093,0.955478335558543,3.2645584402289898,0.9999032359333428,0.004973205475346989,0.010978270585568772,0.0038372782159996877,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_small,0.4,40.10181971099952,7.042593632032618,0.9750634757423312,2.928564226647556,0.9998789842624936,0.005675675853623931,0.011040958632131392,0.004379297702889901,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_small,0.6,36.58358542585982,6.647582524792629,0.9726653364245395,2.5663661838561285,0.9998435632318732,0.006437308440937676,0.014376729236360575,0.004966966189619901,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_small,0.8,71.61959514151098,49.41398537059246,0.9860373407860777,1.8554758314824134,0.9994276150712139,0.01248530838799087,0.021889562398566653,0.009633545634655849,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_large,0.0,14.285263646944134,2.35971418288779,0.9299977918003692,3.512545349402407,0.9990732757592444,0.014986354363962626,0.029044453523608738,0.011563329008454713,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_large,0.2,11.156133294954756,0.5207158581190705,0.9103632079716868,3.312132215048076,0.9998732891945254,0.005422337301053036,0.008753905666749162,0.004183824076498995,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_large,0.4,9.28112156156343,0.6397905024498487,0.8922544012200668,3.0410187822639205,0.9995844081142863,0.009626091416805066,0.01424383436204213,0.007427400915171402,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_large,0.6,6.70871089487445,0.3354028209514336,0.8509400664792376,2.706232403219743,0.9995400288314722,0.009658321822217398,0.015351105678294452,0.007452269590554848,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_large,0.8,3.700506950841906,0.3145543509706205,0.7297667553975303,2.314125791900884,0.9940904353015679,0.02977051606583603,0.054878788794695765,0.02297064807492813,8,20,100,fixed_L_small,xsum,xsum_1,100,0
