текст,условие,"радиус, абс","каркас: парная, абс","каркас: ребро MST, абс","каркас: до ближайшего, абс","облако: парная, абс",r / ребро каркаса,норма вектора
0,исходный,7.500727812449138,32.624068744177855,24.324187363604818,23.6901710875967,33.41644723109909,0.3083492199385021,37.797322591145836
0,перемешивание,8.590445836385092,31.41934000327241,23.875969960260377,23.368662903225527,32.89508503973684,0.359763338696766,37.37847646077474
0,эхо x4,5.661898295084636,33.99389090875612,26.56016518667261,25.915591926736067,34.95952354682999,0.2131462007920346,37.29799016316732
0,чужие хапаксы,7.153802235921224,30.91832034200507,23.048827324889128,22.62780708543649,32.54585793127057,0.31042101308058584,37.556355794270836
0,без пунктуации,7.829473336537679,30.152523210913603,23.330405994367037,22.911188255411076,30.8631353078103,0.33555229213494253,37.39350128173828
1,исходный,8.042100270589193,30.119341550208485,22.983596366842345,22.534205645612293,31.165369946033746,0.3499583823215849,37.84261576334635
1,перемешивание,8.37652619679769,27.861251052669356,21.359620269206584,20.99540526246547,29.233423864338295,0.392184956800865,37.35059102376302
1,эхо x4,5.98904546101888,31.744999235587994,25.448639206590585,24.96766185949549,32.925708261424944,0.23533494201933666,36.79086685180664
1,чужие хапаксы,7.193043073018392,27.089260716666132,20.46976895884597,20.055093243063,28.282962414877744,0.3513993459068823,37.600833892822266
1,без пунктуации,7.48040246963501,27.144903048925872,20.87995351933917,20.507965447014286,28.119598664161497,0.35823844962888235,37.261861165364586
2,исходный,7.798362096150716,33.444547279151735,25.071490600937977,24.461867817330674,34.39728732700347,0.3110938092349625,37.516188303629555
2,перемешивание,8.504109064737955,30.298584429607942,23.085478300343123,22.64249765580462,31.958064840887214,0.3684608461491267,37.39391072591146
2,эхо x4,5.931066354115804,32.520260429110685,25.257634874735555,24.62898153077327,33.34192413681808,0.2348713787546575,36.70209248860677
2,чужие хапаксы,7.598831335703532,31.385143342275665,23.33539761677693,22.94217761653647,32.80179632845549,0.32574584579024296,37.446730295817055
2,без пунктуации,7.951079845428467,30.208786572279106,22.801170495543918,22.23523173174567,31.49538503502487,0.34868894876233414,37.261704762776695
3,исходный,8.335165023803711,30.061022111040227,22.714498644940008,22.259658517143023,31.258975933390335,0.3669881196309499,37.33244832356771
3,перемешивание,8.381425539652506,27.392536280699385,21.142118188127753,20.86676142734994,28.846549114352882,0.39646190547047433,37.08161163330078
3,эхо x4,6.65066925684611,34.199907775229356,27.14443643931378,26.57893097356192,35.33381768236716,0.24500883143672644,36.996140797932945
3,чужие хапаксы,8.419991811116537,29.01283596201102,22.08348501541369,21.741475249706784,30.60200076955088,0.3813123056517019,37.265822092692055
3,без пунктуации,7.91746457417806,27.552664453325985,21.384937454835054,21.0865076915179,28.626504204844068,0.370250823809503,37.06277338663737
