текст,условие,стоков,норма стока,норма прочих,косинус стока с общим,разброс внутри стока,сток → облако,масштаб,сток: проекция на ось,сток: смещение,прочие: проекция на ось,прочие: смещение
0,чужие хапаксы,4,26.34022,37.5167,0.9998223781585693,0.06970155366889248,1.0139166755158735,32.478977477040445,0.17711343729419202,1.2427520420188236,0.09721640103991006,0.48370289752276824
0,перемешивание,5,26.348364,37.40687,0.999894917011261,0.06967741747794888,0.9778040834146644,33.01613717799344,0.17635463636711962,1.128000924989814,0.23317946396077638,0.6089025186896442
1,исходный,3,26.260004,37.60454,0.9998321533203125,0.042906774804739645,1.0899376669394645,31.12267853612255,0.15871438168190105,1.0204654693294941,-0.0151064824153312,0.45641002141999576
1,чужие хапаксы,4,26.6795,37.69214,0.9984261989593506,0.14727764064717747,1.2431187334262492,28.613517549355223,0.20372422013832742,1.1673917030921332,0.1557389515565045,0.5344520442696375
1,перемешивание,3,26.27652,37.369488,0.9992557168006897,0.05955696276724479,1.1705605657863518,29.190687713857198,0.21030241585203363,1.3633595007537391,0.34724250878391905,0.692577909893925
2,исходный,5,26.455683,37.524086,0.9983068704605103,0.08366939074882425,0.9337650203660866,34.38733612797394,0.13895756205711857,1.0721914619908015,-0.024851583255615383,0.4234936510646108
2,перемешивание,3,26.412355,37.443287,0.999496340751648,0.06089922641996518,1.0208293962864154,32.412969295172836,0.16638329897370485,0.9341690264499952,0.26843384430323725,0.6207219059603921
3,исходный,5,26.237259,37.30597,0.9988871812820435,0.04535365193622181,1.0512179376876958,31.325823269739104,0.1603763289086289,0.9878112373197444,0.017421487934901704,0.4404861604099975
3,чужие хапаксы,6,26.45308,37.22199,0.9995384216308594,0.0946138731642401,1.104125767503356,30.358511828896305,0.18170773740334156,1.0358808681798655,0.16688028060672638,0.5253840448058781
3,перемешивание,8,26.356894,37.141018,0.9995856285095215,0.05554333751966016,1.1915914265198333,28.750398219463467,0.14276849116806012,1.2246319526523834,0.2871054314418591,0.6511617278625859
4,исходный,7,26.29242,37.680088,0.9994117617607117,0.08914717171151655,1.060503300447833,31.591292807800137,0.14641943858673379,1.1275722077078008,0.0021365032271751508,0.4442870891244088
4,чужие хапаксы,4,26.226952,37.625233,0.9994702935218811,0.05031171716636152,1.1257354367396928,30.258715861759686,0.14377363907078913,1.1643088820800598,0.11926316899268732,0.5038614537106401
4,перемешивание,4,26.298935,37.360107,0.9991872906684875,0.052435502390947644,1.105597588605277,30.427373211691982,0.1811934842198205,1.2285026255659506,0.3499240990089716,0.6853050232989254
5,исходный,7,26.16773,38.370293,0.9989535808563232,0.049909459526171894,1.0300855413649401,33.0060490995989,0.15007181177437015,1.0783054575044055,-0.03077342455297887,0.44012140031508706
5,чужие хапаксы,3,26.069288,37.932896,0.998191237449646,0.05089629241428226,1.0935486003285653,30.851861907515854,0.14281885488344412,1.1205179333522197,0.14982218856502783,0.5180777307119947
5,перемешивание,7,26.433573,37.5991,0.9995823502540588,0.08193296955692442,1.1403278431214832,30.106382517380098,0.20207197950544625,1.319784223743319,0.3507374187068546,0.6741501631772194
6,чужие хапаксы,6,26.259674,37.929836,0.9998319149017334,0.043521378852322636,1.1240721477668656,30.777099410874833,0.18453182072185995,1.1281188595561313,0.14908166362720895,0.5474884740775577
6,перемешивание,4,26.315405,37.651207,0.9997866749763489,0.042317091726001524,1.0623508476560308,31.591136956605464,0.1828273827492062,1.0791602694976072,0.41042651796517843,0.7322979476059094
7,исходный,4,26.41102,37.83512,0.9981485605239868,0.09908998396714773,1.1372432046608305,30.442804455256223,0.17442080048662403,1.0947281599952055,0.01396833925371316,0.4698750614243267
7,чужие хапаксы,3,26.264257,37.552925,0.9988970756530762,0.061671436322736556,1.1555341646398996,29.667408370965695,0.1783708382206137,1.006176941989276,0.16956446007080245,0.5587791727520873
7,перемешивание,4,26.308903,37.202705,0.9993798732757568,0.037880809297693496,1.1515443784907364,29.387845060937128,0.15837552777341177,1.1518048976746451,0.3611340422096296,0.6840737264270187
8,исходный,5,26.303247,37.22935,0.9994420409202576,0.07508097265334544,1.0355440524710964,31.473140616381986,0.13740851350230893,1.1228611167554663,-0.003950842270751125,0.4642872957551995
8,чужие хапаксы,4,26.173275,37.226204,0.9972387552261353,0.03263220160129205,1.087105094341224,30.369602691072615,0.15832017219482583,1.1907265401231586,0.12147569822240685,0.5094787029035278
8,перемешивание,3,26.210205,37.005657,0.9982595443725586,0.036319861410542366,1.1020546373894244,29.85084537293911,0.17532658805046497,1.3273026173660658,0.34224830059319644,0.7061278140846526
9,исходный,5,26.26904,37.67066,0.9998308420181274,0.027795444652750675,0.9929818211173278,33.10726112817852,0.15830167371727083,0.9067613785978903,-0.020759170664692465,0.5008506947938469
9,чужие хапаксы,3,26.42717,37.56861,0.9994955658912659,0.08297201699483446,0.999085439935587,32.89907621837478,0.16116677417698758,0.9187535444055687,0.07531722501925164,0.5451725923337923
9,перемешивание,5,26.329004,37.480026,0.9994462728500366,0.06720155009960896,1.127529171120203,30.091654532119616,0.1872595657698223,1.0208888910310465,0.2469718088759472,0.7100996220383129
10,исходный,4,26.371271,38.044853,0.9996131062507629,0.08261351154470277,1.100116467044233,31.483767300665416,0.18441200005145514,1.0935535011158994,-0.02338731343654943,0.42734369885459017
10,чужие хапаксы,4,26.389454,37.85855,0.9993366003036499,0.05204903813565962,1.121228926760321,30.941527258515563,0.1730354784044226,1.1925289296015884,0.1469685985918351,0.5287805120247918
10,перемешивание,6,26.297386,37.693756,0.9994774460792542,0.05220158102328213,1.1158193295855419,30.67441410942843,0.20857790423879516,1.3295037870929265,0.30505501081929887,0.6340112509044008
11,исходный,3,26.142103,37.874798,0.9962549209594727,0.03177548993276803,1.0287356152236067,32.410695914013324,0.1480533903130684,1.105554035629044,-0.004278653116343056,0.4470429067195845
11,чужие хапаксы,5,26.527508,37.525257,0.9984917044639587,0.10359241854068359,1.1149765976853123,30.500752796456624,0.19361354228730263,1.172208276362111,0.17388561876955905,0.5419823123904629
11,перемешивание,6,26.273478,37.21273,0.9994220733642578,0.08568906734507736,1.1147667165059263,29.73242534012255,0.13152917871292777,1.2099867774213846,0.3631258352583547,0.6800115730391447
