perturbation,genre,text_id,n_words_before,n_words_after,ttr_before,ttr_after,hapax_before,hapax_after,content_types_before,content_types_after,mean_log_rank_before,mean_log_rank_after,mean_sent_len_before,mean_sent_len_after,linebreaks_before,linebreaks_after,oov_rate_before,oov_rate_after,upper_frac_before,upper_frac_after,punct_frac_before,punct_frac_after,idea_spread_before,idea_spread_after
topics_up_v2,xsum,0,304,336,0.5888157894736842,0.6907894736842105,0.4440789473684211,0.5756578947368421,0.47368421052631576,0.5953947368421053,5.314762136853477,5.882717436966234,20.266666666666666,19.0,0.0,0.0,0.0,0.006578947368421052,0.027070063694267517,0.022727272727272728,0.024946921443736732,0.020154373927958835,0.8138122856616974,0.8951030075550079
topics_up_v2,xsum,1,561,710,0.5151515151515151,0.6381461675579323,0.3493761140819964,0.5151515151515151,0.43315508021390375,0.5614973262032086,5.410339397471197,5.866051048860501,23.375,18.7,0.0,0.0,0.0,0.016042780748663103,0.013774104683195593,0.012269938650306749,0.020385674931129475,0.0179959100204499,0.7974134385585785,0.8405559211969376
topics_up_v2,xsum,2,563,622,0.4706927175843694,0.650088809946714,0.31438721136767317,0.5452930728241563,0.37300177619893427,0.5737122557726465,4.736410838406687,5.485836334920099,24.47826086956522,24.47826086956522,0.0,0.0,0.0,0.05150976909413854,0.025022078304386224,0.014423076923076924,0.027082720047100384,0.019230769230769232,0.728900283575058,0.9127212017774582
topics_up_v2,xsum,3,559,599,0.47048300536672627,0.6457960644007156,0.3041144901610018,0.5134168157423972,0.3631484794275492,0.5581395348837209,4.753678350918826,5.5553585233942515,22.36,20.703703703703702,0.0,0.0,0.0,0.03220035778175313,0.026938239159001315,0.020061728395061727,0.03449408672798949,0.021347736625514403,0.7327422201633453,0.9138597697019577
topics_up_v2,xsum,4,365,402,0.5726027397260274,0.6821917808219178,0.4191780821917808,0.5424657534246575,0.4821917808219178,0.5863013698630137,5.140827539644162,5.852631215685465,19.210526315789473,17.38095238095238,0.0,0.0,0.0,0.0136986301369863,0.024464831804281346,0.018011527377521614,0.03058103975535168,0.023054755043227664,0.7405906319618225,0.86379773914814
topics_up_v2,xsum,5,430,540,0.4813953488372093,0.5720930232558139,0.32325581395348835,0.4372093023255814,0.3883720930232558,0.48604651162790696,4.918991277772896,5.247050735593467,26.875,18.695652173913043,0.0,0.0,0.0,0.01627906976744186,0.0283451438099208,0.023722627737226276,0.02917882451021259,0.024939172749391728,0.7873873561620712,0.9091111719608307
topics_up_v2,xsum,6,299,332,0.5652173913043478,0.7290969899665551,0.4214046822742475,0.6187290969899666,0.46488294314381273,0.6120401337792643,4.957703595286373,5.717262874095522,23.0,19.933333333333334,0.0,0.0,0.0,0.023411371237458192,0.02650469353948095,0.02435841670291431,0.02484815019326339,0.017398869073510223,0.8373632729053497,0.9151372089982033
topics_up_v2,xsum,7,375,483,0.5546666666666666,0.6586666666666666,0.408,0.5386666666666666,0.4613333333333333,0.5706666666666667,4.9433939345183235,5.3436611304983614,31.25,22.058823529411764,0.0,0.0,0.0,0.021333333333333333,0.023472099202834367,0.01989730423620026,0.03277236492471213,0.027278562259306804,0.8143255412578583,0.9311261773109436
topics_up_v2,xsum,8,507,601,0.4970414201183432,0.5621301775147929,0.35502958579881655,0.4358974358974359,0.4181459566074951,0.4812623274161736,5.004271603740521,5.226165773307415,22.043478260869566,18.77777777777778,0.0,0.4444444444444444,0.0,0.009861932938856016,0.026859504132231406,0.02301028695181375,0.029958677685950414,0.02734163508391987,0.8168103396892548,0.8896140977740288
topics_up_v2,xsum,9,957,1231,0.4430512016718913,0.5475444096133751,0.296760710553814,0.4169278996865204,0.3887147335423197,0.4994775339602926,5.207486963344211,5.543078334687275,26.583333333333332,18.403846153846153,0.0,0.23076923076923078,0.0,0.027168234064785787,0.03444240093629828,0.02858551010349926,0.022905868583848854,0.021439132577624444,0.7712583541870117,0.9069714471697807
