согласие,текст,условие,токен,класс,k,logp,PMI,смещение,cos дом,до центра,черешок,лист,длинный лист
0.07310190796852112,0,исходный,Ġmessage,смысл-редк,3,-0.5351516008377075,9.166848255915712,0.33234324121499653,0.9521080851554871,0.7586589717156945,0.4235808506377148,1,0
,0,исходный,ibility,подслово,1,-0.014957303181290627,11.391790645810554,,,0.670536748428546,0.7879504231112817,0,0
0.6114186644554138,0,исходный,Ċ,пункт,16,-0.7605615854263306,3.643575553570699,0.4691069027322886,0.9147582054138184,0.6545343352273219,0.34246896705548485,1,0
,0,исходный,ĠH,смысл-част,1,-1.6801795959472656,6.376664265769975,0.5922986793728974,0.8380288481712341,0.6574449605082101,0.7467990062786497,0,0
0.7801995873451233,0,исходный,Ċ,пункт,16,-0.01644790731370449,4.387689231683325,0.42815032858979174,0.9380595088005066,0.6634289945243428,0.24239666040155036,0,0
0.8128979802131653,0,исходный,Ċ,пункт,16,-0.08042406290769577,4.323713076089334,0.40628425545315616,0.9420623183250427,0.6484408650362607,0.26066745311442013,0,0
0.5435090661048889,0,исходный,$,пункт,3,-0.07065349072217941,8.303548211592958,0.42403424899164555,0.9343961477279663,0.7129128228515287,0.8442116346380903,0,0
,0,исходный,Ġnot,служ,1,-6.111351013183594,-0.3753456847697496,0.46213157459612897,0.9229851365089417,0.6713168524354216,0.8020369663747569,1,1
,0,исходный,Ġprove,смысл-редк,1,-13.58388900756836,-3.8818891508149402,0.3147562310403686,0.9586232304573059,0.7429202105935256,0.6946923538209491,0,0
,0,исходный,We,подслово,1,-4.2522406578063965,4.074893533650755,0.33235352227527165,0.9564586281776428,0.6413785191482726,0.4961599865459866,1,0
-0.19954463839530945,0,исходный,Ġdynamic,смысл-редк,2,-0.9716354608535767,9.336500199470159,0.31514025720014516,0.953960657119751,0.7009418989691871,0.6191658565326581,0,0
,0,исходный,Ġstronger,смысл-редк,1,-3.7817790508270264,6.814038681948491,,,0.7716710243018967,0.8302521661341538,1,1
,0,исходный,Ġevery,служ,1,-4.3718366622924805,3.6254151022225143,0.4529013243566277,0.9117133617401123,0.5722265084617666,0.898446638410908,0,0
0.5077032446861267,0,исходный,$,пункт,3,-0.023955198004841805,8.350246504310295,0.4299121310604375,0.9285049438476562,0.7186836962179571,0.3479390113286942,1,0
0.8652670979499817,0,исходный,ad,подслово,2,-21.47284507751465,-12.854190037298551,0.5229614953674361,0.8780984282493591,0.760831302634826,0.27243169455811717,1,0
0.5657035112380981,0,исходный,ĠV,смысл-част,2,-0.08939108997583389,7.79099633439985,0.43519759558937643,0.9161445498466492,0.6527745032932288,0.5296767000952697,0,0
0.6714733242988586,0,исходный,Ġmost,служ,2,-1.456642985343933,5.752903015986103,0.5941534968805322,0.854631245136261,0.7015153536645328,0.7543860473593823,0,0
