genre,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
academic_abstracts,8.13 ± 1.26,7.39 ± 1.19,6.66 ± 1.11,5.91 ± 1.01,5.13 ± 0.92,4.35 ± 0.80,3.66 ± 0.66,3.27 ± 0.59,3.25 ± 0.72,3.34 ± 0.92
amazon_reviews,9.28 ± 1.11,8.54 ± 1.07,7.76 ± 1.01,6.95 ± 0.94,6.09 ± 0.87,5.21 ± 0.78,4.37 ± 0.68,3.81 ± 0.59,3.74 ± 0.75,3.76 ± 0.98
writingprompts,8.92 ± 1.44,8.34 ± 1.41,7.67 ± 1.36,6.91 ± 1.29,6.08 ± 1.20,5.21 ± 1.08,4.39 ± 0.93,3.85 ± 0.78,3.78 ± 0.85,3.90 ± 1.25
xsum,9.83 ± 1.40,9.11 ± 1.33,8.32 ± 1.24,7.49 ± 1.14,6.60 ± 1.04,5.66 ± 0.92,4.73 ± 0.78,4.05 ± 0.64,3.86 ± 0.76,3.82 ± 1.10
