токен,класс,норма,лог_ранг,степень,черешок,отн_черешок,лист,длинный лист,hapax в тексте,один в выборке,текст
Ġa,служ,39.57625,1.9459101490553132,4,24.541967630033533,1.2693947140520263,False,False,False,False,0
Ċ,пункт,39.348656,2.1972245773362196,5,8.816262929341791,0.4560073474509758,False,False,False,False,0
Ġprove,смысл-редк,36.408245,7.564238475170491,2,24.195138758248977,1.2514555356144683,False,False,True,True,0
ary,подслово,36.213047,7.664346632098617,1,9.541117004629827,0.4934992855669599,True,False,False,False,0
Ġstudy,смысл-част,37.26689,6.401917196727186,4,24.290338065015256,1.2563795701748695,False,False,True,True,0
k,подслово,35.49698,5.950642552587727,2,13.516675785398467,0.6991288168982233,False,False,False,False,0
Ġmessage,смысл-редк,36.297947,7.563719668414366,2,15.779410584350446,0.8161652190478291,False,False,False,False,0
),пункт,40.552994,3.4011973816621555,2,11.369384468057346,0.5880635474441576,False,False,False,False,0
Ġdirected,смысл-редк,35.529125,7.563200592358071,3,27.988781428421454,1.447675741961166,False,False,False,True,0
$),пункт,40.115948,9.68694715235549,1,27.090726205863596,1.4012252466452695,True,True,True,True,0
Ġor,служ,38.94529,3.367295829986474,1,27.821716808200474,1.4390345869808254,True,True,True,True,0
",",пункт,40.434456,0.6931471805599453,3,23.716061733422034,1.2266760292559449,False,False,False,False,0
Ġ2,пункт,35.729725,5.099866427824199,1,18.662759498246235,0.9653019111518422,True,False,True,True,0
Ġof,служ,39.71168,1.6094379124341003,3,27.06891809881425,1.40009725657417,False,False,False,False,0
Ġof,служ,39.14265,1.6094379124341003,2,24.541967630033533,1.2693947140520263,False,False,False,False,0
Ġadversary,смысл-редк,35.924053,8.846640813100485,2,10.901933349174524,0.5638853728033678,False,False,False,False,0
infty,подслово,37.522823,9.193194213141211,1,29.689629806814935,1.5356494518724482,True,True,True,True,0
Ġflow,смысл-редк,35.472218,7.71244383427499,4,24.968886808095625,1.2914764377397498,False,False,True,True,0
ĠWe,служ,36.852047,4.844187086458591,3,17.49932691591653,0.9051251888764079,False,False,False,False,0
Ġconditions,смысл-част,36.311745,6.7580945044277305,1,23.114581296615434,1.1955653987393582,True,False,True,True,0
).,пункт,41.071346,4.700480365792417,2,23.23287577736363,1.20168399488564,False,False,True,True,0
.,пункт,41.379505,1.0986122886681098,1,12.804668609720956,0.662301364478879,True,False,False,False,0
Ġsynchronous,смысл-редк,36.637356,9.686574550972555,3,25.55387550156519,1.3217340587449102,False,False,True,True,0
Ġin,служ,38.435257,2.0794415416798357,1,19.862179300525806,1.0273400158341983,True,False,False,False,0
Ġconsensus,смысл-редк,35.456993,8.589513852995864,2,26.314450191166664,1.3610735895101762,False,False,False,True,0
Ġsmall,смысл-част,36.42341,5.723585101952381,1,24.968886808095625,1.2914764377397498,True,False,True,True,0
",",пункт,40.403526,0.6931471805599453,3,23.169571643050176,1.198409688005013,False,False,False,False,0
ĠMA,смысл-редк,36.403873,9.411156511406302,1,25.990946891114916,1.3443408896201507,True,True,False,True,0
Ġwhere,служ,39.45689,4.7535901911063645,1,25.155341204485524,1.3011204984262064,True,False,False,True,0
",",пункт,40.032734,0.6931471805599453,2,23.169571643050176,1.198409688005013,False,False,False,False,0
(,пункт,37.927902,5.365976015021851,1,7.476739071632001,0.3867225806402446,True,False,False,False,0
Ġresults,смысл-част,36.029316,6.104793232414985,1,25.331867182007574,1.31025102724677,True,False,True,True,0
Ġthe,сток,26.181162,0.0,2,4.899739704144699,0.2534313374719263,False,False,False,False,0
2,пункт,36.164936,5.147494476813453,4,29.689629806814935,1.5356494518724482,False,False,True,True,0
Ġgraph,смысл-редк,35.009438,7.268920128193722,1,23.781476183700104,1.2300594889140035,True,False,True,True,0
im,подслово,37.190235,7.349230824613334,2,27.45191961938677,1.419907408433945,False,False,True,True,0
INF,подслово,36.8173,9.411238314343073,2,26.188516439384436,1.354559864072878,False,False,False,True,0
Ġcontrols,смысл-редк,36.3139,9.008346579384707,7,26.24405748917773,1.3574326376044603,False,False,True,True,0
Ġadversary,смысл-редк,35.35572,8.846640813100485,3,22.382537824655355,1.1577016003768654,False,False,False,False,0
