mode,q,d_hat,набор,текст,условие
q0.5_range,0.25,4.4385210685390195,механические,0,эхо x2
q0.5_range,0.3,5.3289119680847366,механические,0,эхо x2
q0.5_range,0.35,6.476955228317638,механические,0,эхо x2
q0.5_range,0.4,7.947077765041161,механические,0,эхо x2
q0.5_range,0.45,9.793714736621304,механические,0,эхо x2
q0.5_range,0.5,12.231320955528673,механические,0,эхо x2
q_large,0.0,4.99107902011526,механические,0,эхо x2
q_large,0.05,4.677039085076872,механические,0,эхо x2
q_large,0.1,4.3928764480951195,механические,0,эхо x2
q_large,0.15,4.118745539207815,механические,0,эхо x2
q_large,0.2,3.8505708675431602,механические,0,эхо x2
q_large,0.25,3.587327184478772,механические,0,эхо x2
q_large,0.3,3.3262369098838223,механические,0,эхо x2
q_large,0.35,3.0688091205222086,механические,0,эхо x2
q_large,0.4,2.820212101923868,механические,0,эхо x2
q_large,0.45,2.5973521162921402,механические,0,эхо x2
q_large,0.5,2.4071100521892728,механические,0,эхо x2
q_large,0.55,2.2480455370708805,механические,0,эхо x2
q_large,0.6,2.11518808794641,механические,0,эхо x2
q_large,0.65,2.017992082955799,механические,0,эхо x2
q_large,0.7,1.958557169278572,механические,0,эхо x2
q_large,0.75,1.9491941548273763,механические,0,эхо x2
q_large,0.8,2.0112486791902127,механические,0,эхо x2
q_large,0.85,2.209560996740094,механические,0,эхо x2
q_large,0.9,2.6089823408661417,механические,0,эхо x2
q_small,0.0,4.99107902011526,механические,0,эхо x2
q_small,0.05,5.026209508621524,механические,0,эхо x2
q_small,0.1,5.158672971019587,механические,0,эхо x2
q_small,0.15,5.417200337334848,механические,0,эхо x2
q_small,0.2,5.826849039253501,механические,0,эхо x2
q_small,0.25,6.382313248844669,механические,0,эхо x2
q_small,0.3,7.115882777260142,механические,0,эхо x2
q_small,0.35,8.045450802904684,механические,0,эхо x2
q_small,0.4,9.200706069625436,механические,0,эхо x2
q_small,0.45,10.584064922408277,механические,0,эхо x2
q_small,0.5,12.231320955528673,механические,0,эхо x2
q_small,0.55,14.04053852378341,механические,0,эхо x2
q_small,0.6,15.79424391948556,механические,0,эхо x2
q_small,0.65,17.3142868399379,механические,0,эхо x2
q_small,0.7,18.80992968885988,механические,0,эхо x2
q_small,0.75,20.42736212468381,механические,0,эхо x2
q_small,0.8,22.35917593161197,механические,0,эхо x2
q_small,0.85,24.667662588936366,механические,0,эхо x2
q_small,0.9,27.870246817604944,механические,0,эхо x2
q0.5_range,0.0,1.187025891826798,механические,0,эхо x4
q0.5_range,0.05,1.2799127282198903,механические,0,эхо x4
q0.5_range,0.1,1.4170528478242592,механические,0,эхо x4
q0.5_range,0.15,1.6035392883156452,механические,0,эхо x4
q0.5_range,0.2,1.8534879286780739,механические,0,эхо x4
q0.5_range,0.25,2.201469077254462,механические,0,эхо x4
q0.5_range,0.3,2.6888251968012455,механические,0,эхо x4
q0.5_range,0.35,3.3760749748860084,механические,0,эхо x4
q0.5_range,0.4,4.3443313329554805,механические,0,эхо x4
q0.5_range,0.45,5.710200544413366,механические,0,эхо x4
q0.5_range,0.5,7.7090157720411,механические,0,эхо x4
q_large,0.0,3.06833829827882,механические,0,эхо x4
q_large,0.05,2.8352075091791304,механические,0,эхо x4
q_large,0.1,2.6255832470445215,механические,0,эхо x4
q_large,0.15,2.419051191413349,механические,0,эхо x4
q_large,0.2,2.211451650429755,механические,0,эхо x4
q_large,0.25,2.0066600111092714,механические,0,эхо x4
q_large,0.3,1.8099055134211022,механические,0,эхо x4
q_large,0.35,1.621785352522674,механические,0,эхо x4
q_large,0.4,1.4476605126330981,механические,0,эхо x4
q_large,0.45,1.3012416609032784,механические,0,эхо x4
q_large,0.5,1.187025891826798,механические,0,эхо x4
q_large,0.55,1.1165272374174728,механические,0,эхо x4
q_large,0.6,1.0868070755608068,механические,0,эхо x4
q_large,0.65,1.0985987101842647,механические,0,эхо x4
q_large,0.7,1.15813889345432,механические,0,эхо x4
q_large,0.75,1.284808097126253,механические,0,эхо x4
q_large,0.8,1.5261532831517264,механические,0,эхо x4
q_large,0.85,1.911638029251296,механические,0,эхо x4
q_large,0.9,2.4797032044950154,механические,0,эхо x4
q_small,0.0,3.06833829827882,механические,0,эхо x4
q_small,0.05,3.064038639052689,механические,0,эхо x4
q_small,0.1,3.084042150765443,механические,0,эхо x4
q_small,0.15,3.140389852197232,механические,0,эхо x4
q_small,0.2,3.268874211280136,механические,0,эхо x4
q_small,0.25,3.506983814807316,механические,0,эхо x4
q_small,0.3,3.8752533097993425,механические,0,эхо x4
q_small,0.35,4.4175163477555515,механические,0,эхо x4
q_small,0.4,5.1936248879659495,механические,0,эхо x4
q_small,0.45,6.273951596911621,механические,0,эхо x4
q_small,0.5,7.7090157720411,механические,0,эхо x4
q_small,0.55,9.426642994503414,механические,0,эхо x4
q_small,0.6,11.36089853797336,механические,0,эхо x4
q_small,0.65,13.24146358657983,механические,0,эхо x4
q_small,0.7,15.096122761833957,механические,0,эхо x4
q_small,0.75,16.906631927866577,механические,0,эхо x4
q_small,0.8,18.443864491309768,механические,0,эхо x4
q_small,0.85,20.066440822589325,механические,0,эхо x4
q_small,0.9,23.176973723671814,механические,0,эхо x4
q0.5_range,0.0,3.521736121354844,механические,0,эхо на четверти
q0.5_range,0.05,3.8561565998461727,механические,0,эхо на четверти
q0.5_range,0.1,4.286263795455255,механические,0,эхо на четверти
q0.5_range,0.15,4.814955947034658,механические,0,эхо на четверти
q0.5_range,0.2,5.535826254767281,механические,0,эхо на четверти
q0.5_range,0.25,6.567109495251115,механические,0,эхо на четверти
q0.5_range,0.3,7.960881499772394,механические,0,эхо на четверти
q0.5_range,0.35,9.70220088355087,механические,0,эхо на четверти
q0.5_range,0.4,11.607166964686238,механические,0,эхо на четверти
q0.5_range,0.45,13.394962296451101,механические,0,эхо на четверти
q0.5_range,0.5,15.228323195579016,механические,0,эхо на четверти
q_large,0.0,6.685827744751943,механические,0,эхо на четверти
q_large,0.05,6.31322615770042,механические,0,эхо на четверти
q_large,0.1,5.9974813229764585,механические,0,эхо на четверти
q_large,0.15,5.6972221736694415,механические,0,эхо на четверти
q_large,0.2,5.403890398551892,механические,0,эхо на четверти
q_large,0.25,5.1104750763041356,механические,0,эхо на четверти
q_large,0.3,4.81168688437265,механические,0,эхо на четверти
q_large,0.35,4.503410509105814,механические,0,эхо на четверти
q_large,0.4,4.183778917859673,механические,0,эхо на четверти
q_large,0.45,3.853085409567811,механические,0,эхо на четверти
q_large,0.5,3.521736121354844,механические,0,эхо на четверти
q_large,0.55,3.21213573859706,механические,0,эхо на четверти
q_large,0.6,2.961429759773944,механические,0,эхо на четверти
q_large,0.65,2.7992814666237344,механические,0,эхо на четверти
q_large,0.7,2.736068057232818,механические,0,эхо на четверти
q_large,0.75,2.773275718297187,механические,0,эхо на четверти
q_large,0.8,2.907175603331379,механические,0,эхо на четверти
q_large,0.85,3.0817865900262396,механические,0,эхо на четверти
q_large,0.9,3.287572783849135,механические,0,эхо на четверти
q_small,0.0,6.685827744751943,механические,0,эхо на четверти
q_small,0.05,6.773127835704258,механические,0,эхо на четверти
q_small,0.1,6.985600767336072,механические,0,эхо на четверти
q_small,0.15,7.314370647807357,механические,0,эхо на четверти
q_small,0.2,7.853854635997093,механические,0,эхо на четверти
q_small,0.25,8.705220537373672,механические,0,эхо на четверти
q_small,0.3,9.886159138797474,механические,0,эхо на четверти
q_small,0.35,11.35701971423794,механические,0,эхо на четверти
q_small,0.4,12.919417961337816,механические,0,эхо на четверти
q_small,0.45,14.26383395064354,механические,0,эхо на четверти
q_small,0.5,15.228323195579016,механические,0,эхо на четверти
q_small,0.55,15.9286034730596,механические,0,эхо на четверти
q_small,0.6,16.53221327513961,механические,0,эхо на четверти
q_small,0.65,17.186755441051247,механические,0,эхо на четверти
q_small,0.7,17.969350768126276,механические,0,эхо на четверти
q_small,0.75,18.983914820357725,механические,0,эхо на четверти
q_small,0.8,20.35256953613935,механические,0,эхо на четверти
q_small,0.85,22.332638724185443,механические,0,эхо на четверти
q_small,0.9,25.488774015474185,механические,0,эхо на четверти
q0.5_range,0.0,3.7974608088829926,механические,0,словарь к 25
q0.5_range,0.05,3.731038106465057,механические,0,словарь к 25
q0.5_range,0.1,3.706076994112369,механические,0,словарь к 25
q0.5_range,0.15,3.738875896604571,механические,0,словарь к 25
q0.5_range,0.2,3.8592410976601412,механические,0,словарь к 25
q0.5_range,0.25,4.06935001389239,механические,0,словарь к 25
q0.5_range,0.3,4.392842654340374,механические,0,словарь к 25
q0.5_range,0.35,4.856139636391367,механические,0,словарь к 25
q0.5_range,0.4,5.4819462984978315,механические,0,словарь к 25
q0.5_range,0.45,6.324408169081652,механические,0,словарь к 25
q0.5_range,0.5,7.458124158272193,механические,0,словарь к 25
q_large,0.0,5.492813211812566,механические,0,словарь к 25
q_large,0.05,5.208130449194967,механические,0,словарь к 25
q_large,0.1,4.948495624202279,механические,0,словарь к 25
q_large,0.15,4.699666718904398,механические,0,словарь к 25
q_large,0.2,4.462161885172568,механические,0,словарь к 25
q_large,0.25,4.243119945701217,механические,0,словарь к 25
q_large,0.3,4.044440174505052,механические,0,словарь к 25
q_large,0.35,3.8810125144489542,механические,0,словарь к 25
q_large,0.4,3.777034294826292,механические,0,словарь к 25
q_large,0.45,3.7492406148004607,механические,0,словарь к 25
q_large,0.5,3.7974608088829926,механические,0,словарь к 25
q_large,0.55,3.920148002254699,механические,0,словарь к 25
q_large,0.6,4.1140929250008735,механические,0,словарь к 25
q_large,0.65,4.367050435773727,механические,0,словарь к 25
q_large,0.7,4.671851710855566,механические,0,словарь к 25
q_large,0.75,4.960356062896194,механические,0,словарь к 25
q_large,0.8,5.077199004215422,механические,0,словарь к 25
q_large,0.85,4.954804493439655,механические,0,словарь к 25
q_large,0.9,4.546434748516501,механические,0,словарь к 25
q_small,0.0,5.492813211812566,механические,0,словарь к 25
q_small,0.05,5.5316287743541235,механические,0,словарь к 25
q_small,0.1,5.551365203849975,механические,0,словарь к 25
q_small,0.15,5.544601314297591,механические,0,словарь к 25
q_small,0.2,5.550942886263893,механические,0,словарь к 25
q_small,0.25,5.598767684213019,механические,0,словарь к 25
q_small,0.3,5.727834493668593,механические,0,словарь к 25
q_small,0.35,5.955815655978174,механические,0,словарь к 25
q_small,0.4,6.29809816830175,механические,0,словарь к 25
q_small,0.45,6.7904125697355955,механические,0,словарь к 25
q_small,0.5,7.458124158272193,механические,0,словарь к 25
q_small,0.55,8.317195692341198,механические,0,словарь к 25
q_small,0.6,9.342029805894056,механические,0,словарь к 25
q_small,0.65,10.412877250417225,механические,0,словарь к 25
q_small,0.7,11.427102229055382,механические,0,словарь к 25
q_small,0.75,12.38981876231494,механические,0,словарь к 25
q_small,0.8,13.355738378082776,механические,0,словарь к 25
q_small,0.85,14.234013321717729,механические,0,словарь к 25
q_small,0.9,15.113918955006143,механические,0,словарь к 25
q0.5_range,0.0,3.446501317542978,механические,0,словарь к 60
q0.5_range,0.05,3.6520250907974763,механические,0,словарь к 60
q0.5_range,0.1,3.939046378018067,механические,0,словарь к 60
q0.5_range,0.15,4.26022720946473,механические,0,словарь к 60
q0.5_range,0.2,4.6862426450667725,механические,0,словарь к 60
q0.5_range,0.25,5.295487577610736,механические,0,словарь к 60
q0.5_range,0.3,6.126902792499269,механические,0,словарь к 60
q0.5_range,0.35,7.189889688442831,механические,0,словарь к 60
q0.5_range,0.4,8.494149995282104,механические,0,словарь к 60
q0.5_range,0.45,9.98866096776911,механические,0,словарь к 60
q0.5_range,0.5,11.5992720881654,механические,0,словарь к 60
q_large,0.0,6.07363305172411,механические,0,словарь к 60
q_large,0.05,5.779144912703384,механические,0,словарь к 60
q_large,0.1,5.504011817871298,механические,0,словарь к 60
q_large,0.15,5.238782837127508,механические,0,словарь к 60
q_large,0.2,4.97550425190695,механические,0,словарь к 60
q_large,0.25,4.7105067330750074,механические,0,словарь к 60
q_large,0.3,4.444928081556117,механические,0,словарь к 60
q_large,0.35,4.180019639534757,механические,0,словарь к 60
