текст,условие,зерно,крупный,мелкий,средний,масштаб,"стоков, %","одиночек, %",типов всего,типов k>=2,до бл. при k=1,до бл. при k=2,до бл. при k>=3,"доля смысловые, %","доля служебные, %","доля пунктуация, %","доля подслова, %","ребро, среднее",рёбра: CV,длинные: CV,p90/p50,p99/p50,p10/p50,черешок одиночки,"длинных листьев, %",оба одиночки / случай,смысловые: ячеек,смысловые: радиус,смысловые: центры,смысловые: зазор,служебные: ячеек,служебные: радиус,служебные: центры,служебные: зазор,пунктуация: ячеек,пунктуация: радиус,пунктуация: центры,пунктуация: зазор,подслова: ячеек,подслова: радиус,подслова: центры,подслова: зазор
0,исходный,0,17.975893907491084,2.8274521918088067,12.649618075072961,33.25303157948616,0.9950248756218906,47.73869346733669,125,30,0.72244201114663,0.3738971164649607,0.33346755383351556,29.35323383084577,22.885572139303484,25.870646766169152,20.8955223880597,0.5945040029162515,0.3607355467512859,0.06030753011045899,1.1690390902755472,1.3118408766539809,0.38345015936206583,0.7615920443844176,12.437810945273633,1.4996493074792243,7.0,0.222335850696214,0.8010245381696144,1.6230062193408972,10.0,0.23437970223327367,0.8443744964737436,1.480816369791477,8.0,0.24531521278963997,0.8441931215064389,1.4822814447258548,5.0,0.18787906796515355,0.9296038725835976,2.041093764554901
0,исходный,1,17.945157675068575,2.922328165008074,12.478576965712506,33.64627636801054,1.9900497512437811,46.7005076142132,123,31,0.7181676651963026,0.35401031399747745,0.34281147260932426,27.363184079601986,21.393034825870647,27.363184079601986,21.890547263681594,0.5846273055699038,0.36428013974084855,0.05951834538640164,1.179640347405456,1.3125890612940236,0.3927900240904086,0.7507074610086681,12.437810945273633,1.4081161389413985,5.0,0.1897690435850002,0.8022561744746252,1.966760703741068,10.0,0.23091397295888366,0.8244698129921435,1.4473401850150884,9.0,0.23838447850954936,0.8671859923614939,1.617616119319194,7.0,0.18562598260242932,0.8605881835799367,1.7712579564549953
0,исходный,2,17.870264921930556,2.898743432225826,12.841493757731996,33.46599923618258,2.9850746268656714,42.05128205128205,116,34,0.7158403794807474,0.39951746468683375,0.3502207216440308,26.865671641791046,24.378109452736318,23.88059701492537,21.890547263681594,0.5683610430616531,0.38262994477359513,0.06712260881208885,1.2350261968401626,1.4056517532688657,0.440206026645979,0.7509100349423359,11.442786069651742,1.712415972635336,9.0,0.22205542964797295,0.8029922589303514,1.5661175109678225,9.0,0.2661160902701956,0.7764499308842872,1.325602853801703,10.0,0.22576832213682782,0.8555011672710988,1.6275911805160956,6.0,0.17652885022854994,0.8717781255741988,2.061041214283368
0,перемешивание,0,15.891052692447362,3.353885522891764,12.276904265344347,33.01613717799344,2.4875621890547266,42.3469387755102,122,39,0.7207909628071322,0.4405292069074401,0.38678821897961635,36.81592039800995,23.88059701492537,23.383084577114428,13.432835820895523,0.601513071662082,0.3164021667517062,0.06731636530377048,1.1818105465128055,1.3296687315417264,0.5085695853695935,0.7494894549202039,10.945273631840797,1.407496008128901,11.0,0.23447513386019853,0.7844342064402873,1.4309722501674769,14.0,0.25090106295597053,0.8384542559797208,1.3104997368152795,10.0,0.25456603291558755,0.8828584298807136,1.4157147627556088,4.0,0.21027592193786052,0.7969705887904222,1.9274633307210927
0,перемешивание,1,16.412979476611532,3.51283363857523,12.738886337119288,32.936906164284224,1.9900497512437811,43.14720812182741,118,33,0.7212217177425138,0.45592469242501876,0.3697907905458769,35.32338308457712,22.388059701492537,22.885572139303484,17.412935323383085,0.5917309252118039,0.32944518940717266,0.06486491462214362,1.1953408122749871,1.2947332902578936,0.4906645331438609,0.7600819981609576,12.935323383084576,1.5377543252595154,11.0,0.27273147915834844,0.8257672073922702,1.3812234390383054,8.0,0.25811561204926753,0.7893408780880162,1.4254007271011861,9.0,0.2578724804328698,0.8592732001714745,1.416889175963331,5.0,0.20595917521254373,0.8699501022532755,1.6978735467893677
0,перемешивание,2,15.884062993249103,3.6013216627947364,12.242216500231342,33.136122671647186,1.4925373134328357,47.97979797979798,126,31,0.7236772497059187,0.44728661376355094,0.38511919735935274,39.30348258706468,23.383084577114428,22.885572139303484,12.935323383084576,0.6101438016625771,0.3124600228196013,0.06883651822622103,1.1837251684669186,1.3211057849725405,0.47879396376125455,0.7615654279415175,10.945273631840797,1.611563434903047,10.0,0.258312104842363,0.8388455920039445,1.4617065996695158,10.0,0.2880891339591727,0.8256694237273114,1.198413257590751,7.0,0.2522945906910232,0.878030830038285,1.5620456085674588,,,,
0,эхо x2,0,17.14991526844564,2.0202356320592196,8.100496704900888,34.2962822636367,4.477611940298507,26.041666666666668,95,44,0.7371242198060467,0.2547947037852916,0.31697853704280976,38.308457711442784,28.35820895522388,20.8955223880597,7.960199004975125,0.5252902322028069,0.4824317540341876,0.057860701836281975,1.467812903484004,1.6502201638822214,0.3168988485398993,0.7794067177350192,8.45771144278607,1.786280276816609,18.0,0.19423276782399546,0.88933999190336,1.989393634616623,13.0,0.24173921131901732,0.8744346755560979,1.599263694285888,9.0,0.19317946912667708,0.8904578192075223,1.663812022586743,4.0,0.14560756811869321,0.8922308624285544,2.603716569465697
0,эхо x2,1,16.8341270780877,1.803019658131295,7.876059663664646,34.51389529614708,3.482587064676617,23.711340206185564,96,50,0.7356333684785853,0.3263720983384048,0.31513620044176094,38.80597014925373,28.35820895522388,19.900497512437813,9.45273631840796,0.5330950026332121,0.4618668959926779,0.06178971771559118,1.454085035044596,1.661406117456149,0.3455818639101381,0.7918309729875467,7.462686567164178,1.9093100189035916,22.0,0.18459487036414954,0.9221765126126457,1.928272728972397,14.0,0.25462628862667586,0.8369869667887613,1.398050636356489,8.0,0.20667542395199365,0.8924908880388375,2.033210094476273,4.0,0.18999300831782873,0.8391906433842116,2.2233108726836317
0,эхо x2,2,16.801370148254502,1.7864810171504824,7.865506443263852,34.445517540586984,2.4875621890547266,18.877551020408163,93,55,0.7402644774296249,0.2849291454553356,0.3117677253911422,34.82587064676617,28.35820895522388,24.875621890547265,9.45273631840796,0.5206608383331234,0.47149614799493345,0.0630544602091477,1.4767182485788273,1.6883532479739158,0.3386590243808655,0.8264915157239213,7.462686567164178,1.9584972299168977,20.0,0.18518208122253188,0.9060987336364763,2.0730003913690087,15.0,0.21535368769235652,0.865475549183906,1.5509961656709845,15.0,0.17612387562566997,0.8839588460512372,2.641894481490245,5.0,0.15505372099746087,0.9282796174833577,2.59973759492249
0,эхо x4,0,14.27163890759672,1.4899543354715792,4.820186827642449,34.86681379447214,0.9950248756218906,7.035175879396985,72,58,0.7298740552878809,0.17869297295111755,0.1777596175036682,45.77114427860697,29.850746268656714,11.442786069651742,11.940298507462686,0.4197780337229547,0.7056286355964941,0.056149886357845166,2.590224706217565,2.8813462211369645,0.3140125703006947,0.7879210596418866,1.4925373134328357,4.122551020408163,28.0,0.14087587468944232,0.9115058250033672,2.9663405015631215,17.0,0.1713703529846412,0.9256486801895243,1.9346798719726854,6.0,0.1167892128481479,0.8438471324635252,2.932840587046837,7.0,0.08802150231730799,0.9451500912569688,5.025707326107037
