mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,text
q_small,0.0,8.256880620282962,0.17877092866203345,0.878888887221706,3.730378991313504,0.9999465940211223,0.0030021882897513933,0.0045028647321796456,0.0026221943974195313,8,61,261,aligned_floor,xsum_1
q_small,0.05,8.471573643805547,0.21378946888754147,0.8819581765978975,3.6993101787816087,0.9999315549891216,0.0034106029925642834,0.005002436272287802,0.0029789151098397397,8,61,261,aligned_floor,xsum_1
q_small,0.1,8.801224937484852,0.27713013278753335,0.8863794520532079,3.6502790177947078,0.9999022617724704,0.004096099994027884,0.006131709578193423,0.0035776471756538363,8,61,261,aligned_floor,xsum_1
q_small,0.15,9.412552099330508,0.3633660527266047,0.8937588881902574,3.580079106169683,0.9998736675950057,0.004695724475361863,0.0068106890687120725,0.0041013758041602635,8,61,261,aligned_floor,xsum_1
q_small,0.2,10.387800321142988,0.45442490289650217,0.9037332284906716,3.4907934782260175,0.999869730110557,0.004821564478104155,0.007498687176337171,0.004211287947675227,8,61,261,aligned_floor,xsum_1
q_small,0.25,11.812925631500201,0.530937117750046,0.9153469655871351,3.386315955060354,0.999896344814034,0.004356133587951024,0.007209179121142384,0.003804767718177366,8,61,261,aligned_floor,xsum_1
q_small,0.3,13.432574344554014,0.5612964375786028,0.9255541064319193,3.2815115120509173,0.999932225589093,0.003561613768192303,0.006046109953832257,0.0031108121034938456,8,61,261,aligned_floor,xsum_1
q_small,0.35,15.381337024999972,0.77027048587447,0.9349861459784247,3.1739796033233603,0.9999272522667312,0.003727589867568038,0.0068249769184056674,0.003255780225371584,8,61,261,aligned_floor,xsum_1
q_small,0.4,16.55826534882292,0.5685795505949065,0.9396072004564725,3.0805560816302813,0.9999707740252295,0.0023742945820304103,0.004054868674019829,0.0020737746436747455,8,61,261,aligned_floor,xsum_1
q_small,0.45,17.76957098416569,0.5551187028682778,0.9437240211994374,2.982539434825581,0.9999791783022829,0.0020128203560456377,0.003011911363369535,0.0017580530437256224,8,61,261,aligned_floor,xsum_1
q_small,0.5,18.665098753984175,0.5758440396008765,0.9464240713011741,2.882656765287575,0.9999816996105911,0.001892419146334668,0.0028228502409071154,0.0016528912926707668,8,61,261,aligned_floor,xsum_1
q_small,0.55,19.44152081410706,0.606015206946421,0.9485636947046661,2.7754762040958494,0.9999828581806213,0.0018356762727479515,0.002663499575707995,0.0016033304953948257,8,61,261,aligned_floor,xsum_1
q_small,0.6,20.115066406039688,0.6302343617459539,0.9502860204478498,2.6582723892219238,0.9999838804155259,0.0017833319004343345,0.0025534633629975545,0.0015576114709466376,8,61,261,aligned_floor,xsum_1
q_small,0.65,20.811708071496398,0.6493636412793455,0.951950123624423,2.5261329597232463,0.9999851179954486,0.0017165069216461268,0.002510993200635525,0.0014992446837653352,8,61,261,aligned_floor,xsum_1
q_small,0.7,23.104717327721165,2.45472531405225,0.956718795308515,2.3611910644663197,0.9998614120054149,0.005264712060850833,0.012834610486503806,0.004598345319351461,8,61,261,aligned_floor,xsum_1
q_small,0.75,22.33529487085366,0.6837177508768402,0.9552278129399158,2.1955505114399734,0.9999876485223477,0.0015691574243803792,0.0023226562492730807,0.0013705455520313882,8,61,261,aligned_floor,xsum_1
q_small,0.8,23.01501527605763,0.7647216255851089,0.9565501048769542,1.9791948989127206,0.9999863324226349,0.0016529277783881382,0.0025102545825017586,0.0014437128992290506,8,61,261,aligned_floor,xsum_1
q_small,0.85,23.49097833349863,0.7928614627616802,0.957430466036658,1.7025191692702153,0.9999864879545346,0.001645008484434954,0.0027330402769383255,0.0014367959685666913,8,61,261,aligned_floor,xsum_1
q_small,0.9,23.3900789772267,0.781371293539908,0.957246830975918,1.3167737501007575,0.9999866437135096,0.0016351858370080143,0.0027204776895937144,0.0014282165962672668,8,61,261,aligned_floor,xsum_1
q_small,0.0,8.256880620282962,0.17877092866203345,0.878888887221706,3.730378991313504,0.9999465940211223,0.0030021882897513933,0.0045028647321796456,0.0026221943974195313,8,61,261,aligned_round,xsum_1
q_small,0.05,8.471573643805547,0.21378946888754147,0.8819581765978975,3.6993101787816087,0.9999315549891216,0.0034106029925642834,0.005002436272287802,0.0029789151098397397,8,61,261,aligned_round,xsum_1
q_small,0.1,8.801224937484852,0.27713013278753335,0.8863794520532079,3.6502790177947078,0.9999022617724704,0.004096099994027884,0.006131709578193423,0.0035776471756538363,8,61,261,aligned_round,xsum_1
q_small,0.15,9.412552099330508,0.3633660527266047,0.8937588881902574,3.580079106169683,0.9998736675950057,0.004695724475361863,0.0068106890687120725,0.0041013758041602635,8,61,261,aligned_round,xsum_1
q_small,0.2,10.387800321142988,0.45442490289650217,0.9037332284906716,3.4907934782260175,0.999869730110557,0.004821564478104155,0.007498687176337171,0.004211287947675227,8,61,261,aligned_round,xsum_1
q_small,0.25,11.812925631500201,0.530937117750046,0.9153469655871351,3.386315955060354,0.999896344814034,0.004356133587951024,0.007209179121142384,0.003804767718177366,8,61,261,aligned_round,xsum_1
q_small,0.3,13.432574344554014,0.5612964375786028,0.9255541064319193,3.2815115120509173,0.999932225589093,0.003561613768192303,0.006046109953832257,0.0031108121034938456,8,61,261,aligned_round,xsum_1
q_small,0.35,15.078774690448752,0.5658010473309438,0.9336816140217664,3.1794534566350063,0.9999573814751341,0.0028490802658599087,0.005039735535223855,0.002488465609049142,8,61,261,aligned_round,xsum_1
q_small,0.4,16.55826534882292,0.5685795505949065,0.9396072004564725,3.0805560816302813,0.9999707740252295,0.0023742945820304103,0.004054868674019829,0.0020737746436747455,8,61,261,aligned_round,xsum_1
q_small,0.45,17.76957098416569,0.5551187028682778,0.9437240211994374,2.982539434825581,0.9999791783022829,0.0020128203560456377,0.003011911363369535,0.0017580530437256224,8,61,261,aligned_round,xsum_1
q_small,0.5,18.665098753984175,0.5758440396008765,0.9464240713011741,2.882656765287575,0.9999816996105911,0.001892419146334668,0.0028228502409071154,0.0016528912926707668,8,61,261,aligned_round,xsum_1
q_small,0.55,19.44152081410706,0.606015206946421,0.9485636947046661,2.7754762040958494,0.9999828581806213,0.0018356762727479515,0.002663499575707995,0.0016033304953948257,8,61,261,aligned_round,xsum_1
q_small,0.6,20.115066406039688,0.6302343617459539,0.9502860204478498,2.6582723892219238,0.9999838804155259,0.0017833319004343345,0.0025534633629975545,0.0015576114709466376,8,61,261,aligned_round,xsum_1
q_small,0.65,20.811708071496398,0.6493636412793455,0.951950123624423,2.5261329597232463,0.9999851179954486,0.0017165069216461268,0.002510993200635525,0.0014992446837653352,8,61,261,aligned_round,xsum_1
q_small,0.7,21.546650525272558,0.6640724327341969,0.9535890741427733,2.3743234637764283,0.9999864999714284,0.001637679671152278,0.002405511596222709,0.0014303947800752262,8,61,261,aligned_round,xsum_1
q_small,0.75,22.33529487085366,0.6837177508768402,0.9552278129399158,2.1955505114399734,0.9999876485223477,0.0015691574243803792,0.0023226562492730807,0.0013705455520313882,8,61,261,aligned_round,xsum_1
q_small,0.8,23.01501527605763,0.7647216255851089,0.9565501048769542,1.9791948989127206,0.9999863324226349,0.0016529277783881382,0.0025102545825017586,0.0014437128992290506,8,61,261,aligned_round,xsum_1
q_small,0.85,23.49097833349863,0.7928614627616802,0.957430466036658,1.7025191692702153,0.9999864879545346,0.001645008484434954,0.0027330402769383255,0.0014367959685666913,8,61,261,aligned_round,xsum_1
q_small,0.9,23.3900789772267,0.781371293539908,0.957246830975918,1.3167737501007575,0.9999866437135096,0.0016351858370080143,0.0027204776895937144,0.0014282165962672668,8,61,261,aligned_round,xsum_1
q_small,0.0,8.256880620282962,0.17877092866203345,0.878888887221706,3.730378991313504,0.9999465940211223,0.0030021882897513933,0.0045028647321796456,0.0026221943974195313,8,61,261,aligned_frac,xsum_1
q_small,0.05,8.471573643805547,0.21378946888754147,0.8819581765978975,3.6993101787816087,0.9999315549891216,0.0034106029925642834,0.005002436272287802,0.0029789151098397397,8,61,261,aligned_frac,xsum_1
q_small,0.1,8.801224937484852,0.27713013278753335,0.8863794520532079,3.6502790177947078,0.9999022617724704,0.004096099994027884,0.006131709578193423,0.0035776471756538363,8,61,261,aligned_frac,xsum_1
