L,"группа>=5%, длина>=1.2","группа>=5%, длина>=1.4","группа>=10%, длина>=1.2","группа>=10%, длина>=1.4","группа>=5 точек, длина>=1.4",из 10 длинных: группа>=5,из 10 длинных: группа>=5%,со_стоком,рёбер,топ10_без_hapax,топ10_без_hapax_лист,топ10_без_hapax_группа,текст
121,0,0,0,0,0,1,0,0,120,5,3,1,62
201,2,0,2,0,0,0,0,0,200,2,1,0,62
201,3,0,3,0,1,1,0,0,200,3,1,1,62
201,2,0,1,0,1,1,0,0,200,1,0,1,62
321,5,0,3,0,1,1,0,0,320,2,1,1,62
321,7,0,3,0,0,0,0,0,320,2,0,0,62
321,6,0,5,0,2,2,0,0,320,3,0,2,62
401,6,0,4,0,2,1,0,0,400,2,0,1,62
401,4,0,2,0,1,1,0,0,400,3,0,1,62
401,8,0,4,0,1,1,0,0,400,3,1,1,62
41,0,0,0,0,0,1,4,0,40,7,3,1,63
41,1,0,0,0,0,0,3,0,40,5,3,0,63
41,0,0,0,0,0,0,2,0,40,4,3,0,63
81,0,0,0,0,0,0,0,0,80,4,2,0,63
81,3,1,1,0,0,0,1,1,80,4,3,0,63
81,0,0,0,0,0,1,1,0,80,5,2,1,63
121,1,0,0,0,1,1,0,0,120,5,2,1,63
121,0,0,0,0,0,0,0,0,120,5,4,0,63
121,0,0,0,0,0,0,0,0,120,3,2,0,63
201,1,0,1,0,1,2,0,0,200,4,3,1,63
201,4,0,2,0,1,1,0,0,200,5,2,1,63
201,0,0,0,0,1,1,0,0,200,4,2,1,63
321,11,0,7,0,2,1,0,0,320,5,3,1,63
321,6,0,3,0,1,1,0,0,320,4,2,1,63
321,12,0,8,0,3,1,0,0,320,2,1,1,63
401,16,0,10,0,4,1,0,0,400,5,3,1,63
401,14,0,6,0,5,1,0,0,400,3,1,1,63
401,15,0,10,0,4,2,0,0,400,2,1,1,63
41,2,0,1,0,0,2,4,0,40,6,2,2,64
41,1,0,1,0,0,0,3,0,40,5,4,0,64
41,2,0,1,0,0,0,4,0,40,5,4,0,64
81,2,0,2,0,0,2,2,0,80,5,3,1,64
81,3,0,1,0,0,1,3,0,80,3,1,1,64
81,3,0,3,0,0,3,3,0,80,4,1,3,64
121,6,0,4,0,0,2,2,0,120,5,1,2,64
121,1,0,1,0,0,1,1,0,120,2,1,0,64
121,9,0,3,0,0,2,2,0,120,3,0,1,64
201,8,0,7,0,1,1,0,0,200,3,1,1,64
201,4,0,2,0,0,0,0,0,200,2,0,0,64
201,3,0,3,0,0,0,0,0,200,4,2,0,64
321,7,2,5,2,3,1,0,0,320,1,0,1,64
321,8,2,6,2,5,2,0,0,320,3,1,2,64
321,6,2,3,2,4,1,0,0,320,2,1,1,64
401,13,3,6,3,4,1,0,0,400,2,1,1,64
401,10,2,7,2,4,1,0,0,400,3,2,1,64
401,13,4,8,3,5,0,0,0,400,1,0,0,64
41,0,0,0,0,0,0,1,0,40,2,1,0,65
41,0,0,0,0,0,2,3,0,40,2,1,0,65
41,0,0,0,0,0,1,1,0,40,6,5,1,65
81,1,0,1,0,0,0,0,0,80,3,2,0,65
81,1,0,0,0,0,1,1,0,80,7,3,1,65
81,2,0,1,0,0,0,0,0,80,3,3,0,65
121,8,0,6,0,0,0,0,0,120,2,0,0,65
121,1,0,0,0,0,0,0,0,120,1,0,0,65
121,1,0,1,0,0,0,0,0,120,4,2,0,65
201,11,0,10,0,1,2,0,0,200,2,0,2,65
201,8,0,5,0,1,1,0,0,200,2,0,1,65
201,0,0,0,0,0,1,0,0,200,1,0,1,65
321,9,0,8,0,2,1,0,0,320,1,0,1,65
321,10,0,8,0,2,1,0,0,320,1,0,1,65
321,9,0,8,0,3,1,0,0,320,1,0,1,65
41,2,1,1,0,0,1,4,1,40,4,2,1,66
41,0,0,0,0,0,1,1,0,40,5,4,1,66
41,0,0,0,0,0,0,4,0,40,2,2,0,66
81,0,0,0,0,0,0,0,0,80,5,2,0,66
81,0,0,0,0,0,0,0,0,80,1,1,0,66
81,0,0,0,0,0,0,0,0,80,4,1,0,66
121,0,0,0,0,0,0,0,0,120,4,2,0,66
121,1,0,1,0,0,1,1,0,120,6,4,1,66
121,1,0,1,0,0,0,0,0,120,3,2,0,66
201,1,0,0,0,1,3,0,0,200,3,1,2,66
201,1,0,0,0,1,1,0,0,200,2,1,1,66
201,2,0,2,0,1,1,0,0,200,3,1,1,66
321,4,0,0,0,1,1,0,0,320,2,0,1,66
321,1,0,0,0,1,1,0,0,320,4,3,1,66
321,4,0,1,0,1,1,0,0,320,3,1,1,66
401,3,0,2,0,1,1,0,0,400,2,0,1,66
401,3,0,0,0,1,1,0,0,400,3,1,1,66
401,7,1,5,1,3,1,0,0,400,3,1,1,66
41,4,1,1,0,0,0,4,1,40,3,2,0,67
41,1,0,0,0,0,0,3,0,40,3,1,0,67
41,2,0,0,0,0,1,3,0,40,2,2,0,67
81,1,0,0,0,0,0,0,0,80,3,3,0,67
81,0,0,0,0,0,0,0,0,80,4,3,0,67
81,4,0,2,0,0,0,0,0,80,1,1,0,67
121,6,0,3,0,0,0,0,0,120,3,2,0,67
121,4,0,3,0,1,1,0,0,120,3,2,1,67
121,8,0,7,0,0,0,0,0,120,2,1,0,67
201,10,0,6,0,0,0,0,0,200,1,0,0,67
201,9,0,7,0,3,1,0,0,200,1,0,1,67
201,12,0,9,0,1,1,0,0,200,2,1,1,67
321,17,0,12,0,4,1,0,0,320,2,0,1,67
321,15,0,11,0,4,1,0,0,320,2,0,1,67
321,22,1,15,0,5,2,0,0,320,2,0,1,67
41,1,0,0,0,0,1,5,0,40,5,2,1,68
41,1,0,0,0,0,0,5,0,40,5,2,0,68
41,0,0,0,0,0,1,3,0,40,6,3,1,68
81,1,0,0,0,0,1,1,0,80,5,4,1,68
81,2,0,0,0,0,1,1,0,80,8,4,1,68
81,1,1,0,0,1,1,1,0,80,6,3,1,68
121,4,0,1,0,1,2,1,0,120,6,1,2,68
121,4,0,0,0,1,3,1,0,120,6,2,2,68
121,3,0,0,0,0,1,1,0,120,5,3,1,68
201,3,2,1,0,6,4,1,0,200,7,1,4,68
201,4,0,2,0,1,1,0,0,200,4,2,1,68
201,7,1,1,0,3,2,0,0,200,3,1,1,68
321,9,3,5,0,12,4,1,0,320,5,0,4,68
321,14,2,8,0,12,6,0,0,320,2,0,1,68
321,18,5,11,2,18,4,1,0,320,3,1,1,68
401,18,2,14,1,16,5,1,0,400,5,1,4,68
401,18,3,10,1,17,2,1,0,400,4,1,2,68
401,21,2,15,0,12,3,0,0,400,4,0,2,68
41,3,1,1,0,0,0,5,1,40,5,2,0,69
41,2,0,1,0,0,0,5,0,40,3,0,0,69
41,1,1,0,0,0,0,3,1,40,5,3,0,69
81,1,0,1,0,0,1,1,0,80,2,2,0,69
81,1,0,0,0,0,1,1,0,80,3,2,1,69
81,1,0,1,0,0,1,1,0,80,1,0,0,69
121,1,0,0,0,0,0,0,0,120,4,2,0,69
121,2,0,1,0,0,1,1,0,120,1,1,0,69
121,2,0,0,0,0,2,2,0,120,3,1,1,69
201,6,0,3,0,1,1,0,0,200,2,1,1,69
201,11,0,9,0,1,1,0,0,200,2,2,0,69
201,6,0,5,0,1,1,0,0,200,3,1,1,69
321,16,0,7,0,3,1,0,0,320,1,0,1,69
321,7,0,5,0,1,1,0,0,320,1,0,1,69
321,15,0,6,0,1,1,0,0,320,1,0,1,69
41,2,0,1,0,0,2,5,0,40,5,1,2,70
41,2,1,1,0,0,0,7,1,40,6,2,0,70
41,0,0,0,0,0,1,3,0,40,5,3,1,70
81,0,0,0,0,0,0,0,0,80,6,5,0,70
81,3,1,0,0,1,1,1,1,80,3,3,0,70
81,0,0,0,0,0,0,0,0,80,5,5,0,70
121,1,0,1,0,0,0,0,0,120,5,2,0,70
121,0,0,0,0,0,1,0,0,120,5,3,0,70
121,1,0,0,0,0,1,1,0,120,4,1,1,70
201,2,0,1,0,1,1,0,0,200,4,2,1,70
201,2,0,0,0,0,0,0,0,200,6,4,0,70
201,4,0,1,0,1,1,0,0,200,6,4,1,70
321,9,0,3,0,3,2,0,0,320,5,2,1,70
321,3,0,2,0,1,1,0,0,320,6,3,1,70
321,6,0,2,0,1,1,0,0,320,2,0,1,70
401,4,0,2,0,1,1,0,0,400,2,0,1,70
401,5,0,3,0,1,1,0,0,400,5,2,1,70
401,7,0,4,0,2,2,0,0,400,4,1,1,70
41,1,0,1,0,0,1,3,0,40,7,4,1,71
41,0,0,0,0,0,2,3,0,40,6,3,2,71
41,0,0,0,0,0,1,2,0,40,6,4,1,71
81,0,0,0,0,0,0,0,0,80,5,4,0,71
81,2,0,2,0,0,0,0,0,80,3,2,0,71
81,0,0,0,0,0,0,0,0,80,4,4,0,71
121,1,0,1,0,0,1,0,0,120,3,2,1,71
121,2,0,2,0,0,0,0,0,120,4,1,0,71
121,7,0,4,0,0,2,2,0,120,5,3,1,71
201,4,0,4,0,1,1,0,0,200,5,3,1,71
201,5,0,4,0,1,1,0,0,200,4,2,1,71
201,1,0,0,0,1,1,0,0,200,9,5,1,71
321,10,0,6,0,1,0,0,0,320,4,1,0,71
321,4,0,3,0,1,1,0,0,320,4,1,1,71
321,5,0,2,0,2,2,0,0,320,4,0,2,71
401,19,0,11,0,5,1,0,0,400,5,2,1,71
401,9,0,7,0,3,1,0,0,400,6,2,1,71
401,6,0,3,0,2,1,0,0,400,6,3,1,71
41,0,0,0,0,0,0,2,0,40,5,3,0,72
41,1,0,0,0,0,0,4,1,40,3,0,0,72
41,1,0,0,0,0,0,2,0,40,4,3,0,72
81,2,1,0,0,1,1,2,1,80,2,0,0,72
81,1,1,0,0,0,0,1,1,80,5,3,0,72
81,1,0,0,0,0,0,1,0,80,8,5,0,72
121,1,0,0,0,1,2,1,0,120,5,3,2,72
121,2,0,2,0,0,0,0,0,120,4,3,0,72
121,3,0,0,0,0,2,2,0,120,5,3,2,72
201,2,0,1,0,1,1,0,0,200,3,2,1,72
201,4,0,0,0,1,1,0,0,200,4,1,1,72
201,3,0,1,0,1,3,2,0,200,6,3,3,72
321,4,1,1,0,2,2,1,0,320,4,1,2,72
321,7,1,1,0,2,1,0,0,320,4,0,1,72
321,8,1,2,0,2,1,0,0,320,4,0,1,72
41,1,0,0,0,0,0,4,1,40,5,2,0,73
41,0,0,0,0,0,0,1,0,40,9,8,0,73
41,0,0,0,0,0,0,1,0,40,1,1,0,73
81,0,0,0,0,0,0,0,0,80,5,4,0,73
81,1,0,0,0,0,0,0,0,80,3,2,0,73
81,0,0,0,0,0,0,0,0,80,5,3,0,73
121,1,0,0,0,0,0,0,0,120,5,4,0,73
121,1,0,0,0,0,0,0,0,120,7,4,0,73
121,5,0,2,0,0,0,0,0,120,4,2,0,73
201,7,0,3,0,0,0,0,0,200,5,3,0,73
201,8,0,6,0,1,1,0,0,200,6,5,1,73
201,11,0,7,0,2,2,0,0,200,4,1,2,73
321,16,0,11,0,3,1,0,0,320,5,3,1,73
321,12,0,8,0,2,1,0,0,320,6,5,1,73
321,15,0,5,0,1,1,0,0,320,4,3,1,73
401,16,0,11,0,3,1,0,0,400,4,2,1,73
401,15,0,11,0,3,1,0,0,400,4,2,1,73
401,21,0,10,0,3,1,0,0,400,4,1,1,73
41,2,0,0,0,0,0,2,0,40,4,3,0,74
41,1,1,0,0,0,1,2,0,40,5,4,0,74
41,4,0,2,0,0,2,4,0,40,6,4,2,74
81,2,0,0,0,0,0,1,0,80,2,0,0,74
81,1,1,0,0,0,0,1,1,80,4,2,0,74
81,3,0,1,0,0,0,0,0,80,3,2,0,74
121,0,0,0,0,0,0,0,0,120,4,3,0,74
121,2,0,1,0,0,0,0,0,120,3,2,0,74
121,3,0,1,0,0,0,0,0,120,4,1,0,74
201,1,0,1,0,2,2,0,0,200,5,3,0,74
201,4,0,2,0,1,1,0,0,200,3,1,0,74
201,4,0,3,0,2,1,0,0,200,5,2,1,74
321,14,0,12,0,8,2,0,0,320,3,0,1,74
321,7,0,6,0,4,1,0,0,320,3,1,1,74
321,11,0,9,0,6,2,0,0,320,3,0,1,74
401,19,0,14,0,11,2,0,0,400,3,0,1,74
401,19,0,14,0,10,2,0,0,400,3,0,1,74
401,20,0,17,0,9,2,0,0,400,3,0,1,74
41,0,0,0,0,0,0,2,0,40,5,3,0,75
41,0,0,0,0,0,0,4,0,40,5,4,0,75
41,1,0,0,0,0,0,5,1,40,7,2,0,75
81,1,0,0,0,0,0,0,0,80,3,2,0,75
81,0,0,0,0,0,0,0,0,80,3,1,0,75
81,1,0,0,0,0,1,1,0,80,5,3,1,75
121,2,1,0,0,1,1,1,1,120,3,1,1,75
121,3,0,1,0,0,0,0,0,120,4,2,0,75
121,0,0,0,0,0,0,0,0,120,4,1,0,75
201,9,0,3,0,1,1,0,0,200,3,1,1,75
201,6,0,4,0,1,1,0,0,200,4,3,1,75
201,8,0,2,0,1,1,0,0,200,2,1,1,75
321,18,0,13,0,2,1,0,0,320,2,1,1,75
321,15,0,10,0,1,1,0,0,320,2,0,0,75
321,16,0,8,0,1,1,0,0,320,3,1,1,75
401,23,0,17,0,4,1,0,0,400,2,0,1,75
401,21,0,15,0,5,1,0,0,400,3,0,1,75
401,20,0,14,0,4,1,0,0,400,2,0,1,75
41,1,0,0,0,0,0,3,0,40,6,3,0,76
41,0,0,0,0,0,0,1,0,40,6,5,0,76
41,3,0,1,0,0,1,5,0,40,5,1,1,76
81,1,0,0,0,0,1,1,0,80,5,2,1,76
81,2,0,0,0,0,2,2,0,80,7,3,1,76
81,1,0,0,0,0,1,1,0,80,5,1,1,76
121,3,0,0,0,1,2,1,0,120,6,1,1,76
121,1,0,0,0,0,2,1,0,120,2,1,0,76
121,1,0,0,0,0,2,1,0,120,8,2,2,76
201,2,1,0,0,1,1,1,0,200,6,0,1,76
201,3,0,0,0,0,1,0,0,200,4,2,0,76
201,2,1,1,0,2,2,1,0,200,5,2,2,76
321,5,1,2,0,3,3,1,0,320,5,0,2,76
321,4,1,1,0,2,2,1,0,320,5,1,1,76
321,7,1,2,0,3,3,1,0,320,5,0,2,76
401,7,1,2,0,4,3,1,0,400,2,0,2,76
401,8,1,3,0,5,3,1,0,400,2,0,2,76
401,9,1,4,0,4,3,0,0,400,4,0,3,76
41,0,0,0,0,0,0,2,0,40,3,2,0,77
41,1,0,0,0,0,0,2,0,40,6,4,0,77
41,2,1,0,0,0,0,2,0,40,3,2,0,77
81,1,0,0,0,0,1,1,0,80,5,3,1,77
81,0,0,0,0,0,0,0,0,80,3,1,0,77
81,1,0,0,0,0,1,1,0,80,3,1,1,77
121,1,0,0,0,0,1,1,0,120,3,1,1,77
121,2,0,1,0,0,1,1,0,120,6,4,1,77
121,2,0,1,0,0,1,1,0,120,5,4,0,77
201,3,0,2,0,0,1,1,0,200,4,2,0,77
201,2,1,1,0,2,2,1,0,200,5,0,1,77
201,2,1,1,0,1,1,1,0,200,4,0,1,77
41,1,0,0,0,0,0,1,0,40,7,6,0,78
41,1,0,0,0,0,1,3,0,40,6,3,1,78
41,0,0,0,0,0,2,3,0,40,7,4,2,78
81,1,0,1,0,0,1,2,0,80,6,3,1,78
81,0,0,0,0,0,0,0,0,80,9,5,0,78
81,2,0,1,0,0,1,2,0,80,5,2,1,78
121,2,0,0,0,0,1,1,0,120,4,3,0,78
121,3,0,1,0,0,2,2,0,120,7,3,1,78
121,0,0,0,0,0,0,0,0,120,7,4,0,78
201,2,0,0,0,2,2,0,0,200,8,4,1,78
201,3,0,3,0,0,0,0,0,200,8,5,0,78
201,1,0,0,0,1,1,0,0,200,4,4,0,78
321,3,0,2,0,3,3,0,0,320,5,2,2,78
321,4,0,0,0,2,2,0,0,320,7,0,2,78
321,5,0,3,0,1,1,0,0,320,5,1,0,78
401,4,0,2,0,1,1,0,0,400,5,4,1,78
401,5,0,4,0,1,1,0,0,400,8,6,1,78
401,3,0,0,0,1,1,0,0,400,7,5,1,78
41,4,0,2,0,0,1,4,0,40,7,3,1,79
41,2,0,2,0,0,3,4,0,40,6,3,2,79
41,1,0,0,0,0,0,1,0,40,6,5,0,79
81,13,2,8,1,2,1,1,0,80,9,5,1,79
81,14,2,10,0,1,1,2,1,80,3,0,1,79
81,8,0,6,0,0,0,0,0,80,7,3,0,79
121,17,0,10,0,0,0,0,0,120,5,3,0,79
121,13,0,8,0,0,0,0,0,120,6,3,0,79
121,14,2,10,2,3,1,0,0,120,5,4,0,79
201,22,7,15,6,10,1,0,0,200,7,4,1,79
201,17,2,10,1,5,0,0,0,200,6,1,0,79
201,18,3,10,1,7,1,0,0,200,5,1,1,79
321,24,11,20,9,30,4,0,0,320,3,0,3,79
321,20,8,14,6,31,5,0,0,320,4,0,3,79
321,24,12,19,9,30,4,0,0,320,5,0,4,79
