текст,типов,токенов,без двойников: крупный,без двойников: мелкий,без двойников: средний,как есть: крупный,как есть: мелкий,как есть: средний
0,203,425,21.384436309207313,17.29829200476392,19.760995004106483,17.996900638202884,2.73832823484155,12.309432593481775
2,217,525,20.86658350648202,16.01501756440389,19.781093345755384,20.201056179546562,2.520234009227014,13.019865005533978
3,262,518,22.633365495933944,13.248548309136712,25.0495507345968,18.16029363658131,3.9107775620308183,16.07185766316511
6,337,738,29.54897167173281,20.793519363458216,29.757152158147886,20.111655936049317,4.320470814046384,16.37175830155887
10,251,457,23.906839672846854,18.3494800029031,24.064612864587392,16.428889813944117,3.4382506203901637,14.382457826117411
11,213,499,37.80806177937052,16.247156499423944,31.559950004719763,19.42012100512769,3.133885439125698,13.498716164160356
13,437,1114,25.588681415611745,20.19145245283695,27.385650687131665,16.06269292499991,3.8470456764101155,13.17685510584881
14,250,490,33.323557437294944,18.87067759460522,28.27904870823617,18.289756947720363,3.3671136426538366,15.473393593262475
15,240,445,24.940443300980323,15.96431551301185,26.563599642077058,19.737921698656052,3.763127702878657,16.486278185481794
16,238,437,30.053091743558387,25.313810268038658,30.16757911455676,17.09902850491885,3.452920262324921,16.765583476347206
23,245,553,31.069679787804873,15.91239214187814,27.26383452908143,16.19022768913574,3.2005662862513704,12.96921887147649
24,257,586,19.375157012094164,16.656434289795893,19.851359960435556,16.983292567722973,3.2518966129554094,13.562756485131455
27,304,629,23.696302892086365,18.78520241862862,24.958095456020267,19.95180016850353,3.614764890865937,17.834964683554446
28,205,497,19.530389677827706,11.319325197987274,17.90903449496038,14.719355455278645,2.313891213308587,10.642347225282997
29,253,493,26.036740983181506,16.832966372850272,29.131634271670386,16.21422139774217,3.4249007610948548,14.929788744186519
30,379,1121,28.891616646674443,19.966218318129645,26.515486799872445,15.296074934174966,2.463344580441826,12.970596829056692
31,258,491,29.60917637515198,18.587947558898925,29.458221762023697,17.992392002059557,3.7310808198774814,16.0210218911745
32,292,866,20.309493714667994,20.966853536182366,21.82441126237992,14.16359569010613,3.4183133366572305,11.21725514575234
34,425,1032,25.330295283618113,20.56415239614523,27.531063356308444,17.581522932277373,3.579145460621428,14.468459828944882
35,235,422,28.005518322699345,17.409080360280594,26.97738049653443,16.184770868057925,3.6832064248257645,16.494157637400257
38,229,494,24.12994282813313,19.40436914786206,22.08689796894614,16.950448260938934,4.435385879755304,12.727051346134695
40,297,539,25.512444589541328,20.05975209312453,27.39852264168842,24.346254117408417,3.750763497841548,21.263938617351577
41,270,495,29.082961748195707,20.313498192463946,29.76069856122321,15.51157958626492,4.050621993485483,15.033694876677904
42,236,517,20.5927951054069,18.427023856870445,22.367657038330783,13.759514018560289,3.663857074450088,12.779068606131057
44,223,554,22.028580344720154,19.198664647659786,25.602553499382356,11.428340239653384,2.9512322579638766,10.475939223942776
46,224,418,21.563441963306516,17.784628729706675,20.111789285892222,25.40635223622431,3.851900732606448,18.65208407526849
48,268,510,25.369148539443497,18.331704106181146,27.78895914748518,17.083766245917104,4.095571215993235,15.236955147194749
49,232,421,18.55399348701436,20.141153756335164,23.022524350382177,15.08062080605209,3.1437431246783243,15.140109556768332
50,471,1379,25.771061590165278,18.749690118251014,26.08576461728598,22.41276980986688,3.092203758732513,15.115189109485112
53,217,409,26.379771729129207,15.561324200800389,24.082396388433892,22.419032952866274,3.4008596562020537,15.633689573478511
55,341,786,24.11531738525642,19.640781801125904,23.026253221703836,17.583446510707446,4.481875911323351,15.281593746855176
58,311,642,26.777773069265763,23.767484352597045,27.6775645293754,13.911916953261203,3.7770759024909997,13.300564832803957
