,"служ.-служ., один токен","служ.-служ., разные","смысл.-смысл., один токен","смысл.-смысл., разные","часть-часть, один токен","часть-часть, разные",смешанные,"разрыв, токенов",медиана разрыва,доля рёбер ближе 10 токенов,"разрыв: служ.-служ., один токен","разрыв: смысл.-смысл., один токен"
человек,59.75,3.67,30.54,1.33,4.5,0.04,0.17,145.05,119.02,5.12,145.66,141.91
loop/echo6w_x2,44.33,3.21,43.67,0.04,8.54,0.0,0.21,66.93,20.68,54.04,80.35,47.25
loop/echo6w_x4,38.04,4.12,50.13,0.0,7.38,0.0,0.33,26.77,8.76,64.08,23.98,15.57
vocab/top60,43.08,3.5,43.42,0.04,9.5,0.08,0.37,124.89,95.91,7.58,126.44,115.81
vocab/top10,30.5,3.42,54.83,0.04,10.62,0.0,0.58,121.73,87.88,10.12,124.17,114.94
vocab/expand100,68.33,5.67,12.29,9.83,1.33,1.33,1.21,143.02,115.21,8.46,145.15,132.5
shuffle/words,59.96,4.42,28.04,1.46,4.92,0.08,1.12,152.12,127.4,7.33,149.83,150.54
surface/punct_add,69.71,3.79,22.21,0.42,3.42,0.0,0.46,156.45,127.24,4.92,156.87,146.37
