текст,условие,граница (p80 всех рёбер),медиана всех рёбер,длинные p0,длинные p10,длинные p25,длинные p50,длинные p75,длинные p90,длинные p100,размах p100/p0,верх p100/p50,низ p50/p0,CV длинного конца,средняя длина длинных,"подставленных в выборке, %",подст.–подст.: доля,подст.–подст.: длина,подст.–подст.: CV,подст.–родной: доля,подст.–родной: длина,подст.–родной: CV,родной–родной: доля,родной–родной: длина,родной–родной: CV,оба одиночки: доля,оба одиночки: длина,оба одиночки: CV,один одиночка: доля,один одиночка: длина,один одиночка: CV,без одиночек: доля,без одиночек: длина,без одиночек: CV,CV без верхних 0,дисперсия без верхних 0,CV без верхних 1,дисперсия без верхних 1,CV без верхних 2,дисперсия без верхних 2,CV без верхних 3,дисперсия без верхних 3,CV без верхних 5,дисперсия без верхних 5,CV без верхних 10,дисперсия без верхних 10,хвост: длина,"хвост: подставленных концов, %","хвост: одиночек, %","хвост: стоков, %",хвост: разрыв норм,хвост: меньшая сторона,"длинные: стоков, %",длинные: разрыв норм,одиночки: межгрупповая доля дисперсии,одиночки: дисперсия всего,подст.: межгрупповая доля дисперсии,подст.: дисперсия всего
0,исходный,0.7701492417176772,0.688691779496208,0.7722697042495386,0.7808553469559648,0.7886912931051526,0.8054043838242246,0.8349184162402851,0.8837202891005523,1.0277624768953346,1.330833608051573,1.2760825462798058,1.0429055799966735,0.06030753011045899,0.822170759013819,0.0,0.0,,,0.0,,,100.0,0.822170759013819,0.06030753011045899,65.0,0.816709717024199,0.044369686876260896,25.0,0.8155773519920656,0.054622564521242284,10.0,0.8741510495007314,0.10285194258090936,0.060307530110459015,0.002458482596294684,0.04596544253062382,0.001409937325286519,0.04212417399606475,0.0011765076724176374,0.03872022877926356,0.0009881812640381992,0.03204679216943021,0.000669457754622104,0.022509697859505434,0.0003239100970507242,0.9257185999992533,0.0,60.0,10.0,3.073298931121826,1.0,1.25,1.3752930164337158,0.12220881740219917,0.002458482596294684,,
0,чужие хапаксы,0.7336631045512878,0.6400846158168612,0.73730054127595,0.7436250307991196,0.7476988449241956,0.7793476910659121,0.8168354623687804,0.8352266931545083,1.0612489966154406,1.4393709718141197,1.3617144296199464,1.0570285079639254,0.07384590087446463,0.7904597321494846,29.850746268656714,20.0,0.7672087924608906,0.036166189528323615,12.5,0.8119457554529234,0.059207179366377684,67.5,0.7933700062602831,0.08107764776459486,47.5,0.7888491007132581,0.05580019513704363,35.0,0.7979471961525988,0.10058959887462653,17.5,0.7798565180415851,0.04242482262841719,0.07384590087446463,0.0034073150200132915,0.050511354844073396,0.0015662974366996694,0.046703059553957246,0.001329915942772759,0.0422867265175676,0.0010826790718187146,0.038944259389134366,0.0009099398806339916,0.03142466187122433,0.0005799019051203637,0.9016600368194714,20.0,70.0,10.0,2.740079402923584,3.0,1.25,1.19217050075531,0.011894667913140932,0.0034073150200132902,0.05034592702536103,0.0034073150200132907
0,перемешивание,0.7519848866921702,0.666956658203955,0.7543372424252072,0.7578427869478854,0.772102041600286,0.7884181602075646,0.8198191532859166,0.8379499896861062,1.0534212922971988,1.3964858594419007,1.336120025469565,1.0451799485238018,0.06731636530377051,0.8024966449493569,0.0,0.0,,,0.0,,,100.0,0.8024966449493569,0.06731636530377051,40.0,0.786204776280393,0.04073588443571479,40.0,0.8067411822028003,0.05361445390248787,20.0,0.8265913077803975,0.10581960748284516,0.0673163653037705,0.002918285436729418,0.04593708193955569,0.0013372768806261264,0.037367518685287995,0.0008769708520031986,0.0324230742917645,0.0006560237950464483,0.029368862480133685,0.0005342726308541766,0.022210814267870225,0.0003003665266927546,0.9107244587100519,0.0,50.0,10.0,2.9725449085235596,1.0,1.25,1.3422943353652954,0.07863760857284446,0.0029182854367294183,,
1,исходный,0.7783392157554386,0.7054509691715186,0.7795414186189046,0.7851932927040683,0.7884815332943493,0.8053036407921701,0.8325068191380979,0.9085936287027,1.028210036422423,1.3189934644448769,1.276797948424748,1.0330479196588527,0.0640231384814593,0.8236739286650525,0.0,0.0,,,0.0,,,100.0,0.8236739286650525,0.0640231384814593,50.0,0.8176418086079048,0.04762452219546194,42.5,0.8355960581354198,0.0795105043735117,7.5,0.7963293287139567,0.01592978108784949,0.0640231384814593,0.0027808947947968723,0.0511429853182005,0.001752002041302918,0.046010084445007086,0.0014070231800008214,0.039692868659702445,0.0010387943703100487,0.026070681917904563,0.00044160762772595997,0.01886388452565062,0.00022756425892466123,0.946990632480402,0.0,70.0,10.0,1.896934151649475,1.0,1.25,1.1502948999404907,0.0484308396532329,0.0027808947947968727,,
1,чужие хапаксы,0.7451831666424842,0.6786834773540416,0.7454529365305997,0.7480369129334189,0.7686984302043951,0.784331776597263,0.8170544131345835,0.839683071775492,1.1660817836181931,1.5642594273559847,1.4867200570109633,1.0521546541188886,0.08572493009912843,0.801171328217454,34.82587064676617,27.500000000000004,0.7777764913283621,0.029388129021353796,22.5,0.7839871919757306,0.031656601755548346,50.0,0.8217713498152299,0.10891741352249062,52.5,0.7878464532290947,0.03611285754627929,27.500000000000004,0.7942323050107313,0.05203622258175178,20.0,0.8456902819711403,0.1523374576742816,0.08572493009912845,0.004716991315240803,0.046162213412819245,0.0013360426254731485,0.04072355302265216,0.001032042194813606,0.0364498641303685,0.0008215534297526196,0.03356103723583272,0.0006910148348523951,0.026444120374302507,0.0004209670251469493,0.9265207991675805,0.0,50.0,10.0,2.493992567062378,2.0,1.25,1.432373046875,0.10660262675201303,0.004716991315240804,0.09097626971572428,0.004716991315240797
1,перемешивание,0.7628859231470922,0.6940360533061228,0.7647540343680178,0.7738210306807431,0.7861289195226593,0.8065553454290726,0.8262519767002465,0.8606193184321127,1.207136548095751,1.5784637855402908,1.4966568071699737,1.0546598111059313,0.09093188767958774,0.8232547631596965,0.0,0.0,,,0.0,,,100.0,0.8232547631596965,0.09093188767958774,60.0,0.8054984283667826,0.038155120416449535,25.0,0.8659922057040366,0.14367034678289953,15.0,0.8230510314241193,0.07164464075140817,0.09093188767958774,0.0056040360176070015,0.05319504137557589,0.0018722466766859147,0.044924683160514574,0.0013225001862488448,0.035492647997665924,0.0008177988425392379,0.029204727175391555,0.0005482181808475487,0.02296134614860149,0.000333451064254122,0.9739871758807546,0.0,60.0,10.0,2.8893637657165527,1.0,1.25,1.1362378597259521,0.11523854021254058,0.005604036017607,,
2,исходный,0.7597095025932149,0.6507893924863991,0.7607643262182081,0.7666005738301298,0.7876242258506859,0.8104916257210644,0.8516815180516257,0.9160897184209567,1.0052879318605699,1.3214183383938347,1.240343391538688,1.065364920237589,0.07016796801416184,0.8279783430107855,0.0,0.0,,,0.0,,,100.0,0.8279783430107855,0.07016796801416184,52.5,0.8341916808843168,0.07007217496782693,27.500000000000004,0.8275282524101786,0.08065666714525946,20.0,0.8122872056686001,0.04661967603644725,0.07016796801416184,0.003375326232642411,0.06234037964694473,0.002635083044706757,0.05473721787119003,0.002010762466037541,0.05097323274746286,0.0017311341415829752,0.042720564303718754,0.001198625798890993,0.03300068907044565,0.0006979330544048066,0.9509562414307939,0.0,90.0,10.0,2.6667091846466064,1.0,1.25,1.1713550090789795,0.020610153301628496,0.0033753262326424115,,
2,чужие хапаксы,0.7363578698708422,0.6377493070190507,0.7372217735949423,0.7405407257097999,0.7462682680084647,0.7853274605287239,0.8387446023287088,0.9201905562769237,1.0661554436691862,1.4461800802087712,1.357593484571893,1.0652526670491596,0.09907629506478696,0.810109656133611,16.417910447761194,2.5,,,15.0,0.7786490685492558,0.04181306655605666,82.5,0.8179787700399778,0.10389014923987364,37.5,0.802799948273414,0.09187685862448253,37.5,0.8391005472614118,0.11402274907339953,25.0,0.7775878812322053,0.04944655114102677,0.09907629506478696,0.006442095124171066,0.08696424540766746,0.004883162775225738,0.07402361684384076,0.00348310498778306,0.0656758517989503,0.002709033073331957,0.054095141271721076,0.001802966702635916,0.042310253205401535,0.0010699398790065253,0.986308220659577,0.0,60.0,10.0,2.5349338054656982,1.0,1.25,1.0831544399261475,0.0930800148315283,0.006442095124171066,,
2,перемешивание,0.75857079426749,0.6652903894121518,0.7596942184231502,0.7761267368749879,0.7798565885538231,0.8054948643497475,0.8764385755948719,0.9453364499670281,1.0934157965669626,1.4392840830571245,1.3574460185412174,1.060288264430474,0.09241106936447235,0.8404785287386822,0.0,0.0,,,0.0,,,100.0,0.8404785287386822,0.09241106936447235,42.5,0.8137350304178649,0.0621018433990297,35.0,0.8471210763302187,0.08809324900916064,22.5,0.8806611737578354,0.11518872774552921,0.09241106936447235,0.006032554277787204,0.08047704026271561,0.00450472992445143,0.07134946245020743,0.0034953208123474203,0.06709217496133642,0.0030629324719975105,0.05847405408234814,0.0022863556291864737,0.03919575235839318,0.000989774326702949,0.9997346316907022,0.0,20.0,10.0,2.6097412109375,2.0,1.25,1.1331193447113037,0.11317006639980229,0.006032554277787203,,
3,исходный,0.7544729130761507,0.669458023637005,0.7552739100035128,0.7596949739265466,0.770413514290813,0.8040204564642479,0.8514852764845051,0.9116331414157716,1.1030207496534359,1.4604248009153469,1.371881450011942,1.064541546868087,0.09807291278674748,0.8274535010656008,0.0,0.0,,,0.0,,,100.0,0.8274535010656008,0.09807291278674748,55.00000000000001,0.8157212290549739,0.06865850415899427,20.0,0.8166391189448403,0.05522175954368989,25.0,0.8619160051855884,0.1478071378139839,0.09807291278674751,0.0065854482904197,0.08407362112335581,0.004757269555084773,0.06619634366103028,0.002898151857184972,0.05996748046737674,0.0023547998639348454,0.05125504237296025,0.0016926859523407017,0.035145611280280556,0.0007706565160187206,1.0007495485467301,0.0,40.0,10.0,2.6813836097717285,1.0,1.25,1.1853028535842896,0.06013434709587615,0.006585448290419697,,
3,чужие хапаксы,0.7554287436088276,0.6702558187727006,0.7554893358386032,0.7616873344846782,0.7733372944477702,0.7971363289398946,0.8518589594286518,0.9256637508961923,1.1320163240713013,1.4983882238585777,1.420103792756204,1.055125851717103,0.0944809052330239,0.8269024609105242,26.368159203980102,15.0,0.7842760270904411,0.0248770767931829,22.5,0.7983894864733521,0.043639168659421905,62.5,0.847397475824726,0.10613429126096859,57.49999999999999,0.814130815712733,0.0557951618082784,20.0,0.8077748772575291,0.07864728014930117,22.5,0.8765434063297639,0.1400074928681457,0.0944809052330239,0.006103748915704419,0.07537916042360544,0.003812011524512268,0.06415879670951057,0.002724532059471108,0.05804001467038073,0.002208092026017853,0.046459686220030376,0.001390090490749786,0.03451204434867812,0.0007463977556843502,0.9977168051867247,0.0,30.0,10.0,2.2046265602111816,2.0,1.25,1.0641577243804932,0.11819199312227836,0.0061037489157044255,0.11763313771410432,0.006103748915704419
3,перемешивание,0.7645423856782309,0.6892143193446043,0.7654190911428994,0.7674693706634507,0.7734170062467165,0.7943385747562777,0.822820268242274,0.8974208589400217,1.1850113709394758,1.5481863264869113,1.4918215086093056,1.0377825480812042,0.0924217708898601,0.8191299945677715,0.0,0.0,,,0.0,,,100.0,0.8191299945677715,0.0924217708898601,65.0,0.8208785625963224,0.06548412650327388,15.0,0.7939204729093818,0.03811036503413121,20.0,0.8323542897187728,0.16081639122542163,0.09242177088986012,0.005731314355249591,0.05996467162316081,0.002357714090179652,0.053723693578025054,0.001875054452909455,0.046415540785561,0.0013865650516657658,0.035233102991729985,0.0007870034205770728,0.022593590841152623,0.00031653005533157014,0.9794443311576284,0.0,80.0,10.0,2.301055431365967,1.0,1.25,0.8819202184677124,0.023082272962660844,0.005731314355249593,,
4,исходный,0.747789306949282,0.6785108968466885,0.7480431386536471,0.7562048973358793,0.7680804311434374,0.7875300275192412,0.8160732039274441,0.8749456229154636,1.0493435104306357,1.402784754257995,1.3324488892647306,1.0527869140497217,0.07530389259886675,0.8060147572087321,0.0,0.0,,,0.0,,,100.0,0.8060147572087321,0.07530389259886675,65.0,0.790985576696263,0.05018864966673542,30.0,0.8138399007775187,0.0688748888525591,5.0,,,0.07530389259886675,0.0036840103290003818,0.05893077252930621,0.002221368065390895,0.05296632379795795,0.0017784146662033473,0.04716265525191882,0.001398168629724922,0.03728602046472628,0.0008614679382929146,0.02415495518492667,0.00035304814634608034,0.9378647267010336,0.0,60.0,10.0,2.6829917430877686,2.0,1.25,1.1215628385543823,,,,
4,чужие хапаксы,0.7389923601098287,0.6602520161918263,0.7423136161921954,0.7476074654789553,0.7569674335646229,0.7859066748490883,0.8129627668352695,0.8500446046326425,1.1104449570587094,1.495924273563641,1.4129476089154476,1.0587259316089468,0.07980690817130497,0.7982481277701019,25.870646766169152,12.5,0.7756844655145575,0.02801117837660965,30.0,0.7828747973473477,0.04550912027390408,57.49999999999999,0.8111741397853528,0.09462869440553644,47.5,0.8071108134725211,0.05006421171271821,45.0,0.775366132042977,0.04339508233750627,7.5,0.8794097593508637,0.185990606875853,0.07980690817130497,0.004058418127593734,0.05060545739440909,0.001599249092920334,0.044500340230180395,0.001226466683489862,0.04207308963356645,0.0010904508308057952,0.03799300562441089,0.0008805451811692526,0.025824299224008463,0.000397122689415342,0.9187189437699439,0.0,70.0,10.0,2.107666015625,2.0,1.25,1.1462820768356323,0.1889810896117049,0.00405841812759373,0.05682353649604315,0.004058418127593728
4,перемешивание,0.740525952141758,0.6733276855535565,0.7408406602620357,0.7482640120072767,0.7591781197422495,0.7811491495320206,0.8115501209545044,0.8451557898072779,1.1264326917801075,1.5204790344278456,1.4420199938192892,1.0544091211944655,0.08121323964711549,0.796249400661082,0.0,0.0,,,0.0,,,100.0,0.796249400661082,0.08121323964711549,52.5,0.785874613600299,0.042343026452292494,35.0,0.7904190559859422,0.05316991949684922,12.5,0.8561484714067624,0.16403209713224728,0.08121323964711549,0.004181690701731213,0.047864830296434326,0.0014218259469645283,0.04404439677653834,0.001195984003204517,0.04043335114991858,0.0010016537765199624,0.036187032890067874,0.0007946006412622017,0.026442506586287162,0.00041510721972288215,0.9171958114122731,0.0,50.0,10.0,2.2835097312927246,1.0,1.25,0.9151719212532043,0.12360882272176334,0.004181690701731213,,
5,исходный,0.7530382743575685,0.6860319680512619,0.7535038793524639,0.7635192319213582,0.7835896953387277,0.8057174319868914,0.836036303331061,0.9167564620695497,1.0073042916492687,1.336826948409227,1.2501954800273665,1.0692943381781896,0.07114054370271589,0.8217869047779857,0.0,0.0,,,0.0,,,100.0,0.8217869047779857,0.07114054370271589,67.5,0.8223950654398722,0.06385748284397817,22.5,0.8303878771447203,0.0952904381062598,10.0,0.7983296324850998,0.0344278169082329,0.07114054370271589,0.0034178483802269214,0.06241374465048497,0.0026003783299750334,0.05771448473736834,0.0022048091789666673,0.05199469569789884,0.0017736764803944296,0.04078554723239,0.0010737622638672972,0.02797537227152283,0.0004927850471167757,0.9502887268974061,0.0,80.0,10.0,1.9613265991210938,1.0,1.25,1.3182308673858643,0.02104212144664641,0.0034178483802269214,,
5,чужие хапаксы,0.7603447027253255,0.6592724254105673,0.7608317976970768,0.7671844850812696,0.7720015221720272,0.7965544109482277,0.8475065311737523,0.9085482389478896,1.0852492239182856,1.4263983540161853,1.3624294950879656,1.0469520508465575,0.0861654948714211,0.8227374996756573,32.33830845771145,15.0,0.8159304967002038,0.09463964665122529,25.0,0.8271160039107436,0.12103635531060453,60.0,0.8226148736549014,0.06304688268315872,40.0,0.8255131714968978,0.08318628151942123,30.0,0.8200052979364579,0.06803635107131892,30.0,0.8217688056532023,0.10420677284562171,0.0861654948714211,0.005025616654924178,0.07084704876032559,0.003342186566132944,0.06345440221416086,0.0026518099659315016,0.054230116875603515,0.001914911842259062,0.04391967338314496,0.0012359065352241171,0.034294531843656065,0.0007351240215932354,0.9787564011311259,40.0,60.0,10.0,2.4964041709899902,1.0,1.25,1.2964582443237305,0.0011148343266590176,0.005025616654924179,0.0023384474686120337,0.005025616654924179
5,перемешивание,0.7335826780379876,0.6728437733586534,0.7338307216510042,0.7396167113414982,0.7448008376569061,0.7656751727214206,0.8264867326526175,0.8864935970596547,1.1520497832269203,1.5699121735255084,1.5046194839153761,1.0433948186289768,0.10380113219358193,0.799250373326754,0.0,0.0,,,0.0,,,100.0,0.799250373326754,0.10380113219358193,57.49999999999999,0.7942618368498996,0.07363988604360727,32.5,0.8058957826219572,0.13277008759297393,10.0,0.8063368778592565,0.1336441162830141,0.10380113219358193,0.006882874909216496,0.07786710724018525,0.003786053854925383,0.0671346354717297,0.0027764508214884777,0.062481739068973544,0.0023834741463791167,0.05337081847529617,0.001709885639767524,0.03128503104531626,0.0005664601932422599,0.9705271513646142,0.0,70.0,20.0,4.142565727233887,1.0,2.5,1.1806894540786743,0.004893811296146986,0.006882874909216498,,
6,исходный,0.7749090211917197,0.6879169733577106,0.7760877916793549,0.778069314138568,0.7837364641604113,0.8132829778072073,0.8430170130018945,0.8921608839536067,1.0157364687189927,1.3087906801382208,1.2489336386427825,1.0479265187864464,0.06811843761540311,0.828435085801034,0.0,0.0,,,0.0,,,100.0,0.828435085801034,0.06811843761540311,35.0,0.8253881173335308,0.06543198016181491,52.5,0.8133174622997208,0.041805874656698674,12.5,0.9004606162155582,0.08800855324393947,0.06811843761540311,0.0031845371836751735,0.0587770347692667,0.0023435934811400915,0.05170039678705162,0.001795874513109252,0.04509917059531524,0.0013546046025608401,0.03941623759169142,0.0010228815121758324,0.02755673019914159,0.00048801093153475145,0.9476480679479643,0.0,30.0,10.0,2.9698967933654785,1.0,1.25,1.3754017353057861,0.2423252811928879,0.0031845371836751743,,
