mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,genre,text_idx
q0.5_range,0.0,4.818857509952228,0.17075626048998427,0.7924819320897676,3.1820003118499836,0.9997417696493073,0.007251078560428355,0.013353452422427026,0.007353404658111414,5,51,256,xsum,0
q0.5_range,0.05,5.306051953903359,0.24872172446808147,0.8115359576785981,3.1817750391774795,0.9996446201488165,0.008711338079106606,0.014801375735526534,0.008834271132969446,5,51,256,xsum,0
q0.5_range,0.1,5.829706043974831,0.3012300480181587,0.8284647643540228,3.163871554561755,0.9996567314454186,0.00874015475756608,0.014311868789155469,0.008863494467932552,5,51,256,xsum,0
q0.5_range,0.15,6.68482951869075,0.3562831562674089,0.8504075538195843,3.108295754864873,0.9997363779278036,0.007861922592273014,0.011781573689123803,0.007972868826333131,5,51,256,xsum,0
q0.5_range,0.2,7.8039387280356,0.4121159261828021,0.871859578239959,3.045704970227586,0.9998193104311467,0.006672765163392019,0.008827776721460623,0.006766930191978474,5,51,256,xsum,0
q0.5_range,0.25,9.093351023137325,0.41354066921147686,0.8900295394452961,2.9910879834555146,0.9999052864956592,0.004931561557710808,0.007341474215730948,0.005001154990671012,5,51,256,xsum,0
q0.5_range,0.3,10.295848368486306,0.3950837463366775,0.9028734724706304,2.957581311468954,0.9999488818600604,0.003675183533646758,0.006602368477879317,0.003727047154504411,5,51,256,xsum,0
q0.5_range,0.35,11.124035009961228,0.46816039861199094,0.9101045619593492,2.9478885969741118,0.9999481610592835,0.0037306467201514977,0.006328967973064259,0.00378329302890762,5,51,256,xsum,0
q0.5_range,0.4,11.498175844101457,0.5073439268054988,0.9130296828332993,2.95839331268856,0.999947007111363,0.0037840661371945374,0.005580540092435804,0.0038374662924910005,5,51,256,xsum,0
q0.5_range,0.45,11.699628206653616,0.4034552676660605,0.9145271984428277,2.977298178027822,0.9999688385967876,0.0029064671114463485,0.004861148178114227,0.002947482725203661,5,51,256,xsum,0
q0.5_range,0.5,12.418169276686324,0.2910916953885764,0.9194728322895884,2.9879961427856934,0.9999873565006907,0.0018613532801434402,0.003040983252042828,0.0018876204093683357,5,51,256,xsum,0
q_large,0.0,7.624247677057815,0.11180263280692714,0.8688395180275809,3.7385019291660004,0.9999852988328637,0.0018965844395690185,0.0029681441514384233,0.0019233487454595405,5,51,256,xsum,0
q_large,0.05,7.270366011246965,0.07713515844401253,0.8624553429011634,3.6934345533913904,0.999991411369035,0.0014389773909782603,0.0024181650899359752,0.0014592840170678635,5,51,256,xsum,0
q_large,0.1,7.064737634568295,0.07393712164607256,0.8584519267768806,3.638488296821465,0.9999910664032979,0.001460779307387817,0.002185842462883336,0.0014813935987453676,5,51,256,xsum,0
q_large,0.15,6.8664403584791565,0.08900601037167723,0.8543641322442813,3.5815300617890973,0.9999853532611241,0.001861530579520423,0.00297141806014789,0.0018878002107666685,5,51,256,xsum,0
q_large,0.2,6.646771965866353,0.11204378657958913,0.8495510294116645,3.5247003428892216,0.9999732660494394,0.0025008080763768903,0.0042605320772839406,0.0025360990926549996,5,51,256,xsum,0
q_large,0.25,6.405341378842856,0.12568264371821192,0.8438802960130982,3.4675403362793986,0.9999604702666045,0.0030206811840011996,0.005271277941749197,0.0030633085690622746,5,51,256,xsum,0
q_large,0.3,6.143779592360689,0.13514991101737264,0.8372337443154012,3.409645896680877,0.9999451353012878,0.0035306824158269374,0.006229092722367824,0.003580506859288549,5,51,256,xsum,0
q_large,0.35,5.854235749864251,0.14308738242940366,0.8291835104141154,3.3518081434267075,0.9999239483293241,0.0041169450330339405,0.00727847439462348,0.004175042723756124,5,51,256,xsum,0
