текст,условие,класс,длина,длина норм
0,исходный,служебные,17.80398456658614,0.5354093663318638
0,исходный,служебные,13.096475708494768,0.3938430599083784
0,исходный,пунктуация,16.23371247118671,0.48818744337287157
0,исходный,пунктуация,18.071812595974954,0.5434636103110514
0,исходный,смысловые редкие,12.50375375718632,0.3760184609724396
0,исходный,пунктуация,7.429979564718828,0.22343766002082022
0,исходный,пунктуация,9.32606194874975,0.28045749532511827
0,исходный,пунктуация,6.219552677019438,0.1870371626765088
0,исходный,пунктуация,7.410374563823602,0.22284808968801123
0,исходный,служебные,14.981158336481382,0.45052007666342453
0,исходный,служебные,13.596758505441237,0.4088877873567803
0,исходный,служебные,11.531035308093292,0.3467664378368077
0,исходный,смысловые редкие,14.144936441507436,0.4253728387950489
0,исходный,пунктуация,11.436309655867195,0.34391780576548303
0,исходный,пунктуация,7.699919979987941,0.23155542861054604
0,исходный,пунктуация,8.094523984858132,0.24342213627979875
0,исходный,пунктуация,8.704653553440876,0.26177022484803425
0,исходный,пунктуация,8.626763802904005,0.25942788952288687
0,исходный,пунктуация,6.697425873292329,0.20140797861642123
0,исходный,пунктуация,11.618974732582277,0.3494109914402522
0,исходный,пунктуация,15.697927291597392,0.4720750724358456
0,исходный,смысловые редкие,17.033484569846387,0.5122385467060503
0,исходный,подслова,9.097505230406712,0.2735842357308251
0,исходный,смысловые частые,12.99796833084301,0.39088070210300685
0,исходный,служебные,17.311500584422426,0.5205991683206987
0,исходный,пунктуация,6.276279154447362,0.18874306661168322
0,исходный,пунктуация,9.03914644509086,0.2718292443046643
0,исходный,пунктуация,9.51323215928187,0.2860861613937959
0,исходный,пунктуация,8.940139206343424,0.26885185445343296
0,исходный,пунктуация,6.7915526485635,0.20423860099279542
0,исходный,подслова,9.391167766845426,0.2824153865309186
0,исходный,служебные,9.995897532737136,0.3006010898237506
0,исходный,смысловые частые,12.645953579997881,0.38029475748007247
0,исходный,служебные,19.76676703246954,0.5944350362528656
0,исходный,служебные,6.381766514804058,0.19191532957076243
0,исходный,подслова,16.99978451979836,0.5112251037672472
0,исходный,служебные,12.132503122813082,0.3648540462788253
0,исходный,пунктуация,19.089474054033715,0.5740671796615993
0,исходный,пунктуация,7.216452193415616,0.21701636965537466
0,исходный,служебные,14.454982302632402,0.43469667624378944
0,исходный,подслова,9.87158445726002,0.2968626915613256
0,исходный,подслова,9.30606056044254,0.2798560046532257
0,исходный,подслова,13.431011538454468,0.40390337062501325
0,исходный,служебные,12.282872164775057,0.36937601118907837
0,исходный,пунктуация,10.494652634888332,0.31559987575275683
0,исходный,пунктуация,8.820397515883238,0.2652509289205545
0,исходный,пунктуация,11.242396161719544,0.33808635266370696
0,исходный,подслова,17.28670124589341,0.5198533915493467
0,исходный,смысловые редкие,14.806467351619244,0.4452666914361388
0,исходный,пунктуация,23.483819842273075,0.706215906544902
0,исходный,пунктуация,9.559377403116272,0.28747386175200534
0,исходный,пунктуация,6.613909207234572,0.19889642817753497
0,исходный,пунктуация,12.475246680047745,0.37516118343158045
0,исходный,пунктуация,6.47615206417524,0.19475373391731257
0,исходный,служебные,17.000865433433404,0.5112576094842811
0,исходный,служебные,6.701212785822174,0.20152186033937913
0,исходный,служебные,12.921741756442875,0.38858838255259454
0,исходный,служебные,12.451318595627173,0.3744416074024483
0,исходный,служебные,8.879458999113718,0.267027052191881
0,исходный,смысловые редкие,10.664883526204841,0.3207191350572686
0,исходный,смысловые редкие,10.901933349174524,0.3278478030827102
0,исходный,смысловые редкие,17.81615779949862,0.5357754452225472
0,исходный,пунктуация,16.297981275715962,0.49012016353330645
0,исходный,подслова,8.802190843280686,0.2647034097399639
0,исходный,служебные,6.926784244076273,0.20830534586053845
0,исходный,пунктуация,11.288955413906235,0.3394865032657776
0,исходный,пунктуация,6.771163452574192,0.20362544799528387
0,исходный,служебные,10.990304891912178,0.3305053515388988
0,исходный,служебные,13.144566840231038,0.395289277875643
0,исходный,пунктуация,11.905158526966654,0.3580172381729839
0,исходный,пунктуация,11.268344943589822,0.3388666960079898
0,исходный,служебные,8.066432937067873,0.24257736975909486
0,исходный,служебные,19.862179300525806,0.5973043165417378
0,исходный,пунктуация,15.672144428245339,0.47129971866725995
0,перемешивание,пунктуация,12.088127174382233,0.36612784558090117
0,перемешивание,пунктуация,11.532217293982406,0.34929032526764164
0,перемешивание,смысловые частые,11.125388602844518,0.3369682086934152
0,перемешивание,служебные,15.24032874989117,0.4616024178639968
0,перемешивание,смысловые редкие,16.758262771500604,0.5075779362423611
0,перемешивание,смысловые редкие,13.917111759699095,0.42152453161526715
0,перемешивание,смысловые частые,9.579843478877088,0.2901563991944652
0,перемешивание,служебные,11.737997181581335,0.35552303161028703
0,перемешивание,служебные,14.172196193296251,0.4292505848546867
0,перемешивание,смысловые редкие,14.348756465677669,0.4345982810866706
0,перемешивание,подслова,8.447066162247173,0.25584659152305306
0,перемешивание,смысловые редкие,13.878877443564217,0.42036648226719375
0,перемешивание,подслова,17.564744762316927,0.532004839561441
0,перемешивание,подслова,7.4828575651969595,0.2266424301806142
0,перемешивание,смысловые редкие,14.754170577974909,0.44687755258689515
0,перемешивание,подслова,14.283532486892335,0.43262276292009333
0,перемешивание,пунктуация,12.323353644168758,0.3732524364595492
0,перемешивание,смысловые редкие,17.990872664504106,0.5449114948703245
0,перемешивание,смысловые редкие,14.499296962437555,0.4391578846510823
0,перемешивание,пунктуация,11.061854596910486,0.33504387679500097
0,перемешивание,пунктуация,18.290730720592318,0.5539936614021524
0,перемешивание,пунктуация,8.755151685395367,0.26517795338065836
0,перемешивание,смысловые частые,12.800564915262909,0.3877063160433859
0,перемешивание,служебные,18.910483613277265,0.5727648728659223
0,перемешивание,подслова,19.735266195062156,0.5977460684957563
0,перемешивание,смысловые редкие,11.692679363081691,0.35415043558988246
0,перемешивание,пунктуация,19.293417544362775,0.5843632597099396
0,перемешивание,пунктуация,14.337736260301511,0.4342644986906033
0,перемешивание,смысловые редкие,15.564856518343902,0.47143178605153396
0,перемешивание,пунктуация,16.05798879273939,0.4863678844732531
0,перемешивание,пунктуация,16.491835242433268,0.4995083208409289
0,перемешивание,пунктуация,12.676007168760199,0.3839336837141947
0,перемешивание,пунктуация,16.802630356334706,0.5089217513772121
0,перемешивание,пунктуация,10.842087965038415,0.3283875368759097
0,перемешивание,смысловые редкие,16.076842447543417,0.4869389281026875
0,перемешивание,смысловые редкие,17.17087269851421,0.5200751561560409
0,перемешивание,смысловые редкие,18.245940072995534,0.5526370324496099
0,перемешивание,служебные,13.830537459734437,0.41890235024080996
0,перемешивание,служебные,14.871729279723873,0.45043819631439097
0,перемешивание,служебные,16.66527762576319,0.5047615817658782
0,перемешивание,служебные,15.720814306158697,0.4761554697148896
0,перемешивание,служебные,15.120529914904004,0.45797392448994406
0,перемешивание,служебные,15.222810635265436,0.46107182536823355
0,перемешивание,пунктуация,14.835627570889622,0.4493447398437075
0,перемешивание,пунктуация,11.524923691961455,0.3490694150508701
0,перемешивание,пунктуация,9.219488194400938,0.2792418793482022
0,перемешивание,пунктуация,12.54883602225824,0.38008189615296767
0,перемешивание,подслова,7.498201261132332,0.22710716340645018
0,перемешивание,пунктуация,12.248456438141892,0.3709839334659044
0,перемешивание,служебные,12.595907409558395,0.3815076046495852
0,перемешивание,пунктуация,14.336508089673117,0.4342272995893949
0,перемешивание,пунктуация,11.775641374873336,0.35666320718834016
0,перемешивание,пунктуация,22.261877884519926,0.6742726371805344
0,перемешивание,пунктуация,11.328521066643164,0.34312072928368104
0,перемешивание,смысловые редкие,14.080885639923666,0.42648495079882126
0,перемешивание,служебные,19.570050216453556,0.5927419707202382
0,перемешивание,пунктуация,9.72371719164203,0.29451407774387584
0,перемешивание,пунктуация,12.066495477577192,0.3654726600063919
0,перемешивание,служебные,11.049389443814029,0.334666329505648
0,перемешивание,пунктуация,10.756108836926845,0.3257833821970008
0,перемешивание,пунктуация,8.86540203166291,0.26851724003533795
0,перемешивание,смысловые редкие,13.594455453975451,0.41175184670109416
0,перемешивание,пунктуация,11.83302250194639,0.3584011793430991
0,перемешивание,служебные,17.536079622680738,0.5311366235287278
0,перемешивание,подслова,14.517787907339661,0.4397179424435012
0,перемешивание,служебные,14.510436973533205,0.43949529574904306
0,перемешивание,пунктуация,14.900562015267573,0.45131148852868785
0,перемешивание,пунктуация,6.365313722669283,0.1927940173119954
0,перемешивание,пунктуация,7.282295490966104,0.22056776211300821
0,перемешивание,служебные,17.325397270496175,0.5247554302640902
0,перемешивание,служебные,12.060081219533208,0.3652783835527473
0,перемешивание,подслова,9.572908563416835,0.28994635295486826
0,перемешивание,служебные,20.537143628984786,0.622033507986319
0,перемешивание,служебные,17.345839184024424,0.525374579421911
0,чужие хапаксы,пунктуация,12.254326630284856,0.37730025949700857
0,чужие хапаксы,пунктуация,9.683400697184922,0.2981436439626268
0,чужие хапаксы,служебные,12.250098430245915,0.3771700768260199
0,чужие хапаксы,смысловые редкие,12.62391160030663,0.3886794653320148
0,чужие хапаксы,смысловые редкие,13.681976740651242,0.42125638808435706
0,чужие хапаксы,смысловые редкие,12.054597331980412,0.3711507648447944
0,чужие хапаксы,смысловые редкие,13.590205125359647,0.4184308183644831
0,чужие хапаксы,пунктуация,23.22319378656487,0.7150223187593102
0,чужие хапаксы,подслова,7.303563351817498,0.2248704829756548
0,чужие хапаксы,служебные,19.041125315645427,0.586259999382853
0,чужие хапаксы,смысловые частые,17.67650989080449,0.5442446549710533
0,чужие хапаксы,пунктуация,15.607587059784967,0.4805442865563748
0,чужие хапаксы,пунктуация,12.42938471857514,0.38269014864650636
0,чужие хапаксы,смысловые редкие,10.912043751531714,0.3359725151213733
0,чужие хапаксы,смысловые редкие,16.274138782001355,0.5010668452695479
0,чужие хапаксы,пунктуация,5.148401133116202,0.15851487740818299
0,чужие хапаксы,служебные,14.699158912893395,0.4525745591370389
0,чужие хапаксы,пунктуация,13.111340046112877,0.40368697122258085
0,чужие хапаксы,служебные,12.459015941395021,0.38360246871079495
0,чужие хапаксы,служебные,11.060299342431518,0.3405371782486102
0,чужие хапаксы,служебные,12.605271685928837,0.38810555827502785
0,чужие хапаксы,смысловые редкие,13.591909699581601,0.41848330075014806
0,чужие хапаксы,пунктуация,12.680542545134907,0.39042308379624474
0,чужие хапаксы,подслова,14.585670635156486,0.4490803519127772
0,чужие хапаксы,подслова,10.49550474990129,0.3231476347222019
0,чужие хапаксы,смысловые редкие,7.578222855674908,0.23332701471380965
0,чужие хапаксы,служебные,12.740442349943967,0.3922673476697427
0,чужие хапаксы,подслова,7.900524282346252,0.24325040059931607
0,чужие хапаксы,смысловые редкие,9.330579522664088,0.28728058108540894
0,чужие хапаксы,служебные,16.576369468176416,0.5103722701829002
0,чужие хапаксы,служебные,16.457025371308532,0.506697767284764
0,чужие хапаксы,пунктуация,16.714746113745154,0.5146327690137688
0,чужие хапаксы,смысловые частые,9.07026826532983,0.2792658196133683
0,чужие хапаксы,смысловые частые,5.833262599749017,0.17960117752698895
0,чужие хапаксы,пунктуация,13.750662923074973,0.4233711770265978
0,чужие хапаксы,смысловые редкие,11.207406211954478,0.34506647322493605
0,чужие хапаксы,смысловые частые,13.703281148813462,0.4219123326311729
0,чужие хапаксы,подслова,15.926709801147865,0.4903698034338223
0,чужие хапаксы,служебные,14.04985216859843,0.4325829585777552
