текст,зерно,исходный: крупный,исходный: мелкий,исходный: средний,маркер: крупный,маркер: мелкий,маркер: средний,маркер без маркера: крупный,маркер без маркера: мелкий,маркер без маркера: средний
0,0,17.975893907491084,2.8274521918088067,12.649618075072961,18.152051055222675,5.058788512128636,10.467518472402972,16.971353230972944,3.256540876716952,12.131809084409626
0,1,17.945157675068575,2.922328165008074,12.478576965712506,19.58006394281423,4.608431626576531,10.872904893021078,17.66098029622471,3.206135520172127,11.997194432607753
0,2,17.870264921930556,2.898743432225826,12.841493757731996,18.04615396230111,5.147477949441815,10.531457848973304,18.78242255080991,3.0678483372979466,12.790186055277676
1,0,16.8426994613081,3.557326456398705,15.647889550495643,17.019591617311605,6.033441432356249,14.661053114965682,17.04652825085181,3.9351932592792878,16.928001587908206
1,1,16.476300078533928,3.3189803744867272,14.809512057469405,16.714413320667077,5.586387643284053,14.262066757368183,16.869136779606904,4.1986845225868645,17.478393222160573
1,2,17.329746521323937,3.565264557937422,15.319313491071114,17.261142087103956,6.239212220356727,14.503470193714957,17.120848134286266,3.8345467982758925,17.85051287896229
2,0,17.384110694509836,2.775888734222047,11.690729775395926,14.65083535803875,4.779838500096064,9.63773192324669,14.138825292094984,2.9850131287978856,10.277954928117637
2,1,16.91520719009123,2.6915447034812097,12.714480128365935,14.388643041701235,4.521401673355363,9.381627637864472,14.230830850141277,3.0917782816613975,10.74647353057006
2,2,18.727178736274723,2.665611654465334,12.53191686659674,15.213328027290665,4.587885452812851,9.184879432667126,13.138850322040714,2.9554003410585516,10.15043088547804
3,0,15.944993759414546,3.766818303008519,14.902520481172852,15.796144784011197,5.83530435751524,11.817571353304663,15.325448887053739,4.1305356857157385,14.273794901378755
3,1,16.58161378126999,3.695561955571734,14.731263099894534,15.886682667190264,6.547755676731813,12.207366911115788,15.063375189007477,3.8719196598070007,13.193287814525501
3,2,16.363471598879258,3.828691517895589,15.236308482326558,16.613535469106335,6.596391427352089,12.181619997439125,16.795682141176584,4.089341015591005,14.554996193300562
4,0,16.768114139840442,2.92756661752296,15.204157057531699,16.88194426062482,4.829602146862743,11.52438479016181,17.899916591127255,3.2465450899827615,14.313807490986278
4,1,15.444103872475548,2.9566552626904974,14.638307315658817,17.786536373329817,5.38321908810176,12.286550146715888,19.0547659062753,3.2575212407794076,14.587274788255893
4,2,15.249088930093954,2.8453781858532183,14.114877600371804,17.962672287721826,4.939863377522047,11.64292380202352,18.78979937677322,3.497330391249421,14.702993958320212
5,0,16.979414727459023,3.0570245433846504,14.045195889927095,15.47673883903041,5.979929419271085,11.107164203334074,16.66505837397129,3.454814404531143,14.29659647569503
5,1,17.325882244612618,3.2603448082751214,14.618317887311571,15.745723397705746,5.87381822073401,11.342574630657884,17.05312835014709,3.8390753022659085,14.57595901452496
5,2,19.36878010218842,3.404775589289847,16.182267999112636,18.454661022904673,5.834917110045347,12.054471660670739,15.901456111683014,3.3479554388549255,14.234349150934126
6,0,18.188337431643774,4.553733748328306,15.434080971460407,15.872245528193824,5.680213717136302,11.394758976850017,16.794665459574748,4.3779187438430816,15.317800379234177
