perturbation,PC1,PC2,PC3,|v|
context_locked,-61.1,-14.1,9.3,63.4
syntax_complex,30.1,0.8,-16.2,34.2
syntax_monotone,-79.4,34.3,17.5,88.2
syntax_simple,-60.2,8.0,-0.4,60.8
syntax_varied,35.6,-5.5,-8.8,37.1
terms_long,-41.4,-5.0,-1.2,41.7
