,сток-сток,сток-прочее,куски одного слова,= пунктуация,= служебное,= смысловое частое,= смысловое редкое,= подслово,≠ пунктуация,≠ служебные,≠ смысловые,≠ подслова,≠ смешанные
10% самых коротких,18.111,0.0,0.417,35.639,22.917,6.236,9.903,6.75,0.0,0.0,0.0,0.014,0.014
20% самых коротких,9.111,0.0,0.319,31.208,35.597,6.771,10.59,6.042,0.0,0.083,0.16,0.104,0.014
30% самых коротких,6.116,0.005,0.278,25.741,42.037,7.014,10.301,5.333,0.139,1.231,1.204,0.37,0.231
50% самых коротких,3.672,0.019,0.603,17.142,34.033,5.428,7.458,3.656,1.422,7.55,13.667,1.922,3.428
50% самых длинных,0.0,1.0,2.336,0.514,1.092,0.211,0.058,0.044,5.853,22.553,39.381,5.864,21.094
30% самых длинных,0.0,1.648,3.005,0.458,0.542,0.13,0.046,0.019,6.856,21.866,34.972,6.801,23.657
20% самых длинных,0.0,2.472,3.396,0.521,0.431,0.125,0.042,0.021,7.632,20.958,31.778,7.604,25.021
10% самых длинных,0.0,4.917,4.264,0.583,0.403,0.125,0.028,0.028,8.931,18.792,27.028,9.167,25.736
