текст,seed,сырой: крупный,сырой: мелкий,сырой: средний,нормированный: крупный,нормированный: мелкий,нормированный: средний,без стоков: крупный,без стоков: мелкий,без стоков: средний,без стоков + норм.: крупный,без стоков + норм.: мелкий,без стоков + норм.: средний
0,0,17.512760065365523,2.729386767614684,12.402410237072008,15.151683631559946,2.723025572946878,12.370407459505865,19.720064701278897,3.337266904513999,13.007332576812596,18.9931667864698,3.3611135031428634,13.217206273123171
0,1,17.431738993790347,3.272023439567911,13.056561327920525,16.15091277206977,3.3196395018952187,13.415239536468121,19.699037585646668,3.2635847142522545,12.918683303320488,19.091622115345533,3.285058347926404,13.092415721437522
0,2,18.67350355254977,3.1173905312463233,12.94223460925556,17.17292752506077,3.146380962361846,13.431946598198127,17.748104748630755,3.1987516634093702,12.259310916783196,16.84646860399006,3.2024415288395818,12.50260677530482
0,3,17.553847910705386,3.0457910961427297,12.269576096618014,15.449254539969498,3.096259811961474,12.506704502374438,18.366085716377956,3.0308122613934367,12.484206600144212,18.097194001139172,3.035413535151753,12.649436927165505
0,4,17.33612545574093,2.999917691111053,11.856510218447529,15.44980979249852,3.071878835131425,12.166225676531704,20.7176625250012,3.09689726401486,13.68116345197829,19.71132310857854,3.096084498398689,13.873691607056406
0,5,17.484927072388004,3.153962262828324,12.502681099657018,15.706317440487469,3.1690831261298578,12.602904980166267,20.187641559294125,3.586834150406048,12.985551133883698,19.644829824690362,3.645633205337405,13.234327533118693
1,0,16.174062838822294,3.2729473542330747,14.764146745205064,14.673278636503028,3.236701477732658,15.424070871780776,17.896912007861452,3.8833243522675005,14.987857029081487,18.94242647825537,3.7677014637375206,15.871163528498546
1,1,16.28316917204658,3.636179850433753,14.633607786817288,14.931243853353541,3.5710736647760055,15.260024985499815,18.918717034832397,3.9299157101189564,15.578692039996673,19.982178190079328,3.814406546008175,16.21453540051524
1,2,16.29910337365824,3.336707255600301,14.552656402165166,15.262800658230162,3.287855613808216,14.969849269444817,18.19516466453483,4.099333980246426,15.440891502755846,19.09201467613331,4.025045261287442,16.307819215212184
1,3,16.43427166560535,3.9080990197929126,14.607468696288795,15.27829348229296,3.91006950776091,15.174472030154169,19.155521895508755,3.9977743942216373,15.94472031306584,19.972945824454676,3.8955536745421466,16.398919554623955
1,4,16.780133598486973,3.567555808943388,15.360684841211773,15.50796564903551,3.5447400160263194,15.797748983819417,18.347418630436167,3.9505213164286594,15.677450364149957,19.475003187724923,3.832701793857639,16.652049791841232
1,5,18.632160418248727,3.499725588661186,16.27467510332503,17.962683820250206,3.4537282021081106,16.823520958202753,18.57585279339197,3.784713846941244,15.439126154648292,19.16257256532013,3.678143004998344,16.02627952606456
2,0,21.25835933997506,2.774721080599142,12.710415698275629,20.512274737464217,2.8223841042789717,12.205579014140442,19.959001420426393,3.2438008662927316,12.537367921736367,19.575581395260034,3.257074840732724,12.007778709338567
2,1,17.431217586006067,3.074200091358573,12.418557661707965,16.737728046614592,3.1427385286226395,12.18784306739355,19.198041281705965,3.2003138752229305,13.411046023640477,19.98048001707508,3.199133936581792,13.141045086841995
2,2,16.914217057563885,2.6620593491349736,11.922137694452028,15.652170356269128,2.6687362069162384,11.226483903263835,16.37521951486422,2.9817153114860284,12.244094093661355,16.80298072875691,2.9887737534027843,11.85923725687751
2,3,17.827533408194434,2.777421258418205,12.573629251243691,16.276768577139777,2.811695815838784,11.950629982871165,17.922316451313446,3.2092533419387137,12.572415752744572,18.68423668268443,3.2086514129040786,12.14784288304418
