,сток-сток,сток-прочее,куски одного слова,= пунктуация,= служебное,= смысловое частое,= смысловое редкое,= подслово,≠ пунктуация,≠ служебные,≠ смысловые,≠ подслова,≠ смешанные
крупный,0.0,1.65,2.823,0.486,0.711,0.153,0.049,0.029,6.639,21.969,35.916,6.651,22.924
мелкий,7.309,0.007,0.339,26.415,38.487,6.708,9.935,5.332,0.226,1.819,2.424,0.501,0.499
средний,0.001,0.221,1.829,1.017,4.178,0.642,0.508,0.213,4.991,22.332,40.994,5.108,17.968
