mode,q,mean_d,sd_within,sd_between,snr,cv_between,resid_rmse,d_se,n_texts
q0.5_range,0.0,4.986917793368463,0.5948494816566787,0.9015477165211853,1.5155896480069886,0.1807825502397596,0.016701342369583903,0.41679546737847506,40
q0.5_range,0.1,6.240288360001023,0.7086528990291194,1.1712358226368407,1.6527637497023957,0.18768937508468736,0.013433810770689482,0.5178183298612702,40
q0.5_range,0.2,8.346891018565486,0.9770125578525729,1.7267732920204752,1.7674013277944356,0.20687622351600346,0.011449813036498894,0.782700192993777,40
q0.5_range,0.3,12.043431842891634,1.4421199832562706,2.6549140489452188,1.8409800015047915,0.2204449764468275,0.008434029587296,1.1523349526036368,40
q0.5_range,0.4,16.11393093080266,1.7173541323742103,3.2178862111848736,1.8737464513135713,0.1996959168438353,0.0051958379128780674,1.27845210883218,40
q0.5_range,0.5,18.453762983318033,2.081120929345238,3.0059881524139556,1.4444082081091267,0.16289296416841004,0.003976440490112463,1.3684653391575974,40
q_large,0.0,8.897165999162542,0.8649094000444386,1.322618872076299,1.5291993265518256,0.14865619818724213,0.007429339849628019,0.5966279669168008,40
q_large,0.1,8.203151304715888,0.8166795082007412,1.2869675312637123,1.575853830469043,0.15688696739311037,0.00844589185342276,0.5750774609916837,40
q_large,0.2,7.466231533070199,0.7763234333497432,1.2187574157480707,1.5699093488512612,0.16323595248149286,0.009694148903150367,0.5464969771508799,40
q_large,0.3,6.672297071202525,0.7224413636421022,1.1351186623508431,1.5712260115177754,0.17012411921075699,0.011336385039699925,0.5087013967442618,40
q_large,0.4,5.839641536114404,0.6623430730709667,1.0348034999481792,1.5623376193100236,0.17720325700620307,0.013593752804626436,0.46547026223618426,40
q_large,0.5,4.986917793368463,0.5948494816566787,0.9015477165211853,1.5155896480069886,0.1807825502397596,0.016701342369583903,0.41679546737847506,40
q_large,0.6,4.188103363217317,0.5165843310943831,0.715360394557154,1.3847891844525444,0.17080772190102095,0.020723142226888216,0.366839086783954,40
q_large,0.7,3.6763925997034965,0.4842046694798664,0.5371144062601845,1.1092714302758662,0.14609821766682457,0.025640546563043414,0.34868116379561526,40
q_large,0.8,3.6090454564313217,0.6249637146997596,0.5579657365164244,0.8927970110784402,0.15460202517597252,0.03241387788613312,0.4242635726942134,40
q_large,0.9,3.6727583710834697,1.008624261381938,0.6692939173843151,0.6635711067145073,0.18223194933100711,0.04661455576832704,0.6471743357335726,40
q_small,0.0,8.897165999162542,0.8649094000444386,1.322618872076299,1.5291993265518256,0.14865619818724213,0.007429339849628019,0.5966279669168008,40
q_small,0.1,9.566946539258817,0.9343682596925914,1.5052930220832708,1.611027564847413,0.15734309958837617,0.0071862577477151725,0.6616121250558389,40
q_small,0.2,11.031846236805201,1.1386900954832324,1.9694204046647075,1.7295490779068674,0.1785213791408905,0.007154619432835674,0.8689982642649677,40
q_small,0.3,13.716075207439648,1.5032556596423938,2.681652080162321,1.7838962141677572,0.19551161973126127,0.0062520523250667965,1.1452532731560576,40
q_small,0.4,16.61883186573359,1.7879194254224264,3.0650804941487135,1.7143280902742783,0.1844341719629892,0.004683694552840697,1.2628644941343898,40
q_small,0.5,18.453762983318033,2.081120929345238,3.0059881524139556,1.4444082081091267,0.16289296416841004,0.003976440490112463,1.3684653391575974,40
q_small,0.6,19.503135358708036,2.3994992816799368,2.928529174508351,1.2204751203167812,0.15015683994628995,0.0038307201213516858,1.5043896564012254,40
q_small,0.7,20.074350138065984,2.7379555535162083,3.033378103884549,1.1078989576689604,0.1511071632716272,0.003970910313224462,1.6620210607363253,40
q_small,0.8,20.321564404755183,3.2186534594355165,3.4766952406314924,1.0801707249469568,0.17108403523391913,0.004401125916910594,1.8874460211333701,40
q_small,0.9,20.69937983047521,4.512205634679234,4.457029533172505,0.9877718113991381,0.21532188740314456,0.005481562316895391,2.46498351901989,40
