набор,текст,условие,крупный,мелкий,средний,типов
механические,0,исходный,26.347983564868056,15.116103023093634,23.79250682601305,124.0
механические,0,перемешивание,27.64998039627135,20.79883575116097,27.347029968361213,119.66666666666667
механические,0,эхо на четверти,26.066694657005144,18.328377290986115,23.60361756318984,117.0
механические,0,словарь к 60,24.637721760659108,15.86477610687101,23.844473347808496,101.0
механические,0,все слова разные,22.46740499205499,22.382939054084602,24.224534402754326,139.0
механические,0,чужие хапаксы,22.051234314988903,23.35476929173771,25.968606426304678,125.0
механические,0,хапаксы одного домена,22.22634018396081,24.04813720880344,30.278174561665566,123.0
механические,0,20 чужих хапаксов,25.0924642680077,18.138481511772422,24.802476597102356,120.0
механические,0,маркер каждые 3,42.429688346739844,19.54279849492993,28.667871210592846,108.0
механические,0,без пунктуации,47.032786900847206,18.228874663984627,33.442395551266934,118.33333333333333
механические,0,без служебных,24.154249461185383,15.922952908230139,23.745368042814444,122.0
механические,1,исходный,29.284670100211724,21.731689596071277,26.133901618672496,130.66666666666666
механические,1,перемешивание,32.88163652072411,23.009837567351088,30.126598814610933,137.0
механические,1,эхо x2,36.72178252049029,25.578099488969247,32.053679496430455,105.66666666666667
механические,1,эхо на четверти,25.095954405077805,21.18407409359668,28.194760875212165,122.33333333333333
механические,1,словарь к 60,27.47755674307585,21.517146327296263,28.03925260757288,110.66666666666667
механические,1,все слова разные,26.828847037761104,27.20275450982111,29.18212485137761,144.66666666666666
механические,1,чужие хапаксы,28.304806505944423,21.14657904899939,25.51608967980722,139.66666666666666
механические,1,хапаксы одного домена,26.313222431565837,22.505717833576426,27.950089391815865,138.66666666666666
механические,1,20 чужих хапаксов,25.302136507644178,21.08351136475314,24.37501668872228,133.66666666666666
механические,1,маркер каждые 3,33.26351300815148,21.785907253306604,33.99690413341825,117.33333333333333
механические,1,без пунктуации,38.16979808006824,18.12505609879913,32.02479085021338,138.0
механические,1,без служебных,27.18327901486084,20.082123217963396,26.333800617319767,144.66666666666666
механические,2,исходный,28.616553063616568,16.150553486434095,25.68973553436376,122.33333333333333
механические,2,перемешивание,35.52309311842308,23.245931374423805,33.769116422181746,123.33333333333333
механические,2,эхо x2,28.27673018850155,15.040949178280206,27.784543956946948,101.0
механические,2,эхо на четверти,34.128100561339686,18.51811777009694,27.550934440661763,115.66666666666667
механические,2,словарь к 60,28.99462256769781,22.004312045846152,22.75924821703046,107.0
механические,2,все слова разные,28.667817751105915,32.22736460378281,32.5170446813813,163.66666666666666
механические,2,чужие хапаксы,29.096020705068867,22.941074592546062,24.446894191774387,121.33333333333333
механические,2,хапаксы одного домена,31.34904655108133,24.741416849183565,27.113072070355457,121.0
механические,2,20 чужих хапаксов,31.822633285893364,17.39388417916173,27.25054003466722,125.33333333333333
механические,2,маркер каждые 3,29.419201579429913,22.694663578983874,30.0154567339311,108.66666666666667
механические,2,без пунктуации,29.386584413184718,16.56969165058013,26.895986566697236,118.0
механические,2,без служебных,29.922158082447634,18.275388576667243,24.6745433414584,126.33333333333333
механические,3,исходный,29.409107919613877,14.458594266769081,26.832078662521173,135.0
механические,3,перемешивание,40.82978740863112,20.641470892071588,34.66484321588649,137.0
механические,3,эхо x2,42.84346578606138,17.81649499501727,34.483612288795435,108.33333333333333
механические,3,эхо на четверти,31.2680385539051,14.436334710359121,27.169865275008835,130.33333333333334
механические,3,словарь к 60,25.858653920808752,19.12054356608764,26.223022340025864,104.0
механические,3,все слова разные,32.310489195495784,24.25465868269411,32.992140011584645,159.33333333333334
механические,3,чужие хапаксы,28.705118506775147,19.038647966944698,33.759997873708976,131.33333333333334
механические,3,хапаксы одного домена,25.89245834174334,22.303709248486538,31.75504543252971,139.33333333333334
механические,3,20 чужих хапаксов,31.01601277157458,16.519344485893814,29.554412058745186,138.33333333333334
механические,3,маркер каждые 3,80.1800870631851,19.560639390551504,46.850616576767585,110.33333333333333
механические,3,без пунктуации,40.758338496719766,16.82485264473072,33.87274454553262,135.33333333333334
механические,3,без служебных,28.499234023262105,16.93101773974152,29.952738193761746,142.0
механические,4,исходный,26.747209108255063,17.391774332717322,24.13389108154638,131.0
механические,4,перемешивание,23.218526473195766,18.952204970569664,24.006603424444986,131.33333333333334
механические,4,эхо x2,22.994974908107878,18.630414380697896,24.179038308832542,105.33333333333333
механические,4,эхо на четверти,23.79783242869792,19.769291080857567,23.876054539387336,116.66666666666667
механические,4,словарь к 60,26.44133663507257,17.63123824017912,25.152937743954695,107.33333333333333
механические,4,все слова разные,30.623857206881254,26.56266332404441,32.079265310694105,149.33333333333334
механические,4,чужие хапаксы,23.91575717269289,25.199748472140687,27.841787110245832,127.33333333333333
механические,4,хапаксы одного домена,21.92699737195331,26.7569464692247,26.359300383997795,129.0
механические,4,20 чужих хапаксов,23.341398134919114,24.065495609565062,25.611471544649902,132.0
механические,4,маркер каждые 3,32.879711069685975,19.324952010939338,27.10685255750624,113.33333333333333
механические,4,без пунктуации,37.7661678620178,22.663885098170507,33.397717523471115,134.66666666666666
механические,4,без служебных,27.306699009899877,21.218947317233084,24.34585660900089,137.66666666666666
механические,5,исходный,27.485716917503108,14.97223839956524,24.41176037133305,123.0
механические,5,перемешивание,28.48808363431215,19.160358115817786,26.918113747199314,130.0
механические,5,эхо x2,41.174510677683955,18.450026966475715,30.232802305817373,107.66666666666667
механические,5,эхо на четверти,33.3557150396846,18.594103562384003,29.803799888042562,116.0
механические,5,все слова разные,25.997911996875715,25.1721241677765,32.79553760103138,141.0
механические,5,чужие хапаксы,25.416296708234977,26.625961409104107,31.217154127413295,127.0
механические,5,хапаксы одного домена,23.070469212241353,24.724856550609758,30.061421421480983,128.33333333333334
механические,5,20 чужих хапаксов,27.28568502889787,19.000468696251993,30.075311062808623,124.0
механические,5,маркер каждые 3,44.583141351049754,18.238508734290242,35.39031532349649,106.66666666666667
механические,5,без пунктуации,37.20468278269604,17.952412636451097,30.582781515869744,132.0
механические,5,без служебных,21.17342634285724,16.052581961942412,25.55217822544579,140.0
механические,6,исходный,38.86833533602104,18.1414361693582,33.604142887009836,133.0
механические,6,перемешивание,39.65577070057912,26.507583088363777,36.881430477721715,131.33333333333334
механические,6,эхо x2,64.54830712907084,23.26782496749911,44.709144583836384,116.33333333333333
механические,6,эхо на четверти,32.906612998392305,19.054126060411374,33.0058178347679,126.0
