genre,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
academic_abstracts,7.46 ± 1.02,6.82 ± 0.98,6.19 ± 0.92,5.53 ± 0.85,4.84 ± 0.78,4.11 ± 0.69,3.41 ± 0.56,2.93 ± 0.43,2.82 ± 0.44,2.82 ± 0.47
amazon_reviews,8.40 ± 0.74,7.78 ± 0.74,7.12 ± 0.71,6.41 ± 0.67,5.66 ± 0.63,4.87 ± 0.57,4.06 ± 0.48,3.44 ± 0.35,3.28 ± 0.34,3.31 ± 0.46
writingprompts,8.14 ± 1.05,7.64 ± 1.01,7.05 ± 0.97,6.38 ± 0.92,5.64 ± 0.86,4.85 ± 0.78,4.04 ± 0.65,3.44 ± 0.47,3.29 ± 0.44,3.29 ± 0.55
xsum,9.07 ± 1.06,8.45 ± 1.02,7.79 ± 0.98,7.07 ± 0.93,6.28 ± 0.87,5.43 ± 0.79,4.53 ± 0.69,3.75 ± 0.53,3.42 ± 0.46,3.38 ± 0.56
