mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,L,config,text
q0.5_range,0.0,8.479310904125697,0.9003594750212149,0.8820658882181759,2.856060289224947,0.9993957087282855,0.012486290422480194,0.023637886145243314,0.01252260899164718,5,25,128,128,legacy,xsum_9
q0.5_range,0.3,25.20535070862065,3.861912830509085,0.9603258843108268,2.7155781394825533,0.9998798107183284,0.006061157779943439,0.008707722807144158,0.006078787722113177,5,25,128,128,legacy,xsum_9
q_large,0.0,13.756847845267487,1.5490904535493109,0.9273089292512593,3.506008211928963,0.9997663053948835,0.008161641633818943,0.014471657248187775,0.00818538120227078,5,25,128,128,legacy,xsum_9
q_large,0.3,10.939451595280925,1.1628295664348234,0.9085877394044706,3.141621355380502,0.9996570044768874,0.009688656875568347,0.017470685248735407,0.009716838036102383,5,25,128,128,legacy,xsum_9
q_large,0.6,7.007300573248133,0.7776796823509012,0.8572916932066945,2.6922386305096544,0.9989771355363686,0.01579202675941578,0.030267381552897987,0.015837960643439185,5,25,128,128,legacy,xsum_9
q_large,0.9,2.9928999582043345,0.3684844329183881,0.6658759016455815,1.7464015218510545,0.9886796528487196,0.04101789383584708,0.07987899828308187,0.04113720158570361,5,25,128,128,legacy,xsum_9
q_small,0.0,13.756847845267487,1.5490904535493109,0.9273089292512593,3.506008211928963,0.9997663053948835,0.008161641633818943,0.014471657248187775,0.00818538120227078,5,25,128,128,legacy,xsum_9
q_small,0.3,25.74954679951877,3.50952811423767,0.9611643650357882,3.0994511535481686,0.9999090284666036,0.005277742025169777,0.007281726169524383,0.005293093264993699,5,25,128,128,legacy,xsum_9
q_small,0.6,26.00750404903789,4.152671736838365,0.9615495589997998,2.595164361886147,0.9998777115891635,0.006121655197896614,0.009311432934180353,0.006139461107434083,5,25,128,128,legacy,xsum_9
q_small,0.9,27.00428449066892,2.587598828510959,0.9629688392467669,1.3072079526188431,0.9999592673852605,0.0035381008540102898,0.004667491043059968,0.0035483920418842158,5,25,128,128,legacy,xsum_9
q0.5_range,0.0,7.341559973025662,0.9663290298432698,0.8637891669244415,2.907552989348268,0.9987092519690296,0.017876682898267448,0.0274462564056579,0.01792868037088334,5,25,128,128,legacy,xsum_9
q0.5_range,0.3,24.43149935675645,3.587818373324924,0.9590692333123856,2.7117666513378658,0.9998821768631005,0.005993338687331795,0.009421134388285068,0.006010771365756857,5,25,128,128,legacy,xsum_9
q_large,0.0,12.850515586078199,1.7918126171388202,0.9221821106475008,3.5151904093363733,0.9995848447815033,0.010819074136821231,0.016597325977935284,0.010850543314540615,5,25,128,128,legacy,xsum_9
q_large,0.3,9.808368886607152,1.3427749193917475,0.8980462489165297,3.1666188104051094,0.9992758500290029,0.01391708406509814,0.020970246012261384,0.01395756434892295,5,25,128,128,legacy,xsum_9
q_large,0.6,6.043696246306427,0.8362590871043037,0.8345383422253981,2.756186936358773,0.9977472117467374,0.022828333276974328,0.03543262976247519,0.022894733494575714,5,25,128,128,legacy,xsum_9
q_large,0.9,2.80778406756686,0.38122218471376323,0.6438472560795712,1.785673397367413,0.9833593864741941,0.048215798887093986,0.07776363683095511,0.04835604300825183,5,25,128,128,legacy,xsum_9
q_small,0.0,12.850515586078199,1.7918126171388202,0.9221821106475008,3.5151904093363733,0.9995848447815033,0.010819074136821231,0.016597325977935284,0.010850543314540615,5,25,128,128,legacy,xsum_9
q_small,0.3,26.06063730051875,3.931941257311797,0.9616279529748839,3.0930156883472995,0.9998912739053628,0.005772654546683461,0.009870434243020476,0.0057894453265177484,5,25,128,128,legacy,xsum_9
q_small,0.6,29.286515666331013,5.5129589947217035,0.9658545928988869,2.574859426667162,0.99986715697281,0.006408965946555563,0.01171141065031378,0.006427607549877537,5,25,128,128,legacy,xsum_9
q_small,0.9,32.691240696859204,6.8951853250857305,0.9694107663495294,1.291078765839212,0.9998671339131725,0.006433121424786796,0.011720378671890685,0.006451833288560611,5,25,128,128,legacy,xsum_9
q0.5_range,0.0,8.198695119891042,0.7941930282373144,0.8780293710917635,2.8170477783343246,0.9994570741666621,0.01178081153632909,0.01821265469416744,0.011815078096223857,5,25,128,128,legacy,xsum_9
q0.5_range,0.3,24.61129539589883,3.822202197829085,0.9593682500691679,2.7016064557568797,0.9998702272129164,0.006291921905666677,0.009367311294223413,0.006310223065834537,5,25,128,128,legacy,xsum_9
q_large,0.0,14.6009522196928,1.028839837592746,0.931511316183114,3.457482298895556,0.9999194842503751,0.0048119823357670195,0.006805138710747727,0.004825978831714064,5,25,128,128,legacy,xsum_9
q_large,0.3,10.667326844853111,1.1685916355690833,0.9062558019882468,3.109890572698348,0.9996149159581659,0.01023976951382532,0.013719880784512029,0.010269553682281975,5,25,128,128,legacy,xsum_9
q_large,0.6,6.866010197207667,0.6117698959143363,0.8543550080355707,2.6376159838810964,0.9993083244100777,0.012939509862716058,0.021163611684079875,0.012977146700242267,5,25,128,128,legacy,xsum_9
q_large,0.9,2.9694027719930434,0.25860943371710354,0.6632319436649523,1.6137034477996832,0.9941674000425569,0.029244537395457584,0.04743214033979992,0.02932960026987553,5,25,128,128,legacy,xsum_9
q_small,0.0,14.6009522196928,1.028839837592746,0.931511316183114,3.457482298895556,0.9999194842503751,0.0048119823357670195,0.006805138710747727,0.004825978831714064,5,25,128,128,legacy,xsum_9
q_small,0.3,29.185764170794073,2.611510086599313,0.9657367203357077,3.0645084257904087,0.9999697664062059,0.003056948917000298,0.00603035508782046,0.0030658405899412168,5,25,128,128,legacy,xsum_9
q_small,0.6,38.77859529098933,6.801452474299077,0.9742125780344508,2.529817508019928,0.9999353422256846,0.0045097880667779,0.006889397061149438,0.004522905577606964,5,25,128,128,legacy,xsum_9
q_small,0.9,59.97383988543161,32.75249073490217,0.9833260634651657,1.2133631011204402,0.9997428090490419,0.009079443543818701,0.016153152815529204,0.009105852700356517,5,25,128,128,legacy,xsum_9
q0.5_range,0.0,7.078682431495273,0.7044185317920109,0.8587307723326184,2.902927174844844,0.9991966403831118,0.01401730510119469,0.021990637363207277,0.014058076895508871,5,25,128,128,legacy,xsum_14
q0.5_range,0.3,25.016283189502364,3.5334738360236564,0.9600260361451444,2.7181170588132395,0.9998962417138729,0.0056298253538633386,0.011138285633776945,0.005646200689899429,5,25,128,128,legacy,xsum_14
q_large,0.0,12.362572584241551,0.8816098275351444,0.9191106872630467,3.5184481514278603,0.9998818451010428,0.005751714564852982,0.00942087000530556,0.005768444437071578,5,25,128,128,legacy,xsum_14
q_large,0.3,9.56574868805872,0.7967740131360506,0.8954603520738176,3.165452494348579,0.9997164041934504,0.008682321014931148,0.014156451189816899,0.00870757507083097,5,25,128,128,legacy,xsum_14
q_large,0.6,5.755065200532713,0.6692242366326191,0.8262400224575326,2.75234934220143,0.99820909458307,0.020146971698027608,0.03132082073669196,0.02020557270444043,5,25,128,128,legacy,xsum_14
q_large,0.9,2.598948472529095,0.6680565552916965,0.6152290010479209,1.7629571989158939,0.9280463074257143,0.0986180710067259,0.16008990107543575,0.09890491899053734,5,25,128,128,legacy,xsum_14
q_small,0.0,12.362572584241551,0.8816098275351444,0.9191106872630467,3.5184481514278603,0.9998818451010428,0.005751714564852982,0.00942087000530556,0.005768444437071578,5,25,128,128,legacy,xsum_14
q_small,0.3,24.9352054833936,3.5618259929475626,0.9598960593821462,3.1040373846874107,0.9998931634074609,0.005711963292336983,0.011196866325692056,0.005728577540996338,5,25,128,128,legacy,xsum_14
q_small,0.6,26.833046858063156,4.044208235469607,0.9627325213834408,2.5869481646675063,0.9998978936656475,0.0056005688805935505,0.010589080345552837,0.005616859119037637,5,25,128,128,legacy,xsum_14
q_small,0.9,27.401340111541355,5.714566281314085,0.9635054345543194,1.3029334767769947,0.9998128408934825,0.00758889037942064,0.01472000838545906,0.007610964000233546,5,25,128,128,legacy,xsum_14
q0.5_range,0.0,8.237827032463722,0.7023927883751458,0.8786087646585454,2.8506983723929737,0.9995838414408753,0.01032032366559912,0.015665021319313688,0.010350342139957199,5,25,128,128,legacy,xsum_14
q0.5_range,0.3,22.391754359629402,2.405894930263848,0.955340703370571,2.741399593247061,0.9999243214761481,0.0047845271832576124,0.007696432099969286,0.004798443821070523,5,25,128,128,legacy,xsum_14
q_large,0.0,14.33014453163415,0.6165106161234741,0.9302170332062963,3.4934683932786847,0.9999687523080306,0.0029934915042480158,0.004941937028104526,0.003002198600156347,5,25,128,128,legacy,xsum_14
q_large,0.3,10.667595135271982,0.7892772736052739,0.9062581596583527,3.1425462286858874,0.9998243152007793,0.0069156843137197,0.00965671995712114,0.006935799796428052,5,25,128,128,legacy,xsum_14
q_large,0.6,6.826947834965068,0.5444072455473921,0.853521657968679,2.6807082984049564,0.9994384483966091,0.01164687299376237,0.018798482829843977,0.011680749969877028,5,25,128,128,legacy,xsum_14
q_large,0.9,3.6530618465407745,0.3582927515186612,0.7262570298537544,1.4692354241958057,0.9959166978715578,0.026770876107806575,0.0502631170045964,0.026848743903820006,5,25,128,128,legacy,xsum_14
q_small,0.0,14.33014453163415,0.6165106161234741,0.9302170332062963,3.4934683932786847,0.9999687523080306,0.0029934915042480158,0.004941937028104526,0.003002198600156347,5,25,128,128,legacy,xsum_14
q_small,0.3,26.654640691338685,1.0409817327572906,0.9624830808420934,3.1033775642035044,0.9999930477254493,0.001460952363158251,0.0019365919052427572,0.0014652017997527664,5,25,128,128,legacy,xsum_14
q_small,0.6,33.718649398402604,3.6530037125502046,0.9703428216182534,2.572559459018939,0.9999671090725307,0.003203674497905919,0.004820627429650948,0.0032129929479742616,5,25,128,128,legacy,xsum_14
q_small,0.9,93.23819894335973,75.8919355239813,0.9892747821029074,1.2264956472545192,0.9997664382684288,0.008704553308037611,0.013102060445537411,0.008729872030467494,5,25,128,128,legacy,xsum_14
q0.5_range,0.0,7.1895440598624925,0.8829812032997105,0.860909121402738,2.929351026940232,0.9988202459092359,0.01703285193729441,0.03060236215275758,0.017082394979324084,5,25,128,128,legacy,xsum_14
q0.5_range,0.3,19.239317115017887,1.5545541059446943,0.948023103209863,2.8000979365662344,0.9999411277117956,0.004187599583469955,0.005503770128066243,0.004199779952496297,5,25,128,128,legacy,xsum_14
q_large,0.0,12.094146623686402,1.2333945672176967,0.9173153732036373,3.5573599254242265,0.9997465589417448,0.00840795123118091,0.013404414778332097,0.008432407234366012,5,25,128,128,legacy,xsum_14
q_large,0.3,9.219126015653753,0.9905901257827905,0.8915298480244185,3.215417433977457,0.9994875448647037,0.011621256950073029,0.020222707803241313,0.011655059417424632,5,25,128,128,legacy,xsum_14
q_large,0.6,5.992034160278498,0.7718173234158243,0.8331117658458873,2.763084830537423,0.9980066659625962,0.021434066445837726,0.038324604008479035,0.02149641119342916,5,25,128,128,legacy,xsum_14
