текст,условие,"стоков, %",концентрация,доля на центре текста,направление без стоков,косинус со стоком,до стока,низкий PMI: косинус со стоком,низкий PMI: до стока,высокий PMI: косинус со стоком,высокий PMI: до стока,доля на общей оси
0,исходный,0.9950248756218906,0.3909357190132141,0.03373528644442558,0.13301166892051697,-0.009508511982858181,1.221898255878649,-0.023264851421117783,1.235169103222527,0.008940178900957108,1.1765452495811883,0.009330550208687782
0,чужие хапаксы,1.9900497512437811,0.4306747317314148,0.039244528859853745,0.17056959867477417,-0.017738690599799156,1.2317807895723667,-0.025527970865368843,1.2115877876303713,0.010049710981547832,1.2057973574933134,0.05198097229003906
0,перемешивание,2.4875621890547266,0.5071780681610107,0.03486804664134979,0.23777183890342712,0.001360935508273542,1.2022665127530008,0.007051578722894192,1.186979253586089,-0.01375584490597248,1.210398055829399,0.155089870095253
1,исходный,1.4925373134328357,0.37462007999420166,0.03708738088607788,0.13266125321388245,-0.019294003024697304,1.2915645556633637,-0.04968385025858879,1.3277178197156694,0.005715804174542427,1.2390892200317223,0.012238651514053345
1,чужие хапаксы,1.9900497512437811,0.4977870285511017,0.06991080194711685,0.23858070373535156,-0.014408620074391365,1.3951065277268073,-0.00972073059529066,1.3754650614482489,0.01302492804825306,1.365930642442424,0.09967831522226334
1,перемешивание,1.4925373134328357,0.5794076919555664,0.05416607856750488,0.33083611726760864,0.006989073473960161,1.3590578559679665,0.017850982025265694,1.337758446454755,0.0016032656421884894,1.3774495798269566,0.2674907147884369
2,исходный,2.4875621890547266,0.33023887872695923,0.022313334047794342,0.09571442008018494,-0.009653695859014988,1.1607276398685147,-0.02565530501306057,1.1845715269426922,0.00539789441972971,1.1093996040945842,0.01419752649962902
2,чужие хапаксы,0.4975124378109453,0.36833545565605164,0.03671136870980263,0.1248573511838913,-0.02710687555372715,1.219364631854976,-0.027240058407187462,1.2356646807460276,0.004543260671198368,1.1613710995967466,0.024943610653281212
2,перемешивание,1.4925373134328357,0.5293310284614563,0.04042915627360344,0.26804494857788086,-0.00884257722645998,1.2285328211971482,-0.003119887551292777,1.2323378617469205,-0.023438099771738052,1.214662383527097,0.19946064054965973
3,исходный,2.4875621890547266,0.351734459400177,0.033036090433597565,0.11011098325252533,-0.001777521101757884,1.2599640422497076,-0.01379355974495411,1.2657716402131571,0.01387643814086914,1.2059494709617569,0.013180241920053959
3,чужие хапаксы,2.9850746268656714,0.46406227350234985,0.03881748393177986,0.20295307040214539,0.0034100781194865704,1.2914259359229805,0.007195433601737022,1.2734757418459945,-0.00032250472577288747,1.29054088711514,0.11734336614608765
3,перемешивание,3.9800995024875623,0.5367321372032166,0.05621498450636864,0.2761197090148926,0.000689171371050179,1.3435033006444959,0.003129074349999428,1.329498373657993,-0.009718246757984161,1.3489355644016363,0.20441676676273346
4,исходный,3.482587064676617,0.36498531699180603,0.03883053734898567,0.12553274631500244,-0.005826394539326429,1.2689760035109037,-0.028265763074159622,1.2927273643754662,0.021634895354509354,1.2214866311822237,0.016902919858694077
4,чужие хапаксы,1.9900497512437811,0.471205472946167,0.04913323000073433,0.2091866433620453,-0.003538350807502866,1.329928345995328,-0.0069171106442809105,1.330410648801085,0.018765192478895187,1.3083494189994838,0.07132109254598618
4,перемешивание,1.9900497512437811,0.5741175413131714,0.04117515683174133,0.31325051188468933,0.013700829818844795,1.306365595801481,0.03633351996541023,1.285120842155364,0.009885570965707302,1.3035103022611902,0.27766937017440796
5,исходный,3.482587064676617,0.34654226899147034,0.029002409428358078,0.11668325960636139,-0.032520003616809845,1.2504307958002707,-0.04423197731375694,1.258826569206164,-0.0013299105921760201,1.2157409428390409,0.017470935359597206
5,чужие хапаксы,1.4925373134328357,0.4567790925502777,0.03232618048787117,0.20132961869239807,0.0014235468115657568,1.3237723131984735,-0.020661303773522377,1.3196058197627762,0.026118317618966103,1.3220671214663446,0.0994902104139328
5,перемешивание,3.482587064676617,0.5869786739349365,0.04621398076415062,0.3405212163925171,0.02711547166109085,1.3110295506700334,0.019426418468356133,1.298688602615937,0.020729880779981613,1.3257613125406973,0.28393998742103577
6,исходный,0.9950248756218906,0.39098912477493286,0.02825246937572956,0.14707346260547638,-0.04307527467608452,1.2546471504365804,-0.0558847151696682,1.2670718902632419,-0.007418340537697077,1.2057921202634014,0.013026397675275803
6,чужие хапаксы,2.9850746268656714,0.5331656336784363,0.0489208959043026,0.2760058045387268,-0.04367470368742943,1.3127896076455994,-0.048014506697654724,1.296358735436752,-0.02786991000175476,1.3135790944038945,0.08530975133180618
6,перемешивание,1.9900497512437811,0.6375557780265808,0.04852735996246338,0.38971906900405884,0.003601993201300502,1.2638848013898654,0.02616422437131405,1.2306697558795139,-0.019405566155910492,1.283900528666719,0.3165343105792999
7,исходный,1.9900497512437811,0.4454237222671509,0.06347770243883133,0.19209085404872894,-0.04607168585062027,1.3348363860974823,-0.06441068649291992,1.3551140856325643,-0.01030087098479271,1.2901036004644726,0.013919326476752758
7,чужие хапаксы,1.4925373134328357,0.5019174218177795,0.06093018501996994,0.24690784513950348,-0.028579117730259895,1.3547159097787485,-0.0037118049804121256,1.3403439143621212,-0.045747704803943634,1.3571017019636988,0.1090838834643364
7,перемешивание,1.9900497512437811,0.5941126346588135,0.05710633471608162,0.3441668450832367,0.019458618015050888,1.3357718759367148,0.040782734751701355,1.314259635323166,-0.0034263445995748043,1.3362021406210296,0.29084229469299316
8,исходный,2.4875621890547266,0.40511369705200195,0.04237349331378937,0.14839160442352295,-0.0119205666705966,1.2571278636490424,-0.013712896965444088,1.2609824115656574,0.017559416592121124,1.2000779962913775,0.010321286506950855
8,чужие хапаксы,1.9900497512437811,0.4289140999317169,0.04508838802576065,0.17454120516777039,0.0017307661473751068,1.3010395339253427,0.008872883394360542,1.2905612994530895,-0.005834598559886217,1.294775128508427,0.0760766789317131
8,перемешивание,1.4925373134328357,0.5680474042892456,0.05221385881304741,0.31272822618484497,0.013495621271431446,1.3083193651113458,0.014458362013101578,1.3005149991614915,0.006859716027975082,1.3034040175518697,0.24313406646251678
9,исходный,2.4875621890547266,0.414453387260437,0.03470856696367264,0.1368725746870041,-0.033320024609565735,1.2055464920556556,-0.07530370354652405,1.2520143707192821,0.006714929826557636,1.1449725478097201,0.011149692349135876
9,чужие хапаксы,1.4925373134328357,0.4049586057662964,0.0277209784835577,0.14903685450553894,-0.019733861088752747,1.2091238717774828,-0.0162538830190897,1.2250246836358538,0.020479770377278328,1.1472110500161898,0.037797924131155014
9,перемешивание,2.4875621890547266,0.5584292411804199,0.063503198325634,0.29849234223365784,-0.018062058836221695,1.313299183014161,-0.0017937381053343415,1.3183913351103906,-0.02374880388379097,1.2937410600600476,0.1305111050605774
10,исходный,1.9900497512437811,0.33423569798469543,0.030131664127111435,0.10683008283376694,-0.02665100246667862,1.2968301681508705,-0.049155399203300476,1.3350684449998618,-0.005846839398145676,1.2516895755342197,0.014667985029518604
10,чужие хапаксы,1.9900497512437811,0.4837464392185211,0.03590429574251175,0.22881542146205902,-0.009216095320880413,1.3045054062681865,-0.014260735362768173,1.2847967447568474,0.007045203819870949,1.3100601483608982,0.09206180274486542
10,перемешивание,2.9850746268656714,0.5598301291465759,0.035204045474529266,0.30272579193115234,0.00786435417830944,1.2972186954344858,0.014055179432034492,1.2589847878856955,-0.003789477050304413,1.329859135948087,0.24378998577594757
11,исходный,1.4925373134328357,0.3455713093280792,0.02657155878841877,0.11180546879768372,-0.030213484540581703,1.2594562823331295,-0.08251112699508667,1.305553643762255,0.021567460149526596,1.1830631343145588,0.012660888954997063
11,чужие хапаксы,2.4875621890547266,0.512676477432251,0.04198227822780609,0.2567406892776489,-0.006545312236994505,1.303941371807025,-0.012004423886537552,1.3140178253117785,0.020145896822214127,1.2760080227414767,0.12134008854627609
11,перемешивание,2.9850746268656714,0.5976924896240234,0.047165535390377045,0.3391798436641693,0.02317996695637703,1.3123854394698449,0.02103898860514164,1.2936184560257828,0.040252916514873505,1.3087248133220248,0.292289674282074
12,исходный,2.9850746268656714,0.3833991587162018,0.034766219556331635,0.1360875815153122,-0.008915608748793602,1.2389042507331722,-0.048130713403224945,1.2821516975455367,0.03756776079535484,1.1654549486219392,0.014540629461407661
12,чужие хапаксы,4.975124378109453,0.4384153187274933,0.049393732100725174,0.18388484418392181,-0.02299114502966404,1.2957617453955088,-0.032229162752628326,1.3038557814564613,0.01213462371379137,1.2558190929995743,0.039391107857227325
12,перемешивание,2.4875621890547266,0.5609365105628967,0.05661221593618393,0.30372539162635803,-0.008765852078795433,1.3097269464085928,-0.008651657029986382,1.302113731478808,-0.0012029968202114105,1.3062659965100811,0.24037109315395355
13,исходный,1.4925373134328357,0.31031501293182373,0.01848476007580757,0.08201712369918823,-0.03398949280381203,1.1699505200371223,-0.10082656145095825,1.2474650462959695,0.020525582134723663,1.086972522302142,0.013904801569879055
13,чужие хапаксы,2.4875621890547266,0.45142051577568054,0.03285231813788414,0.20453381538391113,-0.03185124695301056,1.2641343611665294,-0.038832779973745346,1.2709276453496547,0.005320290103554726,1.2148921062300924,0.06489258259534836
13,перемешивание,1.4925373134328357,0.5643457174301147,0.04874628409743309,0.3052345812320709,-0.017377300187945366,1.2825498942541849,0.004478091839700937,1.2565672851770355,-0.04272368550300598,1.299317336717768,0.25183653831481934
14,исходный,3.9800995024875623,0.4054453372955322,0.0384993851184845,0.16095949709415436,-0.039284296333789825,1.3151114082544828,-0.0725693479180336,1.3608008380027679,-0.01554065477102995,1.2632719451853964,0.026440531015396118
14,чужие хапаксы,1.9900497512437811,0.5077006816864014,0.055809009820222855,0.25980621576309204,-0.045352715998888016,1.3907851935115716,-0.03459883853793144,1.3808563730530687,-0.04835740104317665,1.3795615253656248,0.0492815338075161
14,перемешивание,2.9850746268656714,0.6101699471473694,0.06894828379154205,0.36817923188209534,-0.018433136865496635,1.4059873196667507,-0.03708944097161293,1.4123902944953615,-0.01701442524790764,1.3940723085719906,0.2590233087539673
15,исходный,1.9900497512437811,0.3401756286621094,0.030129415914416313,0.10758617520332336,-0.0074837952852249146,1.2591833094375808,-0.015057376585900784,1.2714518647227797,-8.102506399154663e-07,1.2261771577107763,0.014596567489206791
15,чужие хапаксы,1.9900497512437811,0.3946262001991272,0.03870096430182457,0.1445605307817459,-0.004895573016256094,1.3068009776504463,-0.017098937183618546,1.3042801318566268,0.004463923629373312,1.2897576283373062,0.07400871068239212
15,перемешивание,2.4875621890547266,0.5564233064651489,0.0526433102786541,0.29986006021499634,0.014051726087927818,1.3818974674136084,0.014960180036723614,1.3781062184069217,-0.0008569472702220082,1.3848188908728147,0.23174415528774261
16,исходный,2.4875621890547266,0.4135662615299225,0.03711538761854172,0.16375289857387543,-0.01728399656713009,1.2999200143747132,-0.018765762448310852,1.315858540904576,0.015986669808626175,1.2388406956526077,0.023523883894085884
16,чужие хапаксы,2.9850746268656714,0.5111004114151001,0.06008569896221161,0.2548968493938446,-0.03645453602075577,1.356420844296248,-0.02409546449780464,1.3340704114908883,-0.054046630859375,1.3665224258202808,0.10842680186033249
16,перемешивание,3.9800995024875623,0.5783143639564514,0.04330170154571533,0.32627853751182556,0.014479453675448895,1.3284549183616707,0.023450829088687897,1.307714024468621,-0.002074937103316188,1.354318667918356,0.2634528577327728
17,исходный,1.9900497512437811,0.3570217192173004,0.019384076818823814,0.12192825227975845,-0.006041607819497585,1.259146116220237,-0.010373818688094616,1.2648566189967496,0.014761878177523613,1.215855816979149,0.014635597355663776
17,чужие хапаксы,3.482587064676617,0.4850130081176758,0.03825870528817177,0.23268117010593414,-0.01788049191236496,1.283763626736966,-0.01859518513083458,1.2777456738225657,-0.021067090332508087,1.2861276032858724,0.08937384188175201
17,перемешивание,2.4875621890547266,0.5726751685142517,0.03346842899918556,0.3168182671070099,0.016857553273439407,1.2716308857445562,0.009652934968471527,1.2598680883709936,0.007383076939731836,1.2975229407275684,0.25105202198028564
18,исходный,2.4875621890547266,0.39375418424606323,0.03272044658660889,0.14934130012989044,-0.01851555146276951,1.2993431959007957,-0.03878562152385712,1.3299609629783584,-0.005615488160401583,1.261315583511239,0.019216381013393402
18,чужие хапаксы,1.4925373134328357,0.48411065340042114,0.04056602343916893,0.22673578560352325,-0.014268215745687485,1.340388427249432,-0.018829140812158585,1.3256599066201709,-0.011218064464628696,1.3429838058625878,0.08539485186338425
18,перемешивание,3.482587064676617,0.5856602191925049,0.045274119824171066,0.33660611510276794,0.00521174306049943,1.3044348810457318,0.013124089688062668,1.2933684584620864,0.005081690847873688,1.296159134547108,0.28060296177864075
19,исходный,1.4925373134328357,0.42210865020751953,0.02602129615843296,0.154199481010437,-0.005742622073739767,1.2498564934471315,-0.011050541885197163,1.2683102991249184,0.010759593918919563,1.1794045606837722,0.017369979992508888
19,чужие хапаксы,2.9850746268656714,0.49521973729133606,0.035792168229818344,0.22708433866500854,-0.0005208184593357146,1.2846990527037903,0.01536125224083662,1.2794594278894722,-0.010701569728553295,1.267371505225845,0.09414073079824448
