genre,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
academic_abstracts,7.09 ± 0.97,6.49 ± 0.93,5.88 ± 0.87,5.24 ± 0.80,4.57 ± 0.73,3.89 ± 0.64,3.28 ± 0.51,2.95 ± 0.43,2.98 ± 0.48,3.03 ± 0.49
amazon_reviews,8.01 ± 0.70,7.43 ± 0.70,6.79 ± 0.67,6.12 ± 0.64,5.40 ± 0.60,4.64 ± 0.55,3.91 ± 0.46,3.46 ± 0.37,3.50 ± 0.45,3.59 ± 0.58
writingprompts,7.81 ± 0.91,7.34 ± 0.90,6.76 ± 0.87,6.11 ± 0.84,5.39 ± 0.79,4.63 ± 0.71,3.90 ± 0.58,3.45 ± 0.43,3.45 ± 0.45,3.48 ± 0.55
xsum,8.47 ± 0.86,7.88 ± 0.83,7.25 ± 0.79,6.57 ± 0.75,5.82 ± 0.70,5.02 ± 0.64,4.22 ± 0.53,3.64 ± 0.40,3.57 ± 0.38,3.59 ± 0.43
