текст,условие,каркас в полном облаке,каркас по центрам,масштаб полного,масштаб центров,q*
0,исходный,0.7359985518295774,0.7455961323951067,33.41644723109909,32.624068744177855,0.385
0,перемешивание,0.7354944842162398,0.7599301390571709,32.89508503973684,31.41934000327241,0.40666666666666673
1,исходный,0.7504703051953362,0.7630821174666335,31.165369946033746,30.119341550208485,0.3516666666666666
1,перемешивание,0.7417459331261588,0.7666509180502007,29.233423864338295,27.861251052669356,0.32
2,исходный,0.7418056719119072,0.7496383813654162,34.39728732700347,33.444547279151735,0.3933333333333333
2,перемешивание,0.7320913223634081,0.7619475866518196,31.958064840887214,30.298584429607942,0.38833333333333336
3,исходный,0.7419155706394708,0.755592741998067,31.258975933390335,30.061022111040227,0.33
3,перемешивание,0.7486107870427793,0.77181922391746,28.846549114352882,27.392536280699385,0.32
4,исходный,0.737071185667007,0.7485480275235066,31.46136875112538,30.480126072681653,0.3499999999999999
4,перемешивание,0.7211875562527797,0.7486975929505256,30.62923959741633,29.051069361254235,0.34833333333333333
5,исходный,0.7461554532867046,0.7521267817575511,33.07567487025536,32.211468905397496,0.38999999999999996
5,перемешивание,0.7329349924910754,0.7611443166279258,30.495522079849195,29.00281297479133,0.355
6,исходный,0.7527413968099678,0.7695248581519509,32.59878057176184,31.363753226822535,0.34
6,перемешивание,0.7420751252796897,0.776106743815848,32.13011595059865,30.18079790404008,0.34833333333333333
7,исходный,0.7522459309057753,0.7693381243101535,30.416624977480307,29.356265598864496,0.3466666666666667
7,перемешивание,0.7457513045782669,0.7655954681132805,29.477524425118293,28.21814986544968,0.3516666666666666
8,исходный,0.7253772331367986,0.7450771212641984,31.44456062617678,30.29891782687584,0.35666666666666663
8,перемешивание,0.7444619167576537,0.7686288513105618,29.838971701714826,28.37552665982985,0.36833333333333335
9,исходный,0.7563934844181048,0.7623676290485583,33.213195818254114,32.445311100202794,0.5216666666666667
9,перемешивание,0.7731037246141689,0.7926963023143925,29.762696071893657,28.03504713231679,0.525
10,исходный,0.7387568730098734,0.7532007093402991,31.39844005245519,30.47702935120761,0.3333333333333333
10,перемешивание,0.7397964687526105,0.7674597953987008,30.620623462533533,29.145635827452818,0.31666666666666665
11,исходный,0.7478031201896126,0.7623011635393303,32.57187898733821,31.601821539689016,0.39999999999999997
11,перемешивание,0.7583268155518299,0.7781581526246981,29.56402654376943,28.22840043649091,0.39666666666666667
12,исходный,0.7548637035616049,0.7628592753426465,31.88056914139465,31.100766558652214,0.4116666666666666
12,перемешивание,0.7628824659428132,0.7891899962636159,30.343724498131312,28.71333928071952,0.4566666666666667
13,исходный,0.7299448198025238,0.7540059685407142,34.522151816072856,32.78186737522038,0.35000000000000003
13,перемешивание,0.7268920437560373,0.7704172554077257,32.01366231776232,29.745918605288455,0.3933333333333333
14,исходный,0.7603075616921449,0.769614342224069,31.797042738209015,30.913277348181726,0.3416666666666666
14,перемешивание,0.7305710252190085,0.7708482991181208,28.609292894239008,26.943998356904988,0.3416666666666666
15,исходный,0.7484580646070637,0.7582122201474325,31.62522100045633,30.86646458678072,0.30666666666666664
15,перемешивание,0.7549404282117272,0.7684991493603759,28.164622667751132,27.192709191336263,0.3116666666666667
16,исходный,0.760777342800275,0.7813787102983104,30.408279840921754,29.13439826199928,0.3499999999999999
16,перемешивание,0.756813754068563,0.7857680831128423,29.215865882149263,27.590527558511457,0.325
17,исходный,0.7450581551446481,0.7679658035023248,32.2305596681001,30.80327275505717,0.39833333333333326
17,перемешивание,0.739041474275146,0.7751157699311192,30.93906109477803,29.093101284462858,0.38166666666666665
18,исходный,0.744580815744477,0.754158055950081,31.013643841149044,29.957893740479317,0.355
18,перемешивание,0.7253001601510403,0.7535441274921936,30.153968853157327,28.652647780253954,0.355
19,исходный,0.7282494652621465,0.7649831838323471,32.06968033355247,30.213058974634535,0.4166666666666667
19,перемешивание,0.739806207699468,0.7821160533043271,31.68295231231323,29.55329177843195,0.4083333333333334
