perturbation,PC1,PC2,PC3,|v|
commonize_types,-5.3,95.7,18.5,97.7
echo_p25,-85.0,-30.5,14.8,91.5
echo_p50,-136.4,-52.6,16.9,147.2
marker_p12,-8.4,33.1,-33.6,47.9
marker_p3,15.7,162.2,-130.6,208.8
marker_p6,-6.3,77.8,-73.2,107.0
rarify_types,29.9,89.0,22.4,96.6
rarify_types_50,7.4,66.7,15.0,68.8
