набор,текст,условие,каркас: черешок ср,каркас: ребро CV,до ближайшего повторного,одиночки: до ближайшей,каркас: ребро у одиночек ср,"каркас: доля рёбер одиночка-одиночка, %",одиночки: размер цепи,одиночки: разброс до ближайшей,каркас: ребро у одиночек CV,R = обменность,каркас: черешок CV,каркас: ребро ср
механические,0,исходный,0.7850664556968961,0.11251864546648689,0.7949826432793835,0.7687058440031067,0.7493236129131456,48.410752688172046,5.746794871794871,0.09190383784192273,0.11558505188789975,1.0847225465338852,0.09901104071293236,0.7455961323951067
механические,0,перемешивание,0.796288704335013,0.09484914124003536,0.7964317604498379,0.7840681789580088,0.7638271287897745,39.58369552054845,5.775000000000001,0.07865487178161094,0.09406232129314197,1.0741742740567506,0.08588012751152806,0.7599301390571709
механические,0,эхо x2,0.804420625077629,0.11655810191764264,0.7718902329659433,0.8064624826198639,0.7663622450249169,16.361005606800507,5.3809523809523805,0.09845999730027914,0.12158191754692692,1.0126411701696236,0.10065661953363697,0.7622958108490359
механические,0,эхо x4,0.812955653791918,0.10068290050823452,0.7646733580400896,0.9180209474931151,0.7881966436590494,1.4291632145816073,5.5,0.05217053191221349,0.11022026769207392,0.994867416409725,0.11362765964445569,0.7813190332311849
механические,0,эхо на четверти,0.7903898416064639,0.10599863705201175,0.7814499218985024,0.7756785561556421,0.7513034073427834,40.87939805908255,5.382905982905982,0.08825273750223801,0.11072989056543946,1.0432146050857225,0.09388692186543122,0.7491066120085041
механические,0,словарь к 25,0.7778365245581517,0.14205933170602972,0.7777159446787838,0.7676964561024141,0.7372140640835919,21.382354263401606,3.8796296296296293,0.11860782663184449,0.15546154195747722,1.0933505436483368,0.17132052042985532,0.724679667768212
механические,0,словарь к 60,0.7725410720524537,0.10733321452440138,0.7736412211096141,0.7701563527681871,0.7444492762856632,31.868265993265993,4.423687423687425,0.08461217586425723,0.11093963795648508,1.0566510044184234,0.09538192373200877,0.7399793207836426
механические,0,все слова разные,0.7802066660447119,0.09606132901235297,0.8793684732028876,0.7508234989756182,0.7513489577080804,74.65071448715908,5.879015170777184,0.08172551208084049,0.09785283084554636,1.1373953257284324,0.093312932385153,0.753440820502814
механические,0,чужие хапаксы,0.7658663374734181,0.10026482246586317,0.813079558617923,0.7387279324781139,0.7372783588358822,56.70280269434926,7.138861138861139,0.09190190743268052,0.09945541709944176,1.0236490501412112,0.08769350578189404,0.7454695309954206
механические,0,хапаксы одного домена,0.7785842838314793,0.1078307001791739,0.8053788960494862,0.7590007466484542,0.7457996506719086,48.378518197863194,7.5108225108225115,0.09821933219070028,0.1110991531100821,1.0554075079669816,0.0932014672347991,0.7489895158302563
механические,0,20 чужих хапаксов,0.7832843582448343,0.10154025009268719,0.7959588753445286,0.7803179351965431,0.7572392936881313,41.521141289750595,5.687423687423688,0.08693365537719112,0.09894071050133584,1.0933510921809682,0.0834394715256543,0.750074152609273
механические,0,маркер каждые 3,0.8021725904202253,0.11402009422362448,0.8142507410477339,0.7796441370525672,0.7692516311562568,47.30727846171271,5.406552706552707,0.09829426975539017,0.11131754766752129,1.1105776159448748,0.10509222045749385,0.7638195417821572
механические,0,без пунктуации,0.8121886291433706,0.10577799454296462,0.8144657905193614,0.8034481562050083,0.782183721588909,35.67460317460317,5.214285714285714,0.08283561794848932,0.10060467520696277,1.1079734188578787,0.08721478313399232,0.7737546315709637
