текст,условие,зерно,как есть: крупный,как есть: мелкий,как есть: средний,без оси: крупный,без оси: мелкий,без оси: средний,без случайного: крупный,без случайного: мелкий,без случайного: средний
0,исходный,0,19.10438762226093,3.2354224416739896,12.751562454679288,19.250591565822337,3.235294732935877,12.785348606100007,19.101098084146543,3.2346397292060156,12.751848798158779
0,исходный,1,19.05548910395708,3.1382679485319214,13.145910568505858,19.281775845415506,3.1407850281578398,13.192319359505262,19.05135191746191,3.137736025286297,13.142837459988902
0,исходный,2,18.622873402271047,3.1189236361391943,12.57354256731151,18.78097798277114,3.1213823874374818,12.61278926849868,18.620815201225927,3.1189795191580005,12.577767263906422
0,чужие хапаксы,0,14.236917222179695,3.0989170597391262,11.082182909959098,14.349132375263025,3.095176475335799,11.167476136139442,14.235745007143558,3.0991319033397398,11.081172801489192
0,чужие хапаксы,1,14.412801800075483,3.262268816810508,10.793936732059162,14.46020498381338,3.2590079057091805,10.847679124302696,14.418433032032523,3.2619725434950273,10.798051422714122
0,чужие хапаксы,2,14.726017084300715,3.2286596594493226,11.112087026116342,14.792247396445902,3.2208949702139287,11.181776297213817,14.72833727859121,3.228425595325448,11.108533252225723
0,перемешивание,0,16.579187832635565,3.559628531327275,12.345124041987653,17.038442139005934,3.5716021529618307,12.438442920186226,16.580289844543294,3.5585529982332527,12.335961335176444
0,перемешивание,1,17.691426211722007,3.8177532531530214,12.505129749022947,18.165976811734506,3.8313509053602472,12.58225414511285,17.686935111651763,3.81621163210516,12.497238750636594
0,перемешивание,2,17.276918457584063,3.759696401221686,12.525756392896493,17.65849817076983,3.756053208363665,12.635761230700698,17.280597235080478,3.758648209858941,12.522047805276063
1,исходный,0,17.79541166471699,3.981811572420606,15.274185415153564,17.681544291457342,3.978603305110435,15.246965804519998,17.798648888801978,3.9822607175399805,15.2737584905645
1,исходный,1,19.04343386151636,4.076759885763528,16.086590575818494,19.004556754723822,4.074382647783497,16.10560837072876,19.06179612104949,4.0767624022133875,16.088791354213992
