ca,пункт,служ,смысл-част,смысл-редк,подслово,сток
пункт,32.4695,34.4035,36.1236,37.3353,36.4128,44.0377
служ,34.4035,30.0389,31.484,33.0028,33.7691,42.0184
смысл-част,36.1236,31.484,29.7675,30.4247,32.9029,38.6522
смысл-редк,37.3353,33.0028,30.4247,30.0486,32.9311,38.1021
подслово,36.4128,33.7691,32.9029,32.9311,32.0386,39.8685
сток,44.0377,42.0184,38.6522,38.1021,39.8685,4.0727
