perturbation,PC1,PC2,PC3,|v|
style_anaphora,-146.0,8.3,37.3,150.9
style_catechism,-151.8,-38.1,36.9,160.8
style_code,-87.7,2.8,33.3,93.8
style_equations,-153.1,15.9,38.9,158.8
style_literary_apiyi,188.2,-15.7,4.1,188.9
style_record_fields,-101.2,-0.9,66.1,120.9
