genre,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
academic_abstracts,8.13 ± 1.26,8.70 ± 1.42,9.99 ± 1.76,12.51 ± 2.43,15.75 ± 3.02,18.25 ± 3.33,19.86 ± 3.64,21.03 ± 4.00,22.05 ± 4.69,23.20 ± 6.56
amazon_reviews,9.28 ± 1.11,10.02 ± 1.24,11.60 ± 1.61,14.54 ± 2.18,17.67 ± 2.44,19.62 ± 2.80,20.77 ± 3.32,21.57 ± 4.04,22.10 ± 5.09,22.43 ± 6.99
writingprompts,8.92 ± 1.44,9.52 ± 1.63,10.83 ± 2.09,13.18 ± 2.71,15.49 ± 2.96,16.77 ± 3.09,17.27 ± 3.24,17.30 ± 3.51,16.98 ± 3.99,16.43 ± 4.84
xsum,9.83 ± 1.40,10.74 ± 1.64,12.59 ± 2.30,15.73 ± 3.05,18.56 ± 3.31,20.12 ± 3.67,20.93 ± 4.12,21.39 ± 4.72,21.72 ± 5.69,21.79 ± 7.09
