,0
Ġthe,-1.6995446658547249
âĢĻ,-1.177131759163774
Ġ\,-1.0790902882814408
.,-0.9399940274473978
Ġto,-0.6325789277047694
Ċ,-0.5209095434370901
-,-0.5114661533842464
_,-0.5111981290717458
],-0.43031233429908755
The,-0.3244393434963728
Ġ,-0.22413109884812282
Ġthere,-0.21243783205178132
",",-0.18811401113004741
r,-0.1864523237401789
Ġof,-0.17399853018473022
the,-0.16275372750618877
ĠThe,-0.1403908492376407
Ġ.,-0.13879368372891152
Ġbe,-0.13468274435731456
),-0.13292764531027887
?,-0.12143928666288654
Ġand,-0.11734120799190223
Ġa,-0.0883790119619567
Ġin,-0.08555306158093519
"Ġ,",-0.07637608501734389
ly,-0.062167759984731674
ĠG,-0.0519111396335974
;,-0.04607065709737631
ĠT,-0.04413422236317083
"""",-0.042582431196102076
's,-0.035863647720014505
:,-0.0358449841539065
ĠIt,-0.03557270414130703
).,-0.03461383259104144
Ġwe,-0.03277393255995799
Ġat,-0.030876415400074683
Ġthat,-0.02893729123881058
Ġyour,-0.02266012231644233
Ġthan,-0.022264036576490145
Ġalso,-0.02146673356664592
Ġhis,-0.021136355347077366
Ġon,-0.018398908698354872
Ġit,-0.015497362160365083
t,-0.015152122982790773
Ġfor,-0.01429558557683024
Ġby,-0.013941025733947754
Ġvery,-0.011824044027948767
't,-0.011571037311908564
Ġas,-0.010141160884813871
Ġyou,-0.009335680318272803
Ġtoo,-0.00844040016333262
Ġout,-0.007993061570718945
Ġhave,-1.973367566399151e-06
Ġhad,-1.6975063311902782e-06
Ġhas,-1.6862434930488712e-06
Ġhe,-1.3391239733635625e-06
Ġthey,-1.2939877252652283e-06
Ġreally,-1.1516468865530832e-06
Ġcan,-1.137719509449411e-06
Ġafter,-1.1158543963764989e-06
Ġwell,-1.0238069555033809e-06
Ġ',-1.0208742132464658e-06
Ġstill,-9.98046663072374e-07
Ġare,-9.867619341752662e-07
Ġsame,-9.600321451822916e-07
Ġmost,-8.948241608052314e-07
Ġover,-8.912209202261533e-07
Ġget,-8.647953431437335e-07
Ġunder,-8.626564128978833e-07
Ġ(,-8.507297512446864e-07
Ġonly,-8.475889853381236e-07
Ġp,-8.473793665568034e-07
"Ġ""",-8.153647853252002e-07
on,-7.713542265050552e-07
Ġmovie,-7.674098014831543e-07
Ġany,-7.652512220578773e-07
Ġor,-7.652022220470288e-07
Ġdown,-7.484532609770569e-07
Ġlater,-7.470900362188165e-07
Ġstart,-7.242867440888376e-07
Ġfront,-7.125464352694425e-07
Ġmight,-7.062934447025907e-07
Ġterms,-7.037933056171124e-07
Ġtwo,-6.975201161011405e-07
