genre,0.0,0.1,0.2,0.3,0.4,0.5
academic_abstracts,4.35 ± 0.80,5.43 ± 1.03,7.21 ± 1.45,10.47 ± 2.29,14.78 ± 3.04,18.25 ± 3.33
amazon_reviews,5.21 ± 0.78,6.53 ± 0.99,8.74 ± 1.48,12.66 ± 2.21,17.02 ± 2.41,19.62 ± 2.80
writingprompts,5.21 ± 1.08,6.48 ± 1.37,8.57 ± 1.99,12.08 ± 2.87,15.46 ± 3.15,16.77 ± 3.09
xsum,5.66 ± 0.92,7.20 ± 1.23,9.78 ± 2.00,14.09 ± 2.96,18.16 ± 3.27,20.12 ± 3.67
