текст,условие,среднее: смысловые,разброс: смысловые,среднее: смысл. одиночки,разброс: смысл. одиночки,разброс: все,среднее: все,"смысловых > 0.1, %","одиночек > 0.1, %","смысловых > 0.2, %","одиночек > 0.2, %","смысловых > 0.3, %","одиночек > 0.3, %","смысловых > 0.5, %","одиночек > 0.5, %",расслоение одиночек
0,исходный,0.01194180885694711,0.05280966579261335,0.021083487003364196,0.05999134848354041,0.04695995462239355,-0.003407929045750368,5.128205128205128,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03958886670224209
0,перемешивание,0.25580027495891844,0.07450866270569362,0.2815848679527785,0.06992563075978259,0.10884974263264748,0.23092491642197943,94.0,100.0,80.0,82.75862068965517,24.0,41.37931034482759,0.0,0.0,0.046701051192703735
0,эхо x2,0.005896136279202762,0.0487752772908307,0.01245584778822233,0.06511029426378039,0.05262644575495576,0.016075250621113247,4.3478260869565215,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.04655558715165424
0,эхо x4,-0.03952646012827516,0.049534959829154006,,,0.05178840594631829,-0.026244556279996296,0.0,,0.0,,0.0,,0.0,,
0,эхо на четверти,0.01967978106808046,0.05243654022305991,0.04099446726940993,0.050048492196638095,0.05082594259790482,0.01321736353910639,4.3478260869565215,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.04692015564737548
0,словарь к 25,0.09454360764215622,0.048168007705150104,,,0.06366578514113751,0.10535971412858795,48.837209302325576,,0.0,,0.0,,0.0,,
0,словарь к 60,0.0804015572453147,0.04199843642428058,0.10310905052958713,0.03561982304413123,0.054816839991587096,0.06887526120128346,35.8974358974359,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013046371180365543
0,все слова разные,0.20046946292559892,0.06413868647797301,0.20415438214099962,0.06293997052512416,0.08879682970765518,0.16781547826081428,94.87179487179486,97.2972972972973,56.41025641025641,59.45945945945946,2.564102564102564,2.7027027027027026,0.0,0.0,0.049201245060688514
0,чужие хапаксы,0.11969509117761325,0.06467012946470524,0.1517699959968984,0.055646641282114044,0.0637320111080547,0.09634241617513964,63.26530612244898,80.76923076923077,6.122448979591836,11.538461538461538,0.0,0.0,0.0,0.0,0.04297324629403601
0,хапаксы одного домена,0.13489724646621956,0.07394669192973763,0.17404044306688563,0.06528107005005025,0.06864674930177524,0.1032073309486556,68.62745098039215,89.65517241379311,21.568627450980394,37.93103448275862,1.9607843137254901,3.4482758620689653,0.0,0.0,0.0841464200728384
0,20 чужих хапаксов,0.0296702291849997,0.05940133233226979,0.04649087512577646,0.06909916616783138,0.04845762983678135,0.01890443711322679,9.523809523809524,17.391304347826086,2.380952380952381,4.3478260869565215,0.0,0.0,0.0,0.0,0.061702788207652855
0,маркер каждые 3,0.012132792354497735,0.11997437490548078,0.14060042912225773,0.06702049544067917,0.1031280902860318,0.06043091881384471,32.05128205128205,75.0,6.41025641025641,20.833333333333336,0.0,0.0,0.0,0.0,0.05455938358769691
0,без пунктуации,0.10537336064291487,0.054895999264679037,0.12169494171588499,0.05553625596060721,0.05738633845473906,0.10927601033073453,52.702702702702695,67.64705882352942,1.3513513513513513,2.941176470588235,0.0,0.0,0.0,0.0,0.0451139428251586
0,без служебных,0.09381752572187188,0.055098883167206715,0.11009047178273078,0.05382997476442381,0.058448071465205455,0.07112492140477798,45.45454545454545,61.53846153846154,7.2727272727272725,11.538461538461538,0.0,0.0,0.0,0.0,0.0292017234086972
1,исходный,-0.019341266984244765,0.05212872230127176,-0.01806980447459144,0.047715275099569215,0.04861471463451468,-0.014976615830388628,3.125,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,0.04792692848531183
1,перемешивание,0.35314509704771047,0.07261926326611896,0.35963868910455843,0.06430015361056378,0.09002582780716964,0.34354935590543006,100.0,100.0,97.87234042553192,100.0,78.72340425531915,80.64516129032258,0.0,0.0,0.04832130433582482
1,эхо x2,0.05141973340382537,0.05402483762005982,0.041844669793452825,0.046942957041497396,0.05390770918253444,0.04107149895753035,10.909090909090908,13.043478260869565,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.030588200673414806
1,эхо x4,-0.011045537952173334,0.05562389712695971,,,0.06715240257246563,0.0018942233814989772,2.127659574468085,,0.0,,0.0,,0.0,,
1,эхо на четверти,0.04184104566818027,0.054860836904048894,0.049416891927920474,0.051481179681083455,0.05361466199349033,0.037464010748608376,17.91044776119403,15.151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.031161605281238593
1,словарь к 25,0.0749685742435151,0.05255718924076226,0.09671140911799163,0.057056398261873836,0.05840006182918109,0.08851888145122792,32.20338983050847,57.14285714285714,1.694915254237288,7.142857142857142,0.0,0.0,0.0,0.0,0.058627056541777925
1,словарь к 60,0.033452851492529356,0.05235441628611527,0.03891340388937233,0.053226540225645165,0.056326989784238134,0.049638244309709666,7.936507936507936,9.523809523809524,1.5873015873015872,4.761904761904762,0.0,0.0,0.0,0.0,0.030691761998345498
1,все слова разные,0.22545351799492236,0.056585621725222655,0.22134670267468878,0.056708409932097165,0.07494838316414246,0.2136497413449428,98.18181818181819,97.91666666666666,65.45454545454545,64.58333333333334,9.090909090909092,8.333333333333332,0.0,0.0,0.05346751091606189
1,чужие хапаксы,0.16650033432779973,0.05389268322280508,0.16310794693128716,0.05427159156402142,0.057575029943351425,0.15313661367978398,91.37931034482759,90.47619047619048,25.862068965517242,21.428571428571427,1.7241379310344827,2.380952380952381,0.0,0.0,0.04257752229670675
1,хапаксы одного домена,0.13734735824490216,0.06153153541070609,0.13293865508006397,0.06684764285233574,0.05669188015268946,0.1307258439752304,73.91304347826086,66.66666666666666,15.217391304347828,15.151515151515152,2.1739130434782608,3.0303030303030303,0.0,0.0,0.05211091960154576
1,20 чужих хапаксов,0.0005158199324828024,0.04791914360946096,-0.00167711323138431,0.04359324869284549,0.04671988577537127,0.0019279753252926363,5.172413793103448,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.039334802399874066
1,маркер каждые 3,0.031189389208004886,0.12563988550587382,0.12573191176592532,0.05208594958232281,0.10727392592197314,0.06979717048846304,42.22222222222222,71.7948717948718,5.555555555555555,7.6923076923076925,0.0,0.0,0.0,0.0,0.026378174545895722
1,без пунктуации,0.10967186411477726,0.059179092720027686,0.11016451595953769,0.055704775628937574,0.061341645249601555,0.10663219978280583,54.6875,57.77777777777777,7.8125,2.2222222222222223,0.0,0.0,0.0,0.0,0.058167063820411105
1,без служебных,0.063536659756438,0.063521572473215,0.06568882005715511,0.06191056430339759,0.05916131916245295,0.06593595092325588,24.0,23.52941176470588,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.04942769253849926
2,исходный,-0.02051601939314307,0.037290348910003525,-0.029846914156635082,0.0467633167213824,0.045146954803686995,-0.02465245171209524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04380369883222587
2,перемешивание,0.26103712195614553,0.082584795583369,0.319779088113366,0.049247362430264674,0.1034087998999919,0.2665456023670727,94.91525423728814,100.0,74.57627118644068,100.0,33.89830508474576,57.14285714285714,0.0,0.0,0.04292152053348741
2,эхо x2,-0.0021390246337350395,0.044304295322188415,0.030568499709829666,0.05465311858973721,0.04762182716278278,-0.00973359404953566,1.4492753623188406,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.055877620773888255
2,эхо x4,-0.015780750210778637,0.058750270636156926,,,0.060625030258602025,-0.02593251486565386,1.4925373134328357,,0.0,,0.0,,0.0,,
2,эхо на четверти,-0.016216268010329497,0.04867750297604042,-0.015374449795328173,0.0544448182687018,0.05030100319258206,-0.018198995621192288,1.8518518518518516,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.033959033512444836
2,словарь к 25,0.0510283363475515,0.045724901859581536,,,0.05152685128209755,0.056809992366559675,17.46031746031746,,0.0,,0.0,,0.0,,
2,словарь к 60,0.04434575783481705,0.05306654275346613,0.03890748396464977,0.05411871524220433,0.06297539070050683,0.03916865298234344,14.754098360655737,17.647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0472017814459723
2,все слова разные,0.2303654586855445,0.07698701652860791,0.23537836921366992,0.07163908663800052,0.08601437683699813,0.21642896937490955,95.77464788732394,96.72131147540983,67.6056338028169,72.1311475409836,16.901408450704224,16.39344262295082,0.0,0.0,0.05169110609710656
2,чужие хапаксы,0.05038196854777666,0.04360390261110965,0.06353555876680404,0.0467854473920222,0.05412334311546051,0.04862304332565797,17.24137931034483,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019027559997946183
2,хапаксы одного домена,0.08724502049148679,0.05428948451569578,0.1082673069712791,0.058485708190392977,0.06261782802089788,0.07943833035424878,39.6551724137931,45.83333333333333,1.7241379310344827,4.166666666666666,0.0,0.0,0.0,0.0,0.06305829739199996
2,20 чужих хапаксов,-0.010376104328202077,0.04266166159687242,-0.011641421951177188,0.044940961434733695,0.054513817887065795,-0.01765979942940631,1.7543859649122806,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.022966613161761736
2,маркер каждые 3,-0.023833214876319436,0.10965326969026794,0.08124115371062135,0.0561247402444607,0.10310040235237686,0.020527908003564396,10.989010989010989,28.57142857142857,1.098901098901099,3.571428571428571,0.0,0.0,0.0,0.0,0.04401553011110932
2,без пунктуации,0.06701329363710107,0.053301274769805215,0.090012133597948,0.05979892484340188,0.0530520595630148,0.0711438391844154,23.52941176470588,41.66666666666667,1.4705882352941175,4.166666666666666,0.0,0.0,0.0,0.0,0.050837491856750607
2,без служебных,0.026599522258380564,0.040003016375583414,0.028344863874985603,0.03947376536328391,0.04827764835760426,0.017507276306090475,2.9850746268656714,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.046810819152761904
3,исходный,0.01928930727428784,0.05432134803991607,0.021684660634786024,0.05091897484360857,0.051073878955033916,0.017204955127542394,8.47457627118644,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.054254130151270855
3,перемешивание,0.2656023027641399,0.07953630735369722,0.28662362226987376,0.05436402585221152,0.09451679919771949,0.2791704067043977,100.0,100.0,77.04918032786885,93.33333333333333,40.98360655737705,50.0,0.0,0.0,0.05346805161122192
3,эхо x2,0.0491027652123993,0.0675973886899785,0.07614766301181719,0.07233206299696374,0.0629655500314239,0.05775909649815662,25.806451612903224,43.75,1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.08011517529182888
3,эхо x4,-0.0452464664376204,0.056881998381233666,-0.033414531736649426,0.07366243569642254,0.05806483509669366,-0.03439983299662577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039437742650072584
3,эхо на четверти,0.039242726085094035,0.056432130945726244,0.05539254208556517,0.060878770693969866,0.057532463892260736,0.03975872518556625,11.320754716981133,20.0,1.8867924528301887,3.3333333333333335,0.0,0.0,0.0,0.0,0.04505700994117808
3,словарь к 25,0.05611562831490699,0.05244503722430199,,,0.059544981721888886,0.06430299487821389,19.35483870967742,,0.0,,0.0,,0.0,,
3,словарь к 60,0.12322720098643626,0.07778143767135084,0.11767276501950191,0.07124528420111129,0.07862718061103224,0.13129907586768852,60.71428571428571,58.333333333333336,16.071428571428573,16.666666666666664,0.0,0.0,0.0,0.0,0.0802287158727645
3,все слова разные,0.22486803241126668,0.06308727178146252,0.22486803241126668,0.06308727178146252,0.07259931529696324,0.19957004756397861,97.87234042553192,97.87234042553192,61.702127659574465,61.702127659574465,12.76595744680851,12.76595744680851,0.0,0.0,0.04844702882788868
3,чужие хапаксы,0.16520078659762602,0.08077977651018735,0.1928839415871334,0.07108272831783363,0.08436119836718366,0.1639660715322782,75.92592592592592,91.17647058823529,38.88888888888889,47.05882352941176,7.4074074074074066,11.76470588235294,0.0,0.0,0.06110445152889579
3,хапаксы одного домена,0.17748077897335124,0.0819480577411675,0.2260570506590864,0.061829331688448244,0.08052289003253876,0.17410261420003278,80.3030303030303,97.14285714285714,42.42424242424242,65.71428571428571,7.575757575757576,14.285714285714285,0.0,0.0,0.047916762809251806
3,20 чужих хапаксов,0.049005892591741054,0.05633408980258829,0.058701740638005935,0.056815268623630504,0.05304798852221782,0.04188084434803403,18.367346938775512,22.58064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.04920041127895379
3,маркер каждые 3,0.02383843271738884,0.11377152034746159,0.1314126701530225,0.07499126072949641,0.10852359402482002,0.06863667212179667,28.723404255319153,69.6969696969697,8.51063829787234,21.21212121212121,0.0,0.0,0.0,0.0,0.04329008780823458
