arm,mode,q,mean_d,cv_within,rel_resid,L
fixed_L_mean,q0.5_range,0.0,4.797045116010156,0.055578786715526844,0.013558693648263025,228.0
fixed_L_mean,q0.5_range,0.2,8.004612346969338,0.04019526796653063,0.008196912542892926,228.0
fixed_L_mean,q0.5_range,0.4,14.29259102926522,0.05334677864489588,0.003464394648398799,228.0
fixed_L_mean,q_large,0.0,8.197925139560908,0.04197344895530372,0.005585083682366709,228.0
fixed_L_mean,q_large,0.2,6.960835288899747,0.047182699837538714,0.0067465961604067275,228.0
fixed_L_mean,q_large,0.4,5.589772271873858,0.0467912426958734,0.010333061602605232,228.0
fixed_L_mean,q_large,0.6,3.9803050217391216,0.05513646510701512,0.016405150292825382,228.0
fixed_L_mean,q_large,0.8,3.213803270683267,0.07372360992073548,0.03066902376719004,228.0
fixed_L_mean,q_small,0.0,8.197925139560908,0.04197344895530372,0.005585083682366709,228.0
fixed_L_mean,q_small,0.2,10.205373074941857,0.03721239791250114,0.005208709072709067,228.0
fixed_L_mean,q_small,0.4,14.63441757565505,0.054471598660918975,0.0032595063920134878,228.0
fixed_L_mean,q_small,0.6,16.03292654931907,0.06305986745097265,0.002679525412896677,228.0
fixed_L_mean,q_small,0.8,16.659963497153782,0.06788462031569324,0.0032779198442923116,228.0
fixed_L_small,q0.5_range,0.0,6.814476335198372,0.0750677414407862,0.01475190129765235,100.0
fixed_L_small,q0.5_range,0.2,15.382901998244998,0.09201469007401288,0.006800611046985913,100.0
fixed_L_small,q0.5_range,0.4,21.629745321385418,0.0992449975514552,0.004230301456372658,100.0
fixed_L_small,q_large,0.0,11.44812705853753,0.06961921692768624,0.007342905395852004,100.0
fixed_L_small,q_large,0.2,9.809776534698395,0.07525479454921785,0.008473535755198651,100.0
fixed_L_small,q_large,0.4,7.996429472053133,0.10031529600128644,0.0114908566884395,100.0
fixed_L_small,q_large,0.6,5.628826584787906,0.0956579417824349,0.018163629238197556,100.0
fixed_L_small,q_large,0.8,3.423051623167961,0.1065739153493801,0.04095072123465709,100.0
fixed_L_small,q_small,0.0,11.44812705853753,0.06961921692768624,0.007342905395852004,100.0
fixed_L_small,q_small,0.2,18.13357378649059,0.08572250031453747,0.005304640764022608,100.0
fixed_L_small,q_small,0.4,22.810920242635905,0.09552479760350713,0.004248597384580667,100.0
fixed_L_small,q_small,0.6,24.09702732897249,0.13881309607189443,0.004438690829129992,100.0
fixed_L_small,q_small,0.8,26.702850989970603,0.1750159331313913,0.005308525808996292,100.0
scaled_L,q0.5_range,0.0,4.978953267449287,0.050303144656715065,0.013815575637580957,200.0
scaled_L,q0.5_range,0.2,8.715364047710558,0.05211497245635016,0.008184372274246414,201.0
scaled_L,q0.5_range,0.4,15.07682446427235,0.04520510979937563,0.0034714807102360964,200.0
scaled_L,q_large,0.0,11.44812705853753,0.06961921692768624,0.007342905395852004,100.0
scaled_L,q_large,0.2,8.70415023993486,0.08125724363992036,0.008321948821456947,125.0
scaled_L,q_large,0.4,6.161993534436324,0.05180969533443449,0.011109261607358692,167.0
scaled_L,q_large,0.6,3.8856294026830915,0.055299584300681284,0.016408458833782374,250.0
scaled_L,q_large,0.8,4.065794777987479,0.06782627466540571,0.018527096913018543,501.0
scaled_L,q_small,0.0,11.44812705853753,0.06961921692768624,0.007342905395852004,100.0
scaled_L,q_small,0.2,14.783441322296005,0.08215843946398664,0.005420231320926362,125.0
scaled_L,q_small,0.4,16.6315303931683,0.05766480796212554,0.0033710094074367487,167.0
scaled_L,q_small,0.6,15.794239668483527,0.05034318560671828,0.0026458289588564333,250.0
scaled_L,q_small,0.8,14.277247170320322,0.037318000445802635,0.0019700693035829874,501.0
