текст,условие,проекция: все,проекция: смысловые,проекция: смысловые одиночки,доля смысловых с проекцией > 0
20,исходный,-0.003218342870838963,0.007643013282711358,-0.0010381265298177928,54.83870967741935
20,чужие хапаксы,0.12272749120659981,0.1505532804537891,0.18890689282932133,100.0
20,перемешивание,0.24793638344855698,0.22529802332813945,0.26338996416178534,100.0
21,исходный,-0.029623339510554493,-0.028109874945820987,-0.02689591011986629,26.82926829268293
21,чужие хапаксы,0.13439602117357788,0.13205527995110733,0.1440990673722405,97.77777777777777
21,перемешивание,0.30711907563061724,0.2905636513457219,0.32461758496155624,100.0
22,исходный,-0.007211399740766879,0.0076149160999407495,0.008031530907107615,54.166666666666664
22,чужие хапаксы,0.07485366107458212,0.10141012780803996,0.10207198547154878,98.14814814814815
22,перемешивание,0.3534975132020964,0.3482351827254885,0.35679224386116076,100.0
23,исходный,-0.017135053100027796,-0.008429874073080152,-0.009120195605846829,45.45454545454545
23,чужие хапаксы,0.12159587648405493,0.14238549245153,0.14712406797245073,98.4375
23,перемешивание,0.3608939681717064,0.36929582497661434,0.38648415798663205,100.0
24,исходный,-0.019885105094700147,-0.028550857880105442,-0.027088244150785964,22.033898305084744
24,чужие хапаксы,0.09093500157633175,0.08524886599939288,0.11558493428253744,92.45283018867924
24,перемешивание,0.27822803893213666,0.28543506946150365,0.3130121162554683,100.0
25,исходный,-0.02229995237128708,-0.02716492830449096,-0.025152568360071504,30.76923076923077
25,чужие хапаксы,0.052597123076997945,0.07278934286645473,0.11588485242008562,82.53968253968253
25,перемешивание,0.23793939104164608,0.23348761790628228,0.25579061361578814,100.0
26,исходный,-0.01399405137974905,-0.008819292857505701,0.0035240723743527086,43.39622641509434
26,чужие хапаксы,0.09279585912888101,0.08892166380894034,0.11436793772170631,89.58333333333334
26,перемешивание,0.25074104313471146,0.2487162574234791,0.2961531889764125,98.21428571428571
27,исходный,-0.048680037515961706,-0.038971361868389606,-0.043207492122320286,20.833333333333336
27,чужие хапаксы,0.13860390655698773,0.16687639325512438,0.1711654030265747,100.0
27,перемешивание,0.2776903177550673,0.30378169475782185,0.30720223154557946,100.0
28,исходный,-0.005853539788163736,-0.004131932887883891,0.00016557940451470272,44.18604651162791
28,чужие хапаксы,0.0520391510545673,0.06829446772181978,0.10790025046668647,90.56603773584906
28,перемешивание,0.1760662781839464,0.20435808623922458,0.21136673675081136,100.0
29,исходный,-0.029922999278609207,-0.018560591206383995,-0.013678959976918169,27.906976744186046
29,чужие хапаксы,0.1222298541248835,0.1727155283653628,0.18073442656980265,100.0
29,перемешивание,0.3404087637201785,0.36895110606296017,0.3760166126504981,100.0
30,исходный,-0.06119860254600159,-0.0474928359271992,-0.03493340077770229,16.666666666666664
30,чужие хапаксы,0.03591169789173663,0.0791277436120689,0.1310680475824423,80.76923076923077
30,перемешивание,0.33648097972187213,0.3617422043733155,0.35817922073084907,100.0
31,исходный,-0.009883988749452429,-0.006476177385940953,-0.002461053980148723,38.333333333333336
31,чужие хапаксы,0.12294067065361794,0.13256067751825393,0.15339703379418965,95.08196721311475
31,перемешивание,0.329354523370848,0.34666583397664763,0.34456801396874903,100.0
32,исходный,-0.002529550263634776,-0.006430056334252284,-0.0047165399277588034,41.86046511627907
32,чужие хапаксы,0.09017609149153255,0.08475956596797564,0.16209649006278162,93.47826086956522
32,перемешивание,0.20227329096321406,0.19593163751845638,0.2149681227075647,100.0
33,исходный,-0.0075067221287189526,0.005929110178201027,0.013663473689416786,54.90196078431373
33,чужие хапаксы,0.0651934211656229,0.07792864481396831,0.11871158346058074,94.54545454545455
33,перемешивание,0.24344820270695686,0.25359602352790955,0.27008881824927866,100.0
34,исходный,0.03023462717441165,0.025203171323582286,0.05697066347666848,61.36363636363637
34,чужие хапаксы,0.13209796574175275,0.12518349907301746,0.20075774017392534,86.20689655172413
34,перемешивание,0.2577974729797624,0.24854205580916258,0.29408769457148803,100.0
35,исходный,0.05304717173428519,0.058218338125439924,0.07287314403556325,76.78571428571429
35,чужие хапаксы,0.20898027273221845,0.21029153201838047,0.2351545988368791,100.0
35,перемешивание,0.32779754421127644,0.3156242459796732,0.3205432667285266,100.0
36,исходный,-0.05370966083285132,-0.05272444508853345,-0.053601904604428194,12.76595744680851
36,чужие хапаксы,0.1403341111242231,0.1627015826727274,0.1780505266166631,100.0
36,перемешивание,0.3137058142358025,0.3176480771899017,0.3335995433351868,100.0
37,исходный,-0.01629629384399216,-0.011394872523119175,-0.011757826849798168,36.17021276595745
37,чужие хапаксы,0.09521187995357744,0.11118958462459924,0.11529740699325486,95.65217391304348
37,перемешивание,0.32066493814038005,0.33905117042168414,0.3402798685447243,100.0
38,исходный,-0.004819343338744254,0.004904284942698717,-0.0009381626202002212,55.00000000000001
38,чужие хапаксы,0.12483104032015699,0.1321945356432676,0.1317659350885677,100.0
38,перемешивание,0.3350846803523345,0.3435442195836245,0.34231764446062707,100.0
39,исходный,0.04160013664498748,0.05549496943601055,0.06526143964056172,88.63636363636364
39,чужие хапаксы,0.17340271005191402,0.1854668298739043,0.20519230999901011,100.0
39,перемешивание,0.31637702241114957,0.31979757051231017,0.33398320263300196,100.0
0,исходный,-0.0006492695604009307,0.014443869006185231,0.02374932293431033,58.97435897435898
0,чужие хапаксы,0.09880576998199234,0.12118026940286393,0.15249340334366562,95.91836734693877
0,перемешивание,0.23359880316836446,0.2568110164654579,0.28248203503871,100.0
1,исходный,-0.017312079877874625,-0.021651961707136454,-0.02058910051461825,29.6875
1,чужие хапаксы,0.14752208559369473,0.15892374546488142,0.1545889234038097,100.0
1,перемешивание,0.3335923207166168,0.34146519364617256,0.34750606251394334,100.0
2,исходный,-0.024003864905353896,-0.019700837240953364,-0.030316794444070948,25.925925925925924
2,чужие хапаксы,0.04789816392434157,0.048957126660422824,0.05986772998816409,91.37931034482759
2,перемешивание,0.2666287608026306,0.2604663378237309,0.3199276378575859,100.0
3,исходный,0.013880101246641656,0.01687245715856268,0.019051565876544302,62.71186440677966
3,чужие хапаксы,0.160390553881902,0.16121771413844416,0.18746287714310156,100.0
3,перемешивание,0.2735345456764866,0.2603180967641673,0.2799544635601015,100.0
4,исходный,-0.0007500035382181442,-0.002153215097376343,-0.0002032127072211814,48.837209302325576
4,чужие хапаксы,0.11244347204200951,0.10847211692331632,0.11949378425183665,100.0
4,перемешивание,0.3393442727601175,0.3371735172628061,0.3582778350414847,100.0
5,исходный,-0.030372830362475123,-0.019159491096546164,-0.014563854287557172,30.23255813953488
5,чужие хапаксы,0.14516889761880888,0.15111629709232544,0.144874630498486,97.67441860465115
5,перемешивание,0.3379919410646257,0.346830523900904,0.34693880120372966,100.0
6,исходный,-0.01421334846427674,0.0032671375918403786,0.004138872809535693,52.94117647058824
6,чужие хапаксы,0.14269175226367883,0.15987907721373126,0.1558876692738984,98.11320754716981
6,перемешивание,0.4007574373455951,0.37765188715902587,0.38405650185497686,100.0
7,исходный,0.012120194602281835,0.020117095579703714,0.021898537501655387,58.82352941176471
7,чужие хапаксы,0.16214854622243832,0.17700781702142931,0.19434369763024467,100.0
7,перемешивание,0.3499364239161898,0.3302498558358124,0.35387709525939054,100.0
8,исходный,-0.005737618362751928,-0.010551744132939233,-0.007526318533611968,44.06779661016949
8,чужие хапаксы,0.11585375582501983,0.11341394694236101,0.13943721330084147,100.0
8,перемешивание,0.3305612793458061,0.3158964827654995,0.3114743765828691,100.0
9,исходный,-0.018363895889259824,-0.012512366642006532,0.0026828963207590627,35.61643835616438
9,чужие хапаксы,0.07869826273533577,0.08869928038653202,0.11884558183683906,89.74358974358975
9,перемешивание,0.2445451056395662,0.23460851821684944,0.2352189641528115,100.0
10,исходный,-0.025125888948939086,-0.01671175658133845,-0.011918459084264102,32.6530612244898
10,чужие хапаксы,0.1412939207955237,0.1639533369491069,0.1683099884659687,100.0
10,перемешивание,0.29470143634775153,0.3117646622570093,0.310822880896042,100.0
11,исходный,-0.006307239431529673,0.01515930434874796,0.01993362450436856,64.28571428571429
11,чужие хапаксы,0.1656808179042662,0.19338194374275833,0.19927436371859245,100.0
11,перемешивание,0.3500388953858058,0.35452433495042623,0.3601950109964843,100.0
12,исходный,-0.01137646208744898,-0.0067619942141404765,-0.016826660977583303,40.74074074074074
12,чужие хапаксы,0.07468110759123874,0.08382171401625581,0.10287467885926987,96.36363636363636
12,перемешивание,0.3230380658230432,0.33512443659807817,0.35371120224800023,100.0
13,исходный,-0.023157602265918883,-0.021407479545589966,-0.026721046515126197,25.0
13,чужие хапаксы,0.10969110679108694,0.11994569957178798,0.13555645054006035,100.0
13,перемешивание,0.31841828588957044,0.31336906547017834,0.31819161556233405,100.0
14,исходный,-0.053747498223586355,-0.06033928962831096,-0.052805811228517435,11.11111111111111
14,чужие хапаксы,0.09730774078493806,0.09874494155001752,0.10629132282651935,97.95918367346938
14,перемешивание,0.3275567622585279,0.3380813849364482,0.3352708978221084,100.0
15,исходный,0.004449315260503857,0.007935012932271076,0.011655140557901567,54.71698113207547
15,чужие хапаксы,0.111536986142178,0.13263894463955375,0.15835063240886585,94.91525423728814
15,перемешивание,0.301934125040209,0.28528186630109226,0.28903198511931494,100.0
16,исходный,0.0399674468785684,0.04325916403764655,0.03719399874650095,80.35714285714286
16,чужие хапаксы,0.1668402879443866,0.17005493307586209,0.16874530181669176,100.0
16,перемешивание,0.3346788114344374,0.301100378707262,0.3068875471376106,100.0
17,исходный,0.020292910534658412,0.030712633674014528,0.040687168003524746,75.51020408163265
17,чужие хапаксы,0.13793108513656835,0.1562654917233502,0.1620110473534904,100.0
17,перемешивание,0.31962467366359176,0.3372528294595233,0.3435642402747972,100.0
18,исходный,-0.040555445632589636,-0.03233346277993966,-0.02942428520003459,23.4375
