набор,текст,условие,зерно,"бессмысленных, %","бессм. среди одиночек, %","бессм. среди повторных, %","бессм. среди смысловых, %","осмысленных одиночек, шт","осмысленных типов, шт","бессмысленных типов, шт"
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,анафора,1.0,5.475866707607726,12.296403805837768,1.99009900990099,13.57640290350894,44.666666666666664,65.0,8.333333333333334
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,беднее словарь,1.0,22.523057416136055,39.00546040138131,12.143525011687705,42.708333333333336,33.333333333333336,54.333333333333336,29.333333333333332
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,без синонимов,1.0,19.434489609462446,27.250742434192862,15.030878907025695,30.959752321981426,39.666666666666664,62.0,25.666666666666668
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,богаче словарь,1.0,20.84271689134911,25.780752979157768,16.75216856208791,23.78438554909143,48.666666666666664,66.0,25.666666666666668
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,исходный,1.0,17.61440314071893,22.852894803486674,13.850125156445557,25.238095238095237,48.333333333333336,69.0,22.333333333333332
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,каждое предложение о своём,1.0,3.834409864944216,2.730297172144045,4.817541613316261,7.73929773929774,59.0,77.0,4.0
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,меньше мыслей,1.0,16.934403783918345,25.64026792750197,10.221513379408115,27.92127377266696,32.666666666666664,52.333333333333336,15.666666666666666
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,ни одного слова дважды,1.0,21.763286453504808,33.11814584511023,13.167466762238002,22.575757575757574,37.666666666666664,54.333333333333336,26.0
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,одна тема,1.0,5.940523743228767,9.258446103282637,4.231166150670794,12.986111111111109,42.333333333333336,64.66666666666667,7.666666666666667
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,перемешивание,1.0,99.11828895678742,98.97435897435896,99.21568627450979,100.0,0.6666666666666666,1.0,88.66666666666667
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,поле: значение,1.0,3.431704432141388,6.9528388278388285,1.3675213675213673,2.8693528693528694,37.0,54.333333333333336,3.6666666666666665
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,редкие синонимы,1.0,34.26676383000202,42.835446665233896,28.368781542898343,45.63492063492063,29.666666666666668,46.666666666666664,35.666666666666664
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,тема вписана,1.0,13.409454213290706,20.422584238373712,8.1312855951075,19.99261720191953,51.0,73.0,18.333333333333332
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,термин в той же обёртке,1.0,24.307446761404822,36.602562318517904,16.01164645228293,34.14219414219414,38.0,56.666666666666664,31.666666666666668
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,художественный стиль,1.0,22.230019046305525,33.53432573330821,11.292803904405718,33.73655913978495,42.333333333333336,58.666666666666664,26.666666666666668
LLM,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,чужие хапаксы,1.0,84.41789691789691,93.51094534958959,78.2457859499765,96.53508771929825,3.6666666666666665,12.0,76.33333333333333
LLM,coling::07106895-c293-4117-be28-f75985334b33,анафора,1.0,3.0809206925359374,2.978554877760439,3.1074663676857095,3.5114906177524774,53.666666666666664,82.33333333333333,5.333333333333333
LLM,coling::07106895-c293-4117-be28-f75985334b33,беднее словарь,1.0,2.2415640805313313,1.5954415954415955,2.610766045548654,2.2045855379188715,62.333333333333336,91.33333333333333,3.6666666666666665
LLM,coling::07106895-c293-4117-be28-f75985334b33,без синонимов,1.0,2.1975569649988254,2.0310922969887604,2.313747211671791,1.926486877070884,63.666666666666664,92.33333333333333,3.3333333333333335
LLM,coling::07106895-c293-4117-be28-f75985334b33,богаче словарь,1.0,5.889696923221117,8.736448736448738,3.6151996859974482,12.82051282051282,59.0,83.0,8.666666666666666
LLM,coling::07106895-c293-4117-be28-f75985334b33,исходный,1.0,3.1832845165121637,2.8850145288501454,3.3118172790466733,4.387267029523339,66.0,97.33333333333333,5.333333333333333
LLM,coling::07106895-c293-4117-be28-f75985334b33,каждое предложение о своём,1.0,5.985982386989099,8.526200167991213,3.671602107375383,8.580348748514359,65.33333333333333,84.66666666666667,8.0
LLM,coling::07106895-c293-4117-be28-f75985334b33,меньше мыслей,1.0,1.8280423280423281,1.3333333333333333,1.9631202995688977,3.0363697030363697,42.0,68.0,2.6666666666666665
LLM,coling::07106895-c293-4117-be28-f75985334b33,ни одного слова дважды,1.0,7.102708166537954,11.2151964610981,4.0155677655677655,17.698412698412696,55.333333333333336,79.66666666666667,10.333333333333334
LLM,coling::07106895-c293-4117-be28-f75985334b33,одна тема,1.0,2.4085342949440314,3.3643892339544514,1.9802876016881343,2.7210884353741496,49.666666666666664,73.33333333333333,3.6666666666666665
LLM,coling::07106895-c293-4117-be28-f75985334b33,перемешивание,1.0,89.07189451447408,99.00310146211785,81.7535571120215,100.0,0.6666666666666666,6.666666666666667,99.33333333333333
LLM,coling::07106895-c293-4117-be28-f75985334b33,поле: значение,1.0,6.417944950415101,11.615440409810054,3.828552863640583,15.625,34.333333333333336,56.666666666666664,7.666666666666667
LLM,coling::07106895-c293-4117-be28-f75985334b33,редкие синонимы,1.0,6.2245247390100475,9.847842001930053,4.322486801270394,10.395010395010395,49.0,80.0,9.666666666666666
