mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,policy,genre,text,ntok,L_used
q0.5_range,0.0,4.9701316922599235,0.3486230496585663,0.7987980878741466,3.1439086133539087,0.9981305872862808,0.01824933694140908,0.03147033679521716,0.014113031312970198,8,51,256,abs_L,xsum,xsum_0,396,256
q0.5_range,0.3,11.433863491649848,0.6715428916550116,0.9125404986048417,2.900747161531893,0.999809918479504,0.006642239565781103,0.010419010592999989,0.005136741969370434,8,51,256,abs_L,xsum,xsum_0,396,256
q_large,0.0,7.961330802056813,0.42843729787722085,0.8743928590755644,3.6989736873089716,0.9996415618602504,0.008740629603422905,0.014373735190043924,0.006759521164206038,8,51,256,abs_L,xsum,xsum_0,396,256
q_large,0.3,6.4331772875344875,0.3956988638076441,0.84455581506549,3.364768486676693,0.9992315984662996,0.012363474797693431,0.020413318894437538,0.009561229951376675,8,51,256,abs_L,xsum,xsum_0,396,256
q_large,0.6,4.159682599533833,0.3078271083813428,0.7595970423050865,3.027204070300051,0.9967195708851871,0.023004524473530776,0.04011319052171558,0.017790431251134595,8,51,256,abs_L,xsum,xsum_0,396,256
q_large,0.9,3.423490510948033,0.5124049011676154,0.70790046100549,1.3268653953159446,0.9776267048060951,0.05653297010592567,0.09091653715710457,0.04371948306295741,8,51,256,abs_L,xsum,xsum_0,396,256
q_small,0.0,7.961330802056813,0.42843729787722085,0.8743928590755644,3.6989736873089716,0.9996415618602504,0.008740629603422905,0.014373735190043924,0.006759521164206038,8,51,256,abs_L,xsum,xsum_0,396,256
q_small,0.3,11.7586798666356,0.6173159863887593,0.9149564397243752,3.285175169838085,0.9998571536482922,0.00577320760444783,0.010206640633331432,0.004464680550281889,8,51,256,abs_L,xsum,xsum_0,396,256
q_small,0.6,13.296450724045002,0.6041709637116072,0.924791959842966,2.7467929049170676,0.9999180772797456,0.004418910211015793,0.009823193624222348,0.003417341593149101,8,51,256,abs_L,xsum,xsum_0,396,256
q_small,0.9,13.160698722637811,0.9490192204008755,0.9240161923713144,1.488264946369577,0.9997890717742856,0.00708506596863822,0.009588809194382542,0.0054791995013781635,8,51,256,abs_L,xsum,xsum_0,396,256
