contrast,mode,q,n,diff,rel,effect
words_rare − words_common,q0.5_range,0.4,190,2.9028332648125055,0.20030387693646182,1.641973187487592
words_rare − words_common,q0.5_range,0.45,190,2.528301822786527,0.1644144565233887,1.40022381470364
words_rare − words_common,q0.5_range,0.5,190,2.343877670774873,0.14645677152896508,1.2621877610300312
words_rare − words_common,q_large,0.0,190,1.4448662342226486,0.17182496882616627,1.8677899714922404
words_rare − words_common,q_large,0.05,190,1.417400970672809,0.17507464777474882,1.8617335765704686
words_rare − words_common,q_large,0.1,190,1.3882331556109406,0.1779731261913406,1.8691367689687997
words_rare − words_common,q_large,0.15,190,1.355320371782874,0.18111274290964893,1.8717936237024315
words_rare − words_common,q_large,0.2,190,1.3193308912918644,0.18450098182418997,1.872848915645278
words_rare − words_common,q_large,0.25,190,1.2805933093679096,0.1881903510985638,1.865726005870412
words_rare − words_common,q_large,0.3,190,1.2396933575965854,0.19228695071831137,1.853605229428517
words_rare − words_common,q_large,0.35,190,1.196053473128259,0.19680439457487608,1.8394795277653069
words_rare − words_common,q_large,0.4,190,1.1489362023027825,0.20173626430477207,1.8235358443663163
words_rare − words_common,q_large,0.45,190,1.096263886694735,0.20675399029933256,1.802432640336817
words_rare − words_common,q_large,0.5,190,1.0332945081950442,0.21076486104011066,1.7702691092736835
words_rare − words_common,q_large,0.55,190,0.9493287477389815,0.21065533687515386,1.7051019084736565
words_rare − words_common,q_large,0.6,190,0.8257612319851223,0.1995737858185324,1.56349229072457
words_rare − words_common,q_large,0.65,190,0.6406822808775684,0.16705553398137285,1.2934573216243455
words_rare − words_common,q_large,0.7,190,0.3939800482412875,0.10802101223205446,0.876532193202671
words_rare − words_common,q_large,0.75,190,0.12925279432510567,0.03394758974225634,0.32646864372056905
words_rare − words_common,q_large,0.8,190,-0.07710289486082998,-0.027472918719141246,-0.2048205899539457
words_rare − words_common,q_large,0.85,190,-0.1680641888285357,-0.05391999960205827,-0.39717380409766395
words_rare − words_common,q_large,0.9,190,-0.12088898965529121,-0.03804278012021088,-0.23254152728500327
words_rare − words_common,q_small,0.0,190,1.4448662342226486,0.17182496882616627,1.8677899714922404
words_rare − words_common,q_small,0.05,190,1.6246863862478684,0.18554493334454977,1.9123572413140468
words_rare − words_common,q_small,0.1,190,1.9020621000622626,0.20825990694010052,1.9097804281684865
words_rare − words_common,q_small,0.15,190,2.40029039420517,0.24625497206622035,1.934479649151339
words_rare − words_common,q_small,0.2,190,3.0185645051837535,0.2841684902097585,2.0279472003228762
words_rare − words_common,q_small,0.25,190,3.476814833385175,0.297202257765838,2.1400427689554204
words_rare − words_common,q_small,0.3,190,3.515634515769649,0.27351710067942947,2.1078804069527806
words_rare − words_common,q_small,0.35,190,3.2021492659701414,0.2295042649183393,1.8697572283841626
words_rare − words_common,q_small,0.4,190,2.797950330540028,0.18817655464451796,1.6007392626959964
words_rare − words_common,q_small,0.45,190,2.5030509822410134,0.16108923169014183,1.395968376525029
words_rare − words_common,q_small,0.5,190,2.343877670774873,0.14645677152896508,1.2621877610300312
words_rare − words_common,q_small,0.55,190,2.2720325187306813,0.13918539626738935,1.178640869746662
words_rare − words_common,q_small,0.6,190,2.243863831844156,0.13560104991540084,1.1172465632754303
words_rare − words_common,q_small,0.65,190,2.234690150391049,0.13383826546552793,1.0627318275454258
words_rare − words_common,q_small,0.7,190,2.232138241130645,0.13297010189069777,1.0075574766134625
words_rare − words_common,q_small,0.75,190,2.23113871589226,0.1326383523454791,0.9492184147460012
words_rare − words_common,q_small,0.8,190,2.2274534119207656,0.13265141481769913,0.8857766606675894
words_rare − words_common,q_small,0.85,190,2.240692064832029,0.13366653033453402,0.8211877509283131
words_rare − words_common,q_small,0.9,190,2.2763360385322553,0.13577032844976988,0.7492462613845432
ideas_up − ideas_down,q0.5_range,0.0,188,0.45017619544621473,0.08263015005613596,0.5230456720730019
ideas_up − ideas_down,q0.5_range,0.05,188,0.5371213405073205,0.0870566483270864,0.528670683315075
ideas_up − ideas_down,q0.5_range,0.1,188,0.7055697802958225,0.10383275851387948,0.5793840213798386
ideas_up − ideas_down,q0.5_range,0.15,188,1.0203302358987736,0.1323517218451008,0.6301750470489693
ideas_up − ideas_down,q0.5_range,0.2,188,1.40267134379837,0.15515197214520376,0.6476580155753083
ideas_up − ideas_down,q0.5_range,0.25,188,1.5299205100036628,0.14099081682986334,0.6005389710056832
ideas_up − ideas_down,q0.5_range,0.3,188,1.1165774582190988,0.08383338583371579,0.4274544257511838
ideas_up − ideas_down,q0.5_range,0.35,188,0.39157011091940336,0.01947301648211338,0.15386929863137802
ideas_up − ideas_down,q0.5_range,0.4,188,-0.30644585064262125,-0.029919631485274135,-0.12168763456273522
